energy_GeV,cos_zenith,azimuth_deg,particle,flux
0.1,0.95,15.0,numu,8115.6
0.1,0.95,15.0,numubar,8195.4
0.1,0.95,15.0,nue,3976.1
0.1,0.95,15.0,nuebar,3860.1
0.1122,0.95,15.0,numu,7343.2
0.1122,0.95,15.0,numubar,7412.2
0.1122,0.95,15.0,nue,3589.8
0.1122,0.95,15.0,nuebar,3446.8
0.12589,0.95,15.0,numu,6589.4
0.12589,0.95,15.0,numubar,6671.4
0.12589,0.95,15.0,nue,3201.5
0.12589,0.95,15.0,nuebar,3052.4
0.14125,0.95,15.0,numu,5878.4
0.14125,0.95,15.0,numubar,5935.2
0.14125,0.95,15.0,nue,2832.6
0.14125,0.95,15.0,nuebar,2678.9
0.15849,0.95,15.0,numu,5179.9
0.15849,0.95,15.0,numubar,5203.7
0.15849,0.95,15.0,nue,2482.4
0.15849,0.95,15.0,nuebar,2320.7
0.17783,0.95,15.0,numu,4496.9
0.17783,0.95,15.0,numubar,4505.5
0.17783,0.95,15.0,nue,2160.2
0.17783,0.95,15.0,nuebar,1980.3
0.19953,0.95,15.0,numu,3859.2
0.19953,0.95,15.0,numubar,3837.3
0.19953,0.95,15.0,nue,1859.3
0.19953,0.95,15.0,nuebar,1677.6
0.22387,0.95,15.0,numu,3275.4
0.22387,0.95,15.0,numubar,3240.2
0.22387,0.95,15.0,nue,1577.3
0.22387,0.95,15.0,nuebar,1415.3
0.25119,0.95,15.0,numu,2727.4
0.25119,0.95,15.0,numubar,2707.1
0.25119,0.95,15.0,nue,1312.1
0.25119,0.95,15.0,nuebar,1172.4
0.28184,0.95,15.0,numu,2239.2
0.28184,0.95,15.0,numubar,2225.3
0.28184,0.95,15.0,nue,1081.8
0.28184,0.95,15.0,nuebar,953.22
0.31623,0.95,15.0,numu,1831.2
0.31623,0.95,15.0,numubar,1805.2
0.31623,0.95,15.0,nue,882.95
0.31623,0.95,15.0,nuebar,769.68
0.35481,0.95,15.0,numu,1479.1
0.35481,0.95,15.0,numubar,1451.4
0.35481,0.95,15.0,nue,711.96
0.35481,0.95,15.0,nuebar,615.24
0.39811,0.95,15.0,numu,1179.9
0.39811,0.95,15.0,numubar,1156.5
0.39811,0.95,15.0,nue,570.3
0.39811,0.95,15.0,nuebar,487.12
0.44668,0.95,15.0,numu,934.29
0.44668,0.95,15.0,numubar,910.91
0.44668,0.95,15.0,nue,449.09
0.44668,0.95,15.0,nuebar,381.9
0.50119,0.95,15.0,numu,733.38
0.50119,0.95,15.0,numubar,711.28
0.50119,0.95,15.0,nue,351.65
0.50119,0.95,15.0,nuebar,294.69
0.56234,0.95,15.0,numu,571.03
0.56234,0.95,15.0,numubar,546.96
0.56234,0.95,15.0,nue,273.38
0.56234,0.95,15.0,nuebar,224.79
0.63096,0.95,15.0,numu,439.2
0.63096,0.95,15.0,numubar,418.53
0.63096,0.95,15.0,nue,210.3
0.63096,0.95,15.0,nuebar,171.62
0.70795,0.95,15.0,numu,332.8
0.70795,0.95,15.0,numubar,320.26
0.70795,0.95,15.0,nue,159.76
0.70795,0.95,15.0,nuebar,130.06
0.79433,0.95,15.0,numu,254.56
0.79433,0.95,15.0,numubar,242.27
0.79433,0.95,15.0,nue,119.31
0.79433,0.95,15.0,nuebar,96.341
0.89125,0.95,15.0,numu,194.8
0.89125,0.95,15.0,numubar,181.95
0.89125,0.95,15.0,nue,88.578
0.89125,0.95,15.0,nuebar,71.277
1.0,0.95,15.0,numu,145.68
1.0,0.95,15.0,numubar,136.02
1.0,0.95,15.0,nue,65.996
1.0,0.95,15.0,nuebar,52.461
1.122,0.95,15.0,numu,109.41
1.122,0.95,15.0,numubar,101.1
1.122,0.95,15.0,nue,48.495
1.122,0.95,15.0,nuebar,37.987
1.2589,0.95,15.0,numu,82.202
1.2589,0.95,15.0,numubar,75.061
1.2589,0.95,15.0,nue,35.123
1.2589,0.95,15.0,nuebar,27.405
1.4125,0.95,15.0,numu,61.184
1.4125,0.95,15.0,numubar,55.155
1.4125,0.95,15.0,nue,25.351
1.4125,0.95,15.0,nuebar,19.879
1.5849,0.95,15.0,numu,45.438
1.5849,0.95,15.0,numubar,40.285
1.5849,0.95,15.0,nue,18.342
1.5849,0.95,15.0,nuebar,14.23
1.7783,0.95,15.0,numu,33.683
1.7783,0.95,15.0,numubar,29.551
1.7783,0.95,15.0,nue,13.14
1.7783,0.95,15.0,nuebar,10.058
1.9953,0.95,15.0,numu,24.831
1.9953,0.95,15.0,numubar,21.545
1.9953,0.95,15.0,nue,9.2539
1.9953,0.95,15.0,nuebar,7.1753
2.2387,0.95,15.0,numu,18.141
2.2387,0.95,15.0,numubar,15.617
2.2387,0.95,15.0,nue,6.5734
2.2387,0.95,15.0,nuebar,5.1016
2.5119,0.95,15.0,numu,13.256
2.5119,0.95,15.0,numubar,11.268
2.5119,0.95,15.0,nue,4.6508
2.5119,0.95,15.0,nuebar,3.5269
2.8184,0.95,15.0,numu,9.682
2.8184,0.95,15.0,numubar,8.0707
2.8184,0.95,15.0,nue,3.2061
2.8184,0.95,15.0,nuebar,2.4339
3.1623,0.95,15.0,numu,6.9919
3.1623,0.95,15.0,numubar,5.8152
3.1623,0.95,15.0,nue,2.2222
3.1623,0.95,15.0,nuebar,1.6908
3.5481,0.95,15.0,numu,5.0534
3.5481,0.95,15.0,numubar,4.1665
3.5481,0.95,15.0,nue,1.5408
3.5481,0.95,15.0,nuebar,1.1654
3.9811,0.95,15.0,numu,3.6625
3.9811,0.95,15.0,numubar,2.9631
3.9811,0.95,15.0,nue,1.0611
3.9811,0.95,15.0,nuebar,0.79656
4.4668,0.95,15.0,numu,2.6527
4.4668,0.95,15.0,numubar,2.122
4.4668,0.95,15.0,nue,0.72919
4.4668,0.95,15.0,nuebar,0.53648
5.0119,0.95,15.0,numu,1.9216
5.0119,0.95,15.0,numubar,1.522
5.0119,0.95,15.0,nue,0.49154
5.0119,0.95,15.0,nuebar,0.36553
5.6234,0.95,15.0,numu,1.3747
5.6234,0.95,15.0,numubar,1.0892
5.6234,0.95,15.0,nue,0.32935
5.6234,0.95,15.0,nuebar,0.25161
6.3096,0.95,15.0,numu,0.98587
6.3096,0.95,15.0,numubar,0.77595
6.3096,0.95,15.0,nue,0.22299
6.3096,0.95,15.0,nuebar,0.16914
7.0795,0.95,15.0,numu,0.70919
7.0795,0.95,15.0,numubar,0.54944
7.0795,0.95,15.0,nue,0.15023
7.0795,0.95,15.0,nuebar,0.11393
7.9433,0.95,15.0,numu,0.50926
7.9433,0.95,15.0,numubar,0.38679
7.9433,0.95,15.0,nue,0.1012
7.9433,0.95,15.0,nuebar,0.076998
8.9125,0.95,15.0,numu,0.36181
8.9125,0.95,15.0,numubar,0.27496
8.9125,0.95,15.0,nue,0.068183
8.9125,0.95,15.0,nuebar,0.051625
10.0,0.95,15.0,numu,0.2567
10.0,0.95,15.0,numubar,0.19545
10.0,0.95,15.0,nue,0.044997
10.0,0.95,15.0,nuebar,0.03412
11.22,0.95,15.0,numu,0.18287
11.22,0.95,15.0,numubar,0.13881
11.22,0.95,15.0,nue,0.029987
11.22,0.95,15.0,nuebar,0.022684
12.589,0.95,15.0,numu,0.12959
12.589,0.95,15.0,numubar,0.097833
12.589,0.95,15.0,nue,0.020139
12.589,0.95,15.0,nuebar,0.015342
14.125,0.95,15.0,numu,0.092329
14.125,0.95,15.0,numubar,0.069049
14.125,0.95,15.0,nue,0.013218
14.125,0.95,15.0,nuebar,0.010332
15.849,0.95,15.0,numu,0.06581
15.849,0.95,15.0,numubar,0.049147
15.849,0.95,15.0,nue,0.0087774
15.849,0.95,15.0,nuebar,0.0068513
17.783,0.95,15.0,numu,0.046745
17.783,0.95,15.0,numubar,0.034817
17.783,0.95,15.0,nue,0.0058978
17.783,0.95,15.0,nuebar,0.0045762
19.953,0.95,15.0,numu,0.033358
19.953,0.95,15.0,numubar,0.024439
19.953,0.95,15.0,nue,0.0039326
19.953,0.95,15.0,nuebar,0.0030343
22.387,0.95,15.0,numu,0.023839
22.387,0.95,15.0,numubar,0.017218
22.387,0.95,15.0,nue,0.0026391
22.387,0.95,15.0,nuebar,0.0020226
25.119,0.95,15.0,numu,0.016671
25.119,0.95,15.0,numubar,0.012205
25.119,0.95,15.0,nue,0.0018103
25.119,0.95,15.0,nuebar,0.0013944
28.184,0.95,15.0,numu,0.011813
28.184,0.95,15.0,numubar,0.0085801
28.184,0.95,15.0,nue,0.0012002
28.184,0.95,15.0,nuebar,0.00093255
31.623,0.95,15.0,numu,0.0083886
31.623,0.95,15.0,numubar,0.006051
31.623,0.95,15.0,nue,0.00076382
31.623,0.95,15.0,nuebar,0.0006075
35.481,0.95,15.0,numu,0.0059442
35.481,0.95,15.0,numubar,0.0042477
35.481,0.95,15.0,nue,0.00051044
35.481,0.95,15.0,nuebar,0.00042255
39.811,0.95,15.0,numu,0.0042033
39.811,0.95,15.0,numubar,0.0029786
39.811,0.95,15.0,nue,0.00034019
39.811,0.95,15.0,nuebar,0.00027725
44.668,0.95,15.0,numu,0.0029709
44.668,0.95,15.0,numubar,0.0020854
44.668,0.95,15.0,nue,0.00022891
44.668,0.95,15.0,nuebar,0.00017653
50.119,0.95,15.0,numu,0.0020941
50.119,0.95,15.0,numubar,0.0014688
50.119,0.95,15.0,nue,0.00015828
50.119,0.95,15.0,nuebar,0.00011499
56.234,0.95,15.0,numu,0.0014672
56.234,0.95,15.0,numubar,0.0010229
56.234,0.95,15.0,nue,0.00010732
56.234,0.95,15.0,nuebar,7.749e-05
63.096,0.95,15.0,numu,0.0010239
63.096,0.95,15.0,numubar,0.00072078
63.096,0.95,15.0,nue,6.8671e-05
63.096,0.95,15.0,nuebar,5.5077e-05
70.795,0.95,15.0,numu,0.00071803
70.795,0.95,15.0,numubar,0.00050596
70.795,0.95,15.0,nue,4.5961e-05
70.795,0.95,15.0,nuebar,3.7372e-05
79.433,0.95,15.0,numu,0.00050884
79.433,0.95,15.0,numubar,0.00034525
79.433,0.95,15.0,nue,3.0878e-05
79.433,0.95,15.0,nuebar,2.5935e-05
89.125,0.95,15.0,numu,0.00035971
89.125,0.95,15.0,numubar,0.00023749
89.125,0.95,15.0,nue,2.1117e-05
89.125,0.95,15.0,nuebar,1.6635e-05
100.0,0.95,15.0,numu,0.00025055
100.0,0.95,15.0,numubar,0.00017035
100.0,0.95,15.0,nue,1.4581e-05
100.0,0.95,15.0,nuebar,1.1647e-05
112.2,0.95,15.0,numu,0.00017572
112.2,0.95,15.0,numubar,0.00011899
112.2,0.95,15.0,nue,9.7633e-06
112.2,0.95,15.0,nuebar,7.9074e-06
125.89,0.95,15.0,numu,0.00012343
