Bin Content and Error unit: (Events/[1494 day x 227 t x 0.10 m])	

Nbins	Radius	Content	Error	Residuals
     	[m]   	       	     	[(Data-fit)/sigma]
1	0.05  	0   	0  	0 
2	0.15  	0   	0  	0 
3	0.25  	0   	0  	0 
4	0.35  	0   	0  	0 
5	0.45  	0   	0  	0 
6	0.55 	1 	1 	0.21292
7	0.65 	1 	1 	-0.107802
8	0.75 	1 	1 	-0.430528
9	0.85 	2 	1.41421 0.144089
10	0.95 	4 	2 	0.862239
11	1.05 	2 	1.41421 -0.577831
12	1.15 	2 	1.41421 -0.923995
13	1.25 	4 	2 	0.0073845
14	1.35 	3 	1.73205 -0.94373
15	1.45 	7 	2.64575 0.631355
16	1.55 	3 	1.73205 -1.80475
17	1.65 	6 	2.44949 -0.408832
18	1.75 	10	3.16228 0.674225
19	1.85 	9 	3 	0.0196473
20	1.95 	10	3.16228 0.122346
21	2.05 	8 	2.82843 -0.90452
22	2.15 	13	3.60555 0.277109
23	2.25 	15	3.87298 0.463044
24	2.35 	17	4.12311 0.627265
25	2.45 	15 	3.87298 -0.263043
26	2.55 	16 	4 	-0.417075
27	2.65 	20 	4.47214 0.271349
28	2.75 	23 	4.79583 0.633381
29	2.85 	19 	4.3589  -0.698151
30	2.95 	27 	5.19615 0.540808
31	3.05 	31 	5.56776 0.795215
32	3.15 	30 	5.47723 0.101489
33	3.25 	35 	5.91608 0.285769
34	3.35 	28 	5.2915  -2.22529
35	3.45 	54 	7.34847 0.188423
36	3.55 	70 	8.3666  -0.796961
37	3.65 	127	11.2694 0.458435
38	3.75 	217	14.7309 0.509038
39	3.85 	349 	18.6815 1.33514
40	3.95 	438 	20.9284 -0.38784
41	4.05 	516 	22.7156 -1.05827
42	4.15 	525 	22.9129 -0.980846
43	4.25 	374 	19.3391 -0.214731
44	4.35 	135 	11.619	1.52417
45	4.45 	20 	4.47214 2.02189
46	4.55 	4 	2	1.89665
47	4.65 	0   	0  	0 
48	4.75  	0   	0  	0 
49	4.85  	0   	0  	0
