Label,AD11,AD12,AD21,AD22,AD31,AD32,AD33,AD34
accidentals_rate,6.92751,6.85649,5.05692,5.10882,0.74877,0.691436,0.71674,0.766731
accidentals_uncertainty,0.00857984,0.0084858499999999,0.0069547999999999,0.00701456,0.0024497,0.0023538,0.00240461,0.0024906699999999
lithium_helium_rate,2.92,2.92,2.45,2.45,0.26,0.26,0.26,0.26
lithium_helium_uncertainty,0.78,0.78,0.57,0.57,0.04,0.04,0.04,0.04
fast_neutrons_rate,0.8409999999999999,0.8409999999999999,0.553,0.553,0.0439999999999999,0.0439999999999999,0.0439999999999999,0.0439999999999999
fast_neutrons_uncertainty,0.1681999999999999,0.1681999999999999,0.1106,0.1106,0.0088,0.0088,0.0088,0.0088
amc_rate,0.142094,0.1446939999999999,0.123807,0.132949,0.0382223999999999,0.0311535,0.0333482999999999,0.0395505999999999
amc_uncertainty,0.0602853,0.0613884,0.0525269999999999,0.0564056,0.0162163999999999,0.0132173,0.0141485,0.0167799
alpha_neutron_rate,0.08,0.0599999999999999,0.04,0.0599999999999999,0.04,0.04,0.0299999999999999,0.04
alpha_neutron_uncertainty,0.04,0.0299999999999999,0.02,0.0299999999999999,0.02,0.02,0.0149999999999999,0.02
