E_min_MeV,E_max_MeV,N
0.0,0.05,0.0
0.05,0.1,0.0
0.1,0.15,0.0
0.15,0.2,0.0
0.2,0.25,0.0
0.25,0.3,0.0
0.3,0.35,0.0
0.35,0.4,0.0
0.4,0.45,0.0
0.45,0.5,0.0
0.5,0.55,0.0
0.55,0.6,0.0
0.6,0.65,0.0
0.65,0.7,0.0
0.7,0.75,0.0680438164351277
0.75,0.8,0.0631331609513987
0.8,0.85,0.0585639781290085
0.85,0.9,0.0535814296618703
0.9,0.95,0.047668723850564
0.95,1.0,0.0416028297591417
1.0,1.05,0.0368738113765655
1.05,1.1,0.0338958751514139
1.1,1.15,0.0320193655755555
1.15,1.2,0.0307451874718125
1.2,1.25,0.0303255633294828
1.25,1.3,0.0312743115963971
1.3,1.35,0.0335021268120325
1.35,1.4,0.0358166833617452
1.4,1.45,0.036353307799187
1.45,1.5,0.0340010859489372
1.5,1.55,0.0294048519001343
1.55,1.6,0.0244253179433428
1.6,1.65,0.0206186829308393
1.65,1.7,0.0183057294449327
1.7,1.75,0.0168508488362456
1.75,1.8,0.0154022175995473
1.8,1.85,0.0135149901789336
1.85,1.9,0.0113148471848874
1.9,1.95,0.0092279342297057
1.95,2.0,0.0076661410093885
2.0,2.05,0.0067785774154602
2.05,2.1,0.0064808676088789
2.1,2.15,0.0065396580771774
2.15,2.2,0.0067100024235111
2.2,2.25,0.0068108018275865
2.25,2.3,0.0067979796712496
2.3,2.35,0.0067708035806895
2.35,2.4,0.0069195643094846
2.4,2.45,0.0074443850671315
2.45,2.5,0.0084313007397885
2.5,2.55,0.009787389873689
2.55,2.6,0.011216464092891
2.6,2.65,0.0122789244630179
2.65,2.7,0.0125614060527369
2.7,2.75,0.0118523761307667
2.75,2.8,0.0102586889549963
2.8,2.85,0.0081505547573927
2.85,2.9,0.0059814953719201
2.9,2.95,0.0041136024375511
2.95,3.0,0.0027133610306757
3.0,3.05,0.0017781546366463
3.05,3.1,0.0012017942741027
3.1,3.15,0.0008608202881628
3.15,3.2,0.0006516042067474
3.2,3.25,0.0005096919021658
3.25,3.3,0.0004023859465234
3.3,3.35,0.0003154991818714
3.35,3.4,0.0002442751917325
3.4,3.45,0.0001880181507037
3.45,3.5,0.0001449779397645
3.5,3.55,0.0001135809905131
3.55,3.6,9.076875234386744e-05
3.6,3.65,7.435397050979731e-05
3.65,3.7,6.261512018958574e-05
3.7,3.75,5.406537412607256e-05
3.75,3.8,4.8128236981765866e-05
3.8,3.85,4.37421748925658e-05
3.85,3.9,4.0826118512889015e-05
3.9,3.95,3.8220082122651415e-05
3.95,4.0,3.651516913388984e-05
4.0,4.05,3.49262550874286e-05
4.05,4.1,3.314246446416104e-05
4.1,4.15,3.147824245208564e-05
4.15,4.2,2.976368572298368e-05
4.2,4.25,2.781643027270874e-05
4.25,4.3,2.5787388065444304e-05
4.3,4.35,2.3874768770085008e-05
4.35,4.4,2.183179280105437e-05
4.4,4.45,1.9670243779647832e-05
4.45,4.5,1.7645308733431037e-05
4.5,4.55,1.5410429770349852e-05
4.55,4.6,1.332649002880705e-05
4.6,4.65,1.1316460778556256e-05
4.65,4.7,9.582326080724656e-06
4.7,4.75,7.851214440182418e-06
4.75,4.8,6.287537248714121e-06
4.8,4.85,4.936850152069065e-06
4.85,4.9,3.806787658653903e-06
4.9,4.95,2.8653900123213367e-06
4.95,5.0,2.0768516001495794e-06
5.0,5.05,1.61578164420545e-06
5.05,5.1,1.1363934367975613e-06
5.1,5.15,8.193793202959203e-07
5.15,5.2,6.320108794501527e-07
5.2,5.25,5.064193139662452e-07
5.25,5.3,4.228602125639496e-07
5.3,5.35,3.708686185614488e-07
5.35,5.4,3.3333808539737093e-07
5.4,5.45,3.065705112450491e-07
5.45,5.5,2.8951311549987774e-07
5.5,5.55,2.799747043766391e-07
5.55,5.6,2.6504704754006e-07
5.6,5.65,2.730974346895522e-07
5.65,5.7,2.665579552288474e-07
5.7,5.75,2.795697743884061e-07
5.75,5.8,2.7448045069995144e-07
5.8,5.85,2.6106618254386214e-07
5.85,5.9,2.6575399424982e-07
5.9,5.95,2.793408203228676e-07
5.95,6.0,2.66153223779341e-07
6.0,6.05,2.7339030548411695e-07
6.05,6.1,2.7905453885287636e-07
6.1,6.15,2.8500462098627585e-07
6.15,6.2,2.85714772190924e-07
6.2,6.25,2.828194548561302e-07
6.25,6.3,2.731662872022388e-07
6.3,6.35,2.760517365746605e-07
6.35,6.4,2.607804014005398e-07
6.4,6.45,2.723545879017576e-07
6.45,6.5,2.584769304537032e-07
6.5,6.55,2.432164481014023e-07
6.55,6.6,2.4066719580114307e-07
6.6,6.65,2.284635917289616e-07
6.65,6.7,2.2950127545142158e-07
6.7,6.75,2.044156844088672e-07
6.75,6.8,2.1649591118488586e-07
6.8,6.85,1.9770871429800626e-07
