E_min_MeV,E_max_MeV,N
0.0,0.05,0.0
0.05,0.1,0.0
0.1,0.15,0.0
0.15,0.2,0.0
0.2,0.25,0.0
0.25,0.3,0.0
0.3,0.35,0.0
0.35,0.4,0.0
0.4,0.45,0.0
0.45,0.5,0.0
0.5,0.55,0.0
0.55,0.6,0.0
0.6,0.65,0.0
0.65,0.7,0.0
0.7,0.75,0.0056873775487304
0.75,0.8,0.0069937397227573
0.8,0.85,0.0091676855224799
0.85,0.9,0.0103742917338827
0.9,0.95,0.0121146888795888
0.95,1.0,0.0126827612502186
1.0,1.05,0.0149853782856178
1.05,1.1,0.0161772491135174
1.1,1.15,0.0172264750948911
1.15,1.2,0.0173234652560358
1.2,1.25,0.0179144558153292
1.25,1.3,0.0182399994423425
1.3,1.35,0.0195690426887091
1.35,1.4,0.0188705755092643
1.4,1.45,0.0188092319743885
1.45,1.5,0.0188104971504155
1.5,1.55,0.0179202132830464
1.55,1.6,0.0176539112317915
1.6,1.65,0.0170958419195783
1.65,1.7,0.0159934585422863
1.7,1.75,0.0153680065216189
1.75,1.8,0.0151577139297636
1.8,1.85,0.0141931630627788
1.85,1.9,0.0136592171069071
1.9,1.95,0.0129283579206833
1.95,2.0,0.0123090442540601
2.0,2.05,0.0111135537558803
2.05,2.1,0.010684716590718
2.1,2.15,0.0099290339507464
2.15,2.2,0.0094104292960141
2.2,2.25,0.0088552103803835
2.25,2.3,0.0083233180435701
2.3,2.35,0.0072927504915226
2.35,2.4,0.0073142018094302
2.4,2.45,0.006762918441362
2.45,2.5,0.0063611825468657
2.5,2.55,0.0057481405861736
2.55,2.6,0.0052970107360423
2.6,2.65,0.00512310862395
2.65,2.7,0.0045013829550724
2.7,2.75,0.0041563791205128
2.75,2.8,0.0038414444695522
2.8,2.85,0.0038340646927858
2.85,2.9,0.0033770623589349
2.9,2.95,0.0031683616552295
2.95,3.0,0.0026745564925777
3.0,3.05,0.0028161332738344
3.05,3.1,0.0025281592489716
3.1,3.15,0.002504079023631
3.15,3.2,0.0021894269119808
3.2,3.25,0.0021026362949236
3.25,3.3,0.0018286696356064
3.3,3.35,0.0018086037187864
3.35,3.4,0.0015477276307924
3.4,3.45,0.0014857001465904
3.45,3.5,0.0014437497265926
3.5,3.55,0.0013636252453445
3.55,3.6,0.0011256771390432
3.6,3.65,0.0011327719803325
3.65,3.7,0.0011111844976467
3.7,3.75,0.0011082811770339
3.75,3.8,0.000852945599488
3.8,3.85,0.0008441634401047
3.85,3.9,0.0009091663903739
3.9,3.95,0.0008809830941631
3.95,4.0,0.0008530301945912
4.0,4.05,0.0008080999329175
4.05,4.1,0.0009176481954682
4.1,4.15,0.000788300876143
4.15,4.2,0.0007595442189091
4.2,4.25,0.000703633366979
4.25,4.3,0.0007232633377281
4.3,4.35,0.0007240081809433
4.35,4.4,0.000834150328206
4.4,4.45,0.0008125386234
4.45,4.5,0.0008663912723006
4.5,4.55,0.0010047940702866
4.55,4.6,0.0012692769100968
4.6,4.65,0.0013726427499719
4.65,4.7,0.0016630199216905
4.7,4.75,0.0019450364510057
4.75,4.8,0.0021605155978124
4.8,4.85,0.0024295682400971
4.85,4.9,0.0025603258077168
4.9,4.95,0.0025475002732689
4.95,5.0,0.0026379616093756
5.0,5.05,0.0025307775299261
5.05,5.1,0.0028423833844098
5.1,5.15,0.0029000311967574
5.15,5.2,0.0027522062545121
5.2,5.25,0.0028948894397055
5.25,5.3,0.0030113696042086
5.3,5.35,0.0031530980732367
5.35,5.4,0.0032161695568596
5.4,5.45,0.003557656235402
5.45,5.5,0.0039776209161139
5.5,5.55,0.0042355455517984
5.55,5.6,0.0044806404857886
5.6,5.65,0.0046949298837293
5.65,5.7,0.0054892766531356
5.7,5.75,0.0057091547453117
5.75,5.8,0.0065471430033316
5.8,5.85,0.0074010488926771
5.85,5.9,0.0076555376336505
5.9,5.95,0.0082113766355553
5.95,6.0,0.0087200099029441
6.0,6.05,0.0098669644815362
6.05,6.1,0.0103301872641868
6.1,6.15,0.0112088461808148
6.15,6.2,0.0121238259841898
6.2,6.25,0.0126065539806484
6.25,6.3,0.0132179298762034
6.3,6.35,0.0133362805092828
6.35,6.4,0.0141690480409302
6.4,6.45,0.0141756339572449
6.45,6.5,0.0137843661858708
6.5,6.55,0.0140601462224876
6.55,6.6,0.0139570135400522
6.6,6.65,0.0138246576250505
6.65,6.7,0.0127142589659061
6.7,6.75,0.0118033797330535
6.75,6.8,0.0108952267128388
6.8,6.85,0.0099602416260799
6.85,6.9,0.0093053946822917
6.9,6.95,0.0088267880925878
6.95,7.0,0.0082440886868629
7.0,7.05,0.0076624735986683
7.05,7.1,0.0073350405421073
7.1,7.15,0.0069123742355117
7.15,7.2,0.0069773049361453
7.2,7.25,0.0063749373772755
7.25,7.3,0.0061554968459784
7.3,7.35,0.0058173773025804
