E_min_MeV,E_max_MeV,N
0.0,0.05,0.0
0.05,0.1,0.0
0.1,0.15,0.0
0.15,0.2,0.0
0.2,0.25,0.0
0.25,0.3,0.0
0.3,0.35,0.0
0.35,0.4,0.0
0.4,0.45,0.0
0.45,0.5,0.0
0.5,0.55,0.0
0.55,0.6,0.0
0.6,0.65,0.0
0.65,0.7,0.0
0.7,0.75,0.0618838135362859
0.75,0.8,0.0580542092151207
0.8,0.85,0.0544615952864123
0.85,0.9,0.05109130588878
0.9,0.95,0.047929582739787
0.95,1.0,0.0449635189715237
1.0,1.05,0.0421810064418592
1.05,1.1,0.0395706863062695
1.1,1.15,0.0371219026484701
1.15,1.2,0.0348246589805585
1.2,1.25,0.0326695774350934
1.25,1.3,0.030647860482522
1.3,1.35,0.0287512550176775
1.35,1.4,0.0269720186687402
1.4,1.45,0.0253028881911268
1.45,1.5,0.0237370498172865
1.5,1.55,0.0222681114413621
1.55,1.6,0.0208900765251716
1.6,1.65,0.0195973196189838
1.65,1.7,0.0183845633971632
1.7,1.75,0.0172468571149343
1.75,1.8,0.0161795563983238
1.8,1.85,0.0151783042847767
1.85,1.9,0.0142390134370519
1.9,1.95,0.0133578494577879
1.95,2.0,0.0125312152366273
2.0,2.05,0.0117557362659995
2.05,2.1,0.0110282468656194
2.1,2.15,0.0103457772594648
2.15,2.2,0.0097055414524806
2.2,2.25,0.0091049258575178
2.25,2.3,0.0085414786260799
2.3,2.35,0.0080128996393244
2.35,2.4,0.0075170311184578
2.4,2.45,0.0070518488161955
2.45,2.5,0.0066154537533271
2.5,2.55,0.0062060644666543
2.55,2.6,0.0058220097366562
2.6,2.65,0.0054617217651935
2.65,2.7,0.0051237297754025
2.7,2.75,0.0048066540076517
2.75,2.8,0.0045092000870517
2.8,2.85,0.0042301537395242
2.85,2.9,0.0039683758348614
2.9,2.95,0.0037227977365387
2.95,3.0,0.0034924169392998
3.0,3.05,0.0032762929767032
3.05,3.1,0.003073543581926
3.1,3.15,0.0028833410861517
3.15,3.2,0.0027049090398389
3.2,3.25,0.002537519043079
3.25,3.3,0.0023804877721035
3.3,3.35,0.0022331741898017
3.35,3.4,0.0020949769288626
3.4,3.45,0.0019653318368579
3.45,3.5,0.0018437096732441
3.5,3.55,0.0017296139488833
3.55,3.6,0.0016225788992624
3.6,3.65,0.0015221675831368
3.65,3.7,0.0014279700988383
3.7,3.75,0.0013396019109631
3.75,3.8,0.0012567022806121
3.8,3.85,0.001178932792773
3.85,3.9,0.0011059759748335
3.9,3.95,0.001037534000587
3.95,4.0,0.0009733274744382
4.0,4.05,0.0009130942908476
4.05,4.1,0.0008565885643573
4.1,4.15,0.0008035796258309
4.15,4.2,0.0007538510808103
4.2,4.25,0.0007071999261446
4.25,4.3,0.0006634357212851
4.3,4.35,0.0006223798108642
4.35,4.4,0.0005838645953839
4.4,4.45,0.0005477328470367
4.45,4.5,0.0005138370678662
4.5,4.55,0.000482038887647
4.55,4.6,0.0004522084990266
4.6,4.65,0.0004242241276218
4.65,4.7,0.000397971534909
4.7,4.75,0.000373343551876
4.75,4.8,0.0003502396415344
4.8,4.85,0.0003285654885044
4.85,4.9,0.0003082326139988
4.9,4.95,0.000289158014632
4.95,5.0,0.0002712638235818
5.0,5.05,0.0002544769927192
5.05,5.1,0.0002387289944097
5.1,5.15,0.0002239555417678
5.15,5.2,0.0002100963262235
5.2,5.25,0.0001970947713291
5.25,5.3,0.0001848978018014
5.3,5.35,0.0001734556268563
5.35,5.4,0.0001627215369516
5.4,5.45,0.0001526517131084
5.45,5.5,0.0001432050480316
5.5,5.55,0.000134342978301
5.55,5.6,0.0001260293269466
5.6,5.65,0.0001182301557662
5.65,5.7,0.0001109136267816
5.7,5.75,0.0001040498722693
5.75,5.8,9.761087283329454e-05
5.8,5.85,9.157034302373604e-05
5.85,5.9,8.590362403382346e-05
5.9,5.95,8.058758303691899e-05
5.95,6.0,7.560051875314657e-05
6.0,6.05,7.092207285986591e-05
6.05,6.1,6.65331468844026e-05
6.1,6.15,6.241582423976907e-05
6.15,6.2,5.855329708511083e-05
6.2,6.25,5.4929797712304255e-05
6.25,6.3,5.153053417861093e-05
6.3,6.35,4.834162992262736e-05
6.35,6.4,4.535006711702697e-05
6.4,6.45,4.2543633526849615e-05
6.45,6.5,3.991087265640068e-05
6.5,6.55,3.7441036981247806e-05
6.55,6.6,3.512404407439958e-05
6.6,6.65,3.2950435447561365e-05
6.65,6.7,3.09113379394502e-05
6.7,6.75,2.899842749354653e-05
6.75,6.8,2.720389517741565e-05
6.8,6.85,2.55204153048821e-05
6.85,6.9,2.394111553092423e-05
6.9,6.95,2.245954879720988e-05
6.95,7.0,2.1069667013748316e-05
7.0,7.05,1.976579636922104e-05
7.05,7.1,1.854261416920267e-05
7.1,7.15,1.7395127107720266e-05
