E_min_MeV,E_max_MeV,N
0.0,0.05,0.0
0.05,0.1,0.0
0.1,0.15,0.0
0.15,0.2,0.0
0.2,0.25,0.0
0.25,0.3,0.0
0.3,0.35,0.0
0.35,0.4,0.0
0.4,0.45,0.0
0.45,0.5,0.0
0.5,0.55,0.0
0.55,0.6,0.0
0.6,0.65,0.0
0.65,0.7,0.0
0.7,0.75,0.0005352116085457
0.75,0.8,0.0006912976524809
0.8,0.85,0.000846172466336
0.85,0.9,0.0009998095339433
0.9,0.95,0.0011521827682189
0.95,1.0,0.0013032665111633
1.0,1.05,0.0014530355338612
1.05,1.1,0.0016014650364815
1.1,1.15,0.001748530648277
1.15,1.2,0.001894208427585
1.2,1.25,0.0020384748618268
1.25,1.3,0.002181306867508
1.3,1.35,0.0023226817902181
1.35,1.4,0.0024625774046312
1.4,1.45,0.0026009719145053
1.45,1.5,0.0027378439526825
1.5,1.55,0.0028731725810893
1.55,1.6,0.0030069372907363
1.6,1.65,0.0031391180017182
1.65,1.7,0.0032696950632139
1.7,1.75,0.0033986492534865
1.75,1.8,0.0035259617798834
1.8,1.85,0.0036516142788359
1.85,1.9,0.0037755888158598
1.9,1.95,0.0038978678855547
1.95,2.0,0.0040184344116047
2.0,2.05,0.0041372717467779
2.05,2.1,0.0042543636729267
2.1,2.15,0.0043696944009876
2.15,2.2,0.0044832485709812
2.2,2.25,0.0045950112520124
2.25,2.3,0.0047049679422703
2.3,2.35,0.004813104569028
2.35,2.4,0.004919407488643
2.4,2.45,0.0050238634865567
2.45,2.5,0.005126459777295
2.5,2.55,0.0052271840044677
2.55,2.6,0.005326024240769
2.6,2.65,0.005422968987977
2.65,2.7,0.0055180071769542
2.7,2.75,0.0056111281676473
2.75,2.8,0.005702321749087
2.8,2.85,0.0057915781393883
2.85,2.9,0.0058788879857503
2.9,2.95,0.0059642423644564
2.95,3.0,0.0060476327808739
3.0,3.05,0.0061290511694547
3.05,3.1,0.0062084898937345
3.1,3.15,0.0062859417463334
3.15,3.2,0.0063613999489555
3.2,3.25,0.0064348581523892
3.25,3.3,0.0065063104365071
3.3,3.35,0.0065757513102658
3.35,3.4,0.0066431757117064
3.4,3.45,0.0067085790079537
3.45,3.5,0.0067719569952172
3.5,3.55,0.0068333058987901
3.55,3.6,0.0068926223730501
3.6,3.65,0.0069499035014591
3.65,3.7,0.0070051467965628
3.7,3.75,0.0070583501999915
3.75,3.8,0.0071095120824594
3.8,3.85,0.0071586312437651
3.85,3.9,0.0072057069127911
3.9,3.95,0.0072507387475043
3.95,4.0,0.0072937268349557
4.0,4.05,0.0073346716912804
4.05,4.1,0.0073735742616979
4.1,4.15,0.0074104359205116
4.15,4.2,0.0074452584711093
4.2,4.25,0.0074780441459628
4.25,4.3,0.0075087956066282
4.3,4.35,0.0075375159437457
4.35,4.4,0.0075642086770397
4.4,4.45,0.0075888777553188
4.45,4.5,0.0076115275564758
4.5,4.55,0.0076321628874875
4.55,4.6,0.0076507889844151
4.6,4.65,0.007667411512404
4.65,4.7,0.0076820365656834
4.7,4.75,0.0076946706675671
4.75,4.8,0.0077053207704529
4.8,4.85,0.0077139942558227
4.85,4.9,0.0077206989342427
4.9,4.95,0.0077254430453633
4.95,5.0,0.007728235257919
5.0,5.05,0.0077290846697284
5.05,5.1,0.0077280008076945
5.1,5.15,0.0077249936278042
5.15,5.2,0.0077200735151287
5.2,5.25,0.0077132512838235
5.25,5.3,0.0077045381771281
5.3,5.35,0.0076939458673663
5.35,5.4,0.007681486455946
5.4,5.45,0.0076671724733592
5.45,5.5,0.0076510168791822
5.5,5.55,0.0076330330620755
5.55,5.6,0.0076132348397838
5.6,5.65,0.0075916364591357
5.65,5.7,0.0075682525960442
5.7,5.75,0.0075430983555065
5.75,5.8,0.007516189271604
5.8,5.85,0.0074875413075021
5.85,5.9,0.0074571708554504
5.9,5.95,0.0074250947367829
5.95,6.0,0.0073913302019175
6.0,6.05,0.0073558949303565
6.05,6.1,0.0073188070306862
6.1,6.15,0.0072800850405772
6.15,6.2,0.0072397479267841
6.2,6.25,0.007197815085146
6.25,6.3,0.0071543063405858
6.3,6.35,0.0071092419471108
6.35,6.4,0.0070626425878125
6.4,6.45,0.0070145293748664
6.45,6.5,0.0069649238495323
6.5,6.55,0.0069138479821542
6.55,6.6,0.0068613241721602
6.6,6.65,0.0068073752480626
6.65,6.7,0.0067520244674579
6.7,6.75,0.0066952955170268
6.75,6.8,0.006637212512534
6.8,6.85,0.0065777999988286
6.85,6.9,0.0065170829498437
6.9,6.95,0.0064550867685967
6.95,7.0,0.0063918372871892
7.0,7.05,0.0063273607668069
7.05,7.1,0.0062616838977196
7.1,7.15,0.0061948337992814
7.15,7.2,0.0061268380199305
7.2,7.25,0.0060577245371893
7.25,7.3,0.0059875217576645
7.3,7.35,0.0059162585170467
