detector,reactor,baseline_km
AD11,R1,0.36238
AD11,R2,0.37176
AD11,R3,0.90347
AD11,R4,0.81716
AD11,R5,1.3536199999999998
AD11,R6,1.26532
AD12,R1,0.35794
AD12,R2,0.36841
AD12,R3,0.90335
AD12,R4,0.8169
AD12,R5,1.35423
AD12,R6,1.2658900000000002
AD21,R1,1.33248
AD21,R2,1.3581500000000002
AD21,R3,0.46757
AD21,R4,0.48957999999999996
AD21,R5,0.5575800000000001
AD21,R6,0.49921
AD22,R1,1.3374300000000001
AD22,R2,1.36288
AD22,R3,0.47297
AD22,R4,0.49535
AD22,R5,0.55871
AD22,R6,0.50107
AD31,R1,1.9196300000000002
AD31,R2,1.89434
AD31,R3,1.53318
AD31,R4,1.53363
AD31,R5,1.5513800000000002
AD31,R6,1.52494
AD32,R1,1.91752
AD32,R2,1.89198
AD32,R3,1.53492
AD32,R4,1.53503
AD32,R5,1.55477
AD32,R6,1.52805
AD33,R1,1.92526
AD33,R2,1.8998599999999999
AD33,R3,1.5389300000000001
AD33,R4,1.5394700000000001
AD33,R5,1.5563399999999998
AD33,R6,1.5300799999999999
AD34,R1,1.9231500000000001
AD34,R2,1.89751
AD34,R3,1.54067
AD34,R4,1.54087
AD34,R5,1.55972
AD34,R6,1.53318
