E_min_MeV,E_max_MeV,N
0.0,0.05,0
0.05,0.1,0
0.1,0.15,0
0.15,0.2,0
0.2,0.25,0
0.25,0.3,0
0.3,0.35,0
0.35,0.4,0
0.4,0.45,0
0.45,0.5,0
0.5,0.55,0
0.55,0.6,0
0.6,0.65,0
0.65,0.7,0
0.7,0.75,900
0.75,0.8,958
0.8,0.85,1140
0.85,0.9,1505
0.9,0.95,1826
0.95,1.0,2280
1.0,1.05,2476
1.05,1.1,2781
1.1,1.15,3053
1.15,1.2,3521
1.2,1.25,3767
1.25,1.3,4172
1.3,1.35,4537
1.35,1.4,4850
1.4,1.45,5091
1.45,1.5,5364
1.5,1.55,5940
1.55,1.6,5949
1.6,1.65,6264
1.65,1.7,6529
1.7,1.75,6943
1.75,1.8,7138
1.8,1.85,7275
1.85,1.9,7619
1.9,1.95,7751
1.95,2.0,7952
2.0,2.05,8255
2.05,2.1,8325
2.1,2.15,8463
2.15,2.2,8727
2.2,2.25,8833
2.25,2.3,9040
2.3,2.35,9288
2.35,2.4,9513
2.4,2.45,9543
2.45,2.5,9706
2.5,2.55,9684
2.55,2.6,9902
2.6,2.65,10043
2.65,2.7,9697
2.7,2.75,9970
2.75,2.8,9854
2.8,2.85,9840
2.85,2.9,9953
2.9,2.95,10004
2.95,3.0,9747
3.0,3.05,9855
3.05,3.1,9914
3.1,3.15,9875
3.15,3.2,9777
3.2,3.25,9662
3.25,3.3,9383
3.3,3.35,9233
3.35,3.4,9172
3.4,3.45,9107
3.45,3.5,8897
3.5,3.55,8839
3.55,3.6,8719
3.6,3.65,8468
3.65,3.7,8349
3.7,3.75,8173
3.75,3.8,7867
3.8,3.85,8002
3.85,3.9,7573
3.9,3.95,7556
3.95,4.0,7376
4.0,4.05,7344
4.05,4.1,7027
4.1,4.15,7128
4.15,4.2,6943
4.2,4.25,6848
4.25,4.3,6610
4.3,4.35,6592
4.35,4.4,6529
4.4,4.45,6446
4.45,4.5,6202
4.5,4.55,6159
4.55,4.6,6007
4.6,4.65,5869
4.65,4.7,5676
4.7,4.75,5597
4.75,4.8,5422
4.8,4.85,5234
4.85,4.9,5173
4.9,4.95,5058
4.95,5.0,4889
5.0,5.05,4899
5.05,5.1,4617
5.1,5.15,4500
5.15,5.2,4237
5.2,5.25,4071
5.25,5.3,3998
5.3,5.35,3906
5.35,5.4,3709
5.4,5.45,3611
5.45,5.5,3246
5.5,5.55,3302
5.55,5.6,3101
5.6,5.65,3017
5.65,5.7,2858
5.7,5.75,2725
5.75,5.8,2618
5.8,5.85,2497
5.85,5.9,2403
5.9,5.95,2274
5.95,6.0,2229
6.0,6.05,2156
6.05,6.1,2049
6.1,6.15,1998
6.15,6.2,1882
6.2,6.25,1743
6.25,6.3,1642
6.3,6.35,1506
6.35,6.4,1432
6.4,6.45,1313
6.45,6.5,1260
6.5,6.55,1151
6.55,6.6,1084
6.6,6.65,1020
6.65,6.7,898
6.7,6.75,920
6.75,6.8,820
6.8,6.85,762
6.85,6.9,701
6.9,6.95,670
6.95,7.0,591
7.0,7.05,626
7.05,7.1,496
7.1,7.15,500
7.15,7.2,446
7.2,7.25,413
7.25,7.3,350
7.3,7.35,354
7.35,7.4,309
7.4,7.45,266
7.45,7.5,244
7.5,7.55,210
7.55,7.6,196
7.6,7.65,171
7.65,7.7,151
7.7,7.75,134
7.75,7.8,117
7.8,7.85,125
7.85,7.9,93
7.9,7.95,84
7.95,8.0,75
8.0,8.05,87
8.05,8.1,73
8.1,8.15,60
8.15,8.2,62
8.2,8.25,64
8.25,8.3,68
8.3,8.35,47
8.35,8.4,53
8.4,8.45,56
8.45,8.5,33
8.5,8.55,40
8.55,8.6,40
8.6,8.65,30
8.65,8.7,40
8.7,8.75,36
8.75,8.8,28
8.8,8.85,27
8.85,8.9,19
8.9,8.95,28
8.95,9.0,25
9.0,9.05,26
9.05,9.1,17
9.1,9.15,23
9.15,9.2,25
9.2,9.25,16
9.25,9.3,20
9.3,9.35,14
9.35,9.4,14
9.4,9.45,23
9.45,9.5,16
9.5,9.55,21
9.55,9.6,17
9.6,9.65,16
9.65,9.7,10
9.7,9.75,20
9.75,9.8,14
9.8,9.85,18
9.85,9.9,17
9.9,9.95,14
9.95,10.0,7
10.0,10.05,11
10.05,10.1,6
10.1,10.15,12
10.15,10.2,12
10.2,10.25,6
10.25,10.3,4
10.3,10.35,8
10.35,10.4,9
10.4,10.45,0
10.45,10.5,5
10.5,10.55,6
10.55,10.6,6
10.6,10.65,9
10.65,10.7,4
10.7,10.75,4
10.75,10.8,5
10.8,10.85,2
10.85,10.9,5
10.9,10.95,6
10.95,11.0,7
11.0,11.05,5
11.05,11.1,8
11.1,11.15,5
11.15,11.2,4
11.2,11.25,3
11.25,11.3,4
11.3,11.35,3
11.35,11.4,2
11.4,11.45,3
11.45,11.5,4
11.5,11.55,5
11.55,11.6,3
11.6,11.65,2
11.65,11.7,7
11.7,11.75,3
11.75,11.8,3
11.8,11.85,8
11.85,11.9,2
11.9,11.95,9
11.95,12.0,3
