E_MeV,f
1.022,0.8946284848363589
1.046,0.8918817055678759
1.07,0.8929387984240101
1.094,0.8946374971785108
1.118,0.8965726187088664
1.142,0.8985892899789764
1.166,0.9006268633827031
1.19,0.9026693871718052
1.214,0.9047019271846136
1.238,0.906782282169726
1.262,0.908888980984889
1.286,0.9110022564398028
1.31,0.9131006397290647
1.334,0.9151808314752496
1.358,0.9172258492168696
1.382,0.919255695380208
1.406,0.921248163545422
1.43,0.9231896930319028
1.454,0.925125990085559
1.478,0.9270222891041332
1.502,0.9288566006052424
1.526,0.9306670561666532
1.55,0.9324247336899476
1.574,0.934168105494728
1.598,0.9358167056145236
1.622,0.9375137678906734
1.646,0.9391379251186596
1.67,0.940702105315544
1.694,0.9422530054596332
1.718,0.9437826749355062
1.742,0.945228557217088
1.766,0.946693884591221
1.79,0.948077476698888
1.814,0.9494191093056252
1.838,0.95078177326129
1.862,0.9521586703041252
1.886,0.9533557937326392
1.91,0.9546112335212796
1.934,0.9558643475321362
1.958,0.9570434667659042
1.982,0.9583134358401642
2.006,0.9593911893058295
2.03,0.9605127428316278
2.054,0.9616094031747836
2.078,0.9626795941615448
2.102,0.9637239183985188
2.126,0.964746482216254
2.15,0.965758996444619
2.174,0.966748090900378
2.198,0.9677142451031144
2.222,0.9686586290082863
2.246,0.9695826236829208
2.27,0.9704861194462916
2.294,0.9713696037636974
2.318,0.972233802311218
2.342,0.973092559881638
2.366,0.9739356929297968
2.39,0.974760879659954
2.414,0.9755686250877372
2.438,0.9763552505272662
2.462,0.9771235088159244
2.486,0.9778759353635512
2.51,0.9786131035231996
2.534,0.9793328733065292
2.558,0.9800355837820228
2.582,0.9807241636455408
2.606,0.9813990556535724
2.63,0.9820690463165532
2.654,0.982742617500156
2.678,0.983403210926388
2.702,0.9840511140240936
2.726,0.984683127450344
2.75,0.9852858298854896
2.774,0.985877263897703
2.798,0.9864576614120087
2.822,0.987027278234236
2.846,0.9875893970590854
2.87,0.988141278795338
2.894,0.988683184249646
2.918,0.9892153536001868
2.942,0.9897583223803647
2.966,0.9902956170836164
2.99,0.9908235928534552
3.014,0.9913423447328804
3.038,0.99184102128723
3.062,0.9923254088060882
3.086,0.9928016160027304
3.11,0.9932696581016937
3.134,0.993729764182358
3.158,0.9941821698472174
3.182,0.9946270097261396
3.206,0.9950645436551
3.23,0.9954942025841124
3.254,0.9959154269240134
3.278,0.9963297997778772
3.302,0.9967374892374172
3.326,0.9971386417408372
3.35,0.9975334365142756
3.374,0.997922025730972
3.398,0.9983043880728678
3.422,0.998680792748322
3.446,0.9990635837359404
3.47,0.9994404114858274
3.494,0.999811509035421
3.518,1.000176904875108
3.542,1.000536844486596
3.566,1.0008912856366432
3.59,1.0012404925887557
3.614,1.0015844630037791
3.638,1.00191677044601
3.662,1.0022408783989858
3.686,1.0025602077799436
3.71,1.0028749147407747
3.734,1.0031850481150495
3.758,1.0034906890828907
3.782,1.0037919924148624
3.806,1.004088924995847
3.83,1.004384687363718
3.854,1.0046822958840245
3.878,1.004975691209907
3.902,1.0052650163539782
3.926,1.0055503278322928
3.95,1.0058317569456925
3.974,1.006109334080082
3.998,1.0063831085047947
4.022,1.0066531579347062
4.046,1.0069118836693711
4.07,1.0071671633479893
4.094,1.0074189905986546
4.118,1.0076675170174882
4.142,1.0079127257497529
4.166,1.0081546904609533
4.19,1.008393521077374
4.214,1.0086292541071755
4.238,1.008861361576356
4.262,1.0090902794025305
4.286,1.0093161931803538
4.31,1.0095392541038986
4.334,1.0097594905193137
4.358,1.0099769119938895
4.382,1.0101916564414857
4.406,1.0104036721107528
4.43,1.0106102430534354
4.454,1.0108085761313386
4.478,1.0110044888017724
4.502,1.0111979584537794
4.526,1.0113890932036491
4.55,1.0115778617686746
4.574,1.0117643372338847
4.598,1.0119485705447089
4.622,1.0121305405344625
4.646,1.012328413646751
4.67,1.0125239485519597
4.694,1.0127171859890804
4.718,1.0129081634372858
4.742,1.0130969155098972
4.766,1.0132834825359205
4.79,1.0134678933993402
4.814,1.0136501910493056
4.838,1.0138275969894968
4.862,1.0140015924789572
4.886,1.0141735919033148
4.91,1.0143436193833697
4.934,1.0145117687642302
4.958,1.0146779953980347
4.982,1.0148423937039264
5.006,1.0150049710745688
5.03,1.015164925623652
5.054,1.0153216038042514
5.078,1.0154765156935133
5.102,1.0156297732992643
5.126,1.0157813226048134
5.15,1.0159312714141286
5.174,1.0160795798485756
5.198,1.0162263059458851
5.222,1.0163714332604918
5.246,1.016515060440765
5.27,1.016657138497128
5.294,1.016797740580946
5.318,1.0169368372256136
5.342,1.0170745048716014
5.366,1.017210702114257
5.39,1.0173455374594995
5.414,1.01747894366768
5.438,1.0176109880408732
5.462,1.0177416529094627
5.486,1.017871022192922
5.51,1.0179990507537455
5.534,1.018122278371958
5.558,1.0182407192920444
5.582,1.0183580205536884
5.606,1.018474092549561
5.63,1.018589002628338
5.654,1.0187027687968595
5.678,1.0188154406737422
5.702,1.018926969333552
5.726,1.0190373919645603
5.75,1.0191467282529407
5.774,1.019255029371738
5.798,1.0193622619566467
5.822,1.0194684406159649
5.846,1.0195735893178692
5.87,1.0196777504372116
5.894,1.0197809198060437
5.918,1.0198830804667438
5.942,1.0199842661314582
5.966,1.0200845065952355
5.99,1.0201838287258955
6.014,1.0202821819901695
6.038,1.020382082759807
6.062,1.0204822369443902
6.086,1.020581518506581
6.11,1.020679871591476
6.134,1.0207773191785632
6.158,1.0208739071863615
6.182,1.0209695771357006
6.206,1.0210644276388288
6.23,1.0211584107826632
6.254,1.0212515411796717
6.278,1.0213438719012886
6.302,1.0214353794298894
6.326,1.0215260365475916
6.35,1.0216159367356366
6.374,1.021705024082192
6.398,1.0217933396350676
6.422,1.021880905506483
6.446,1.0219676670379971
6.47,1.0220537234516254
6.494,1.0221390127473282
6.518,1.0222235796940304
6.542,1.0223080879227753
6.566,1.0223919633147438
6.59,1.022475172308717
6.614,1.022557678565552
6.638,1.0226394592778876
6.662,1.0227205792541945
6.686,1.0228010334595332
6.71,1.0228808004066183
6.734,1.0229599016419126
6.758,1.0230383730338988
6.782,1.023116202647942
6.806,1.023193351998525
6.83,1.023269915736253
6.854,1.0233458562772193
6.878,1.0234211511027798
6.902,1.0234958626517303
6.926,1.0235699832356009
6.95,1.0236434943595318
6.974,1.0237164117606534
6.998,1.0237887745396212
7.022,1.0238605244777454
7.046,1.023929199633001
7.07,1.0239973091767467
7.094,1.0240648934093972
7.118,1.0241319242332714
7.142,1.024198474049982
7.166,1.0242644742427085
7.19,1.0243299897724163
7.214,1.0243949672116834
7.238,1.024459479168114
7.262,1.0245234728963704
7.286,1.0245870115907585
7.31,1.0246500283056463
7.334,1.024712592567566
7.358,1.0247746770482364
7.382,1.0248363189534015
