isotope,E_MeV,C
U235,1.8,0.0599999999999999
U235,1.81,0.0598647126183374
U235,1.82,0.0597278765400077
U235,1.83,0.059589491765011
U235,1.84,0.0594495582933471
U235,1.85,0.0593080761250162
U235,1.86,0.0591650452600181
U235,1.87,0.0590204656983529
U235,1.88,0.0588743374400207
U235,1.89,0.0587266604850213
U235,1.9,0.0585774348333549
U235,1.91,0.0584266604850213
U235,1.92,0.0582743374400207
U235,1.93,0.0581204656983529
U235,1.94,0.0579650452600181
U235,1.95,0.0578080761250162
U235,1.96,0.0576495582933471
U235,1.97,0.057489491765011
U235,1.98,0.0573278765400077
U235,1.99,0.0571647126183374
U235,2.0,0.057
U235,2.01,0.0568337386849954
U235,2.02,0.0566659286733238
U235,2.03,0.056496569964985
U235,2.04,0.0563256625599792
U235,2.05,0.0561532064583063
U235,2.06,0.0559792016599662
U235,2.07,0.0558036481649591
U235,2.08,0.0556265459732849
U235,2.09,0.0554478950849435
U235,2.1,0.0552676954999351
U235,2.11,0.0550859472182596
U235,2.12,0.0549026502399169
U235,2.13,0.0547178045649072
U235,2.14,0.0545314101932304
U235,2.15,0.0543434671248865
U235,2.16,0.0541539753598754
U235,2.17,0.0539629348981973
U235,2.18,0.0537703457398521
U235,2.19,0.0535762078848398
U235,2.2,0.0533805213331604
U235,2.21,0.0531832860848138
U235,2.22,0.0529845021398002
U235,2.23,0.0527841694981195
U235,2.24,0.0525822881597717
U235,2.25,0.0523788581247568
U235,2.26,0.0521694157437426
U235,2.27,0.0519494973673972
U235,2.28,0.0517191029957203
U235,2.29,0.0514782326287122
U235,2.3,0.0512268862663726
U235,2.31,0.0509650639087018
U235,2.32,0.0506927655556996
U235,2.33,0.050409991207366
U235,2.34,0.0501167408637011
U235,2.35,0.0498130145247049
U235,2.36,0.0494988121903773
U235,2.37,0.0491741338607184
U235,2.38,0.0488389795357281
U235,2.39,0.0484933492154065
U235,2.4,0.0481372428997535
U235,2.41,0.0477706605887692
U235,2.42,0.0473936022824536
U235,2.43,0.0470060679808066
U235,2.44,0.0466080576838282
U235,2.45,0.0461995713915185
U235,2.46,0.0457806091038775
U235,2.47,0.0453511708209051
U235,2.48,0.0449112565426014
U235,2.49,0.0444608662689663
U235,2.5,0.0439999999999999
U235,2.51,0.0435286577357022
U235,2.52,0.0430468394760731
U235,2.53,0.0425545452211126
U235,2.54,0.0420517749708208
U235,2.55,0.0415385287251977
U235,2.56,0.0410148064842432
U235,2.57,0.0404806082479574
U235,2.58,0.0399359340163402
U235,2.59,0.0393807837893917
U235,2.6,0.0388151575671118
U235,2.61,0.0382390553495006
U235,2.62,0.0376524771365581
U235,2.63,0.0370554229282842
U235,2.64,0.0364478927246789
U235,2.65,0.0358298865257423
U235,2.66,0.0352014043314744
U235,2.67,0.0345624461418751
U235,2.68,0.0339130119569445
U235,2.69,0.0332531017766826
U235,2.7,0.0325827156010892
U235,2.71,0.0319018534301646
U235,2.72,0.0312105152639086
U235,2.73,0.0305087011023212
U235,2.74,0.0297964109454025
U235,2.75,0.0290736447931525
U235,2.76,0.0283522429775644
U235,2.77,0.0276440458306315
U235,2.78,0.0269490533523537
U235,2.79,0.026267265542731
U235,2.8,0.0255986824017636
U235,2.81,0.0249433039294513
U235,2.82,0.0243011301257942
U235,2.83,0.0236721609907923
U235,2.84,0.0230563965244455
U235,2.85,0.0224538367267539
U235,2.86,0.0218644815977174
U235,2.87,0.0212883311373362
U235,2.88,0.0207253853456101
U235,2.89,0.0201756442225391
U235,2.9,0.0196391077681233
U235,2.91,0.0191157759823628
U235,2.92,0.0186056488652573
U235,2.93,0.0181087264168071
U235,2.94,0.0176250086370119
U235,2.95,0.017154495525872
U235,2.96,0.0166971870833873
U235,2.97,0.0162530833095577
U235,2.98,0.0158221842043832
U235,2.99,0.015404489767864
U235,3.0,0.0149999999999999
U235,3.01,0.014608714900791
U235,3.02,0.0142306344702372
U235,3.03,0.0138657587083386
U235,3.04,0.0135140876150952
U235,3.05,0.013175621190507
U235,3.06,0.0128503594345739
U235,3.07,0.012538302347296
U235,3.08,0.0122394499286732
U235,3.09,0.0119538021787057
U235,3.1,0.0116813590973932
U235,3.11,0.011422120684736
U235,3.12,0.0111760869407339
U235,3.13,0.010943257865387
U235,3.14,0.0107236334586953
U235,3.15,0.0105172137206587
U235,3.16,0.0103239986512773
U235,3.17,0.0101439882505511
U235,3.18,0.00997718251848
U235,3.19,0.0098235814550641
U235,3.2,0.0096831850603034
U235,3.21,0.0095559933341978
U235,3.22,0.0094420062767474
U235,3.23,0.0093412238879522
U235,3.24,0.0092536461678122
U235,3.25,0.0091792731163273
U235,3.26,0.0091107263908701
U235,3.27,0.0090406276488133
U235,3.28,0.0089689768901569
U235,3.29,0.0088957741149007
U235,3.3,0.0088210193230449
U235,3.31,0.0087447125145895
U235,3.32,0.0086668536895344
U235,3.33,0.0085874428478796
U235,3.34,0.0085064799896251
U235,3.35,0.008423965114771
U235,3.36,0.0083398982233173
U235,3.37,0.0082542793152638
U235,3.38,0.0081671083906108
U235,3.39,0.008078385449358
U235,3.4,0.0079881104915056
U235,3.41,0.0078962835170535
U235,3.42,0.0078029045260017
U235,3.43,0.0077079735183503
U235,3.44,0.0076114904940993
U235,3.45,0.0075134554532485
U235,3.46,0.0074138683957981
U235,3.47,0.0073127293217481
U235,3.48,0.0072100382310984
U235,3.49,0.007105795123849
U235,3.5,0.0069999999999999
U235,3.51,0.0068926528595512
U235,3.52,0.0067837537025029
U235,3.53,0.0066733025288548
U235,3.54,0.0065612993386071
U235,3.55,0.0064477441317598
U235,3.56,0.0063326369083127
U235,3.57,0.006215977668266
U235,3.58,0.0060977664116197
U235,3.59,0.0059780031383737
U235,3.6,0.005856687848528
U235,3.61,0.0057338205420827
U235,3.62,0.0056094012190377
U235,3.63,0.005483429879393
U235,3.64,0.0053559065231487
U235,3.65,0.0052268311503047
U235,3.66,0.005096203760861
U235,3.67,0.0049640243548177
U235,3.68,0.0048302929321747
U235,3.69,0.0046950094929321
U235,3.7,0.0045581740370898
U235,3.71,0.0044197865646478
U235,3.72,0.0042798470756062
U235,3.73,0.0041383555699649
U235,3.74,0.003995312047724
U235,3.75,0.0038507165088833
U235,3.76,0.0037065986772143
U235,3.77,0.0035649882764881
U235,3.78,0.0034258853067046
U235,3.79,0.003289289767864
U235,3.8,0.0031552016599662
U235,3.81,0.0030236209830112
U235,3.82,0.002894547736999
U235,3.83,0.0027679819219296
U235,3.84,0.0026439235378031
U235,3.85,0.0025223725846193
U235,3.86,0.0024033290623783
U235,3.87,0.0022867929710802
U235,3.88,0.0021727643107249
U235,3.89,0.0020612430813123
U235,3.9,0.0019522292828426
U235,3.91,0.0018457229153157
U235,3.92,0.0017417239787316
U235,3.93,0.0016402324730903
U235,3.94,0.0015412483983918
U235,3.95,0.0014447717546362
U235,3.96,0.0013508025418233
U235,3.97,0.0012593407599532
U235,3.98,0.001170386409026
U235,3.99,0.0010839394890416
U235,4.0,0.0009999999999999
U235,4.01,0.0009185679419011
U235,4.02,0.0008396433147451
U235,4.03,0.0007632261185319
U235,4.04,0.0006893163532615
U235,4.05,0.0006179140189339
U235,4.06,0.0005490191155491
U235,4.07,0.0004826316431072
U235,4.08,0.000418751601608
U235,4.09,0.0003573789910517
U235,4.1,0.0002985138114381
U235,4.11,0.0002421560627674
U235,4.12,0.0001883057450395
U235,4.13,0.0001369628582544
U235,4.14,8.81274024121273e-05
U235,4.15,4.179937751263468e-05
U235,4.16,0.0
U235,4.17,0.0
U235,4.18,0.0
U235,4.19,0.0
U235,4.2,0.0
U235,4.21,0.0
U235,4.22,0.0
U235,4.23,0.0
U235,4.24,0.0
U235,4.25,0.0
U235,4.26,0.0
U235,4.27,0.0
U235,4.28,0.0
U235,4.29,0.0
U235,4.3,0.0
U235,4.31,0.0
U235,4.32,0.0
U235,4.33,0.0
U235,4.34,0.0
U235,4.35,0.0
U235,4.36,0.0
U235,4.37,0.0
U235,4.38,0.0
U235,4.39,0.0
U235,4.4,0.0
U235,4.41,0.0
U235,4.42,0.0
U235,4.43,0.0
U235,4.44,0.0
U235,4.45,0.0
U235,4.46,0.0
U235,4.47,0.0
U235,4.48,0.0
U235,4.49,0.0
Pu239,1.8,0.0219999999999999
Pu239,1.81,0.0219493790688626
Pu239,1.82,0.0218988234988976
Pu239,1.83,0.021848333290105
Pu239,1.84,0.0217979084424847
Pu239,1.85,0.0217475489560368
Pu239,1.86,0.0216972548307612
Pu239,1.87,0.021647026066658
Pu239,1.88,0.0215968626637271
Pu239,1.89,0.0215467646219686
Pu239,1.9,0.0214967319413824
Pu239,1.91,0.0214467646219686
Pu239,1.92,0.0213968626637271
Pu239,1.93,0.021347026066658
Pu239,1.94,0.0212972548307612
Pu239,1.95,0.0212475489560368
Pu239,1.96,0.0211979084424847
Pu239,1.97,0.021148333290105
Pu239,1.98,0.0210988234988976
Pu239,1.99,0.0210493790688626
Pu239,2.0,0.0209999999999999
Pu239,2.01,0.0209506862923096
Pu239,2.02,0.0209014379457917
Pu239,2.03,0.0208522549604461
Pu239,2.04,0.0208031373362728
Pu239,2.05,0.0207540850732719
Pu239,2.06,0.0207050981714433
Pu239,2.07,0.0206561766307871
Pu239,2.08,0.0206073204513033
Pu239,2.09,0.0205585296329918
Pu239,2.1,0.0205098041758526
Pu239,2.11,0.0204611440798858
Pu239,2.12,0.0204125493450914
Pu239,2.13,0.0203640199714693
Pu239,2.14,0.0203155559590195
Pu239,2.15,0.0202671573077421
Pu239,2.16,0.0202188240176371
Pu239,2.17,0.0201705560887044
Pu239,2.18,0.0201223535209441
Pu239,2.19,0.0200742163143561
Pu239,2.2,0.0200261444689404
Pu239,2.21,0.0199781379846971
Pu239,2.22,0.0199301968616262
Pu239,2.23,0.0198823210997276
Pu239,2.24,0.0198345106990014
Pu239,2.25,0.0197867656594475
Pu239,2.26,0.0197365029697834
Pu239,2.27,0.0196811396187264
Pu239,2.28,0.0196206756062767
Pu239,2.29,0.0195551109324341
Pu239,2.3,0.0194844455971988
Pu239,2.31,0.0194086796005706
Pu239,2.32,0.0193278129425496
Pu239,2.33,0.0192418456231357
Pu239,2.34,0.0191507776423291
Pu239,2.35,0.0190546090001296
Pu239,2.36,0.0189533396965374
Pu239,2.37,0.0188469697315523
Pu239,2.38,0.0187354991051744
Pu239,2.39,0.0186189278174037
Pu239,2.4,0.0184972558682401
Pu239,2.41,0.0183704832576838
Pu239,2.42,0.0182386099857346
Pu239,2.43,0.0181016360523926
Pu239,2.44,0.0179595614576578
Pu239,2.45,0.0178123862015302
Pu239,2.46,0.0176601102840098
Pu239,2.47,0.0175027337050966
Pu239,2.48,0.0173402564647905
Pu239,2.49,0.0171726785630916
Pu239,2.5,0.0169999999999999
Pu239,2.51,0.0168222207755154
