reactor,E_MeV,C
R1,1.75,0.0131699999999999
R1,1.76,0.0132455091946187
R1,1.77,0.0133158535127051
R1,1.78,0.0133809380556046
R1,1.79,0.0134406679246624
R1,1.8,0.0134949482212238
R1,1.81,0.0135436840466342
R1,1.82,0.0135867805022388
R1,1.83,0.0136241426893831
R1,1.84,0.0136556757094122
R1,1.85,0.0136812846636715
R1,1.86,0.0137008746535064
R1,1.87,0.0137143507802621
R1,1.88,0.0137216181452839
R1,1.89,0.0137225818499172
R1,1.9,0.0137171469955073
R1,1.91,0.0137052186833995
R1,1.92,0.0136867020149391
R1,1.93,0.0136615020914714
R1,1.94,0.0136295240143417
R1,1.95,0.0135906728848954
R1,1.96,0.0135448538044777
R1,1.97,0.013491971874434
R1,1.98,0.0134319321961096
R1,1.99,0.0133646398708498
R1,2.0,0.01329
R1,2.01,0.0132028935764741
R1,2.02,0.0130993025519656
R1,2.03,0.0129807834659888
R1,2.04,0.0128488928580582
R1,2.05,0.0127051872676878
R1,2.06,0.0125512232343921
R1,2.07,0.0123885572976855
R1,2.08,0.0122187459970821
R1,2.09,0.0120433458720963
R1,2.1,0.0118639134622425
R1,2.11,0.0116820053070349
R1,2.12,0.0114991779459878
R1,2.13,0.0113169879186157
R1,2.14,0.0111369917644327
R1,2.15,0.0109607460229532
R1,2.16,0.0107898072336915
R1,2.17,0.010625731936162
R1,2.18,0.0104700766698789
R1,2.19,0.0103243979743565
R1,2.2,0.0101902523891093
R1,2.21,0.0100691964536514
R1,2.22,0.0099627867074972
R1,2.23,0.009872579690161
R1,2.24,0.0098001319411572
R1,2.25,0.0097469999999999
R1,2.26,0.0097053917566505
R1,2.27,0.009666339018102
R1,2.28,0.0096296341994167
R1,2.29,0.0095950697156571
R1,2.3,0.0095624379818856
R1,2.31,0.0095315314131644
R1,2.32,0.0095021424245561
R1,2.33,0.0094740634311229
R1,2.34,0.0094470868479272
R1,2.35,0.0094210050900315
R1,2.36,0.009395610572498
R1,2.37,0.0093706957103892
R1,2.38,0.0093460529187675
R1,2.39,0.0093214746126952
R1,2.4,0.0092967532072346
R1,2.41,0.0092716811174482
R1,2.42,0.0092460507583984
R1,2.43,0.0092196545451474
R1,2.44,0.0091922848927578
R1,2.45,0.0091637342162918
R1,2.46,0.0091337949308119
R1,2.47,0.0091022594513803
R1,2.48,0.0090689201930596
R1,2.49,0.009033569570912
R1,2.5,0.0089959999999999
R1,2.51,0.0089569991183487
R1,2.52,0.0089174653824402
R1,2.53,0.0088773574350214
R1,2.54,0.0088366339188397
R1,2.55,0.008795253476642
R1,2.56,0.0087531747511758
R1,2.57,0.008710356385188
R1,2.58,0.0086667570214258
R1,2.59,0.0086223353026365
R1,2.6,0.0085770498715671
R1,2.61,0.008530859370965
R1,2.62,0.0084837224435771
R1,2.63,0.0084355977321507
R1,2.64,0.008386443879433
R1,2.65,0.0083362195281712
R1,2.66,0.0082848833211123
R1,2.67,0.0082323939010036
R1,2.68,0.0081787099105922
R1,2.69,0.0081237899926253
R1,2.7,0.0080675927898501
R1,2.71,0.0080100769450137
R1,2.72,0.0079512011008634
R1,2.73,0.0078909239001462
R1,2.74,0.0078292039856093
R1,2.75,0.0077659999999999
R1,2.76,0.0076885129692753
R1,2.77,0.0075854308269119
R1,2.78,0.0074589425769357
R1,2.79,0.0073112372233727
R1,2.8,0.0071445037702489
R1,2.81,0.0069609312215901
R1,2.82,0.0067627085814225
R1,2.83,0.0065520248537719
R1,2.84,0.0063310690426644
R1,2.85,0.006102030152126
R1,2.86,0.0058670971861826
R1,2.87,0.0056284591488601
R1,2.88,0.0053883050441847
R1,2.89,0.0051488238761822
R1,2.9,0.0049122046488787
R1,2.91,0.0046806363663
R1,2.92,0.0044563080324723
R1,2.93,0.0042414086514214
R1,2.94,0.0040381272271734
R1,2.95,0.0038486527637542
R1,2.96,0.0036751742651898
R1,2.97,0.0035198807355062
R1,2.98,0.0033849611787294
R1,2.99,0.0032726045988853
R1,3.0,0.0031849999999999
R1,3.01,0.0031156078682151
R1,3.02,0.0030558855451557
R1,3.03,0.0030050173180728
R1,3.04,0.002962187474217
R1,3.05,0.0029265803008394
R1,3.06,0.0028973800851907
R1,3.07,0.0028737711145218
R1,3.08,0.0028549376760835
R1,3.09,0.0028400640571268
R1,3.1,0.0028283345449024
R1,3.11,0.0028189334266612
R1,3.12,0.0028110449896541
R1,3.13,0.0028038535211319
R1,3.14,0.0027965433083455
R1,3.15,0.0027882986385457
R1,3.16,0.0027783037989834
R1,3.17,0.0027657430769094
R1,3.18,0.0027498007595746
R1,3.19,0.0027296611342298
R1,3.2,0.0027045084881259
R1,3.21,0.0026735271085138
R1,3.22,0.0026359012826443
R1,3.23,0.0025908152977683
R1,3.24,0.0025374534411365
R1,3.25,0.0024749999999999
R1,3.26,0.0024051054570412
R1,3.27,0.0023302816519132
R1,3.28,0.0022510049073224
R1,3.29,0.0021677515459752
R1,3.3,0.0020809978905781
R1,3.31,0.0019912202638373
R1,3.32,0.0018988949884594
R1,3.33,0.0018044983871507
R1,3.34,0.0017085067826177
R1,3.35,0.0016113964975666
R1,3.36,0.001513643854704
R1,3.37,0.0014157251767363
R1,3.38,0.0013181167863698
R1,3.39,0.0012212950063109
R1,3.4,0.0011257361592661
R1,3.41,0.0010319165679418
R1,3.42,0.0009403125550443
R1,3.43,0.00085140044328
R1,3.44,0.0007656565553555
R1,3.45,0.000683557213977
R1,3.46,0.000605578741851
R1,3.47,0.0005321974616839
R1,3.48,0.0004638896961821
R1,3.49,0.000401131768052
R1,3.5,0.0003443999999999
R1,3.51,0.0002925912364546
R1,3.52,0.0002442585794934
R1,3.53,0.000199362738296
R1,3.54,0.0001578644220423
R1,3.55,0.0001197243399119
R1,3.56,8.490320108462353e-05
R1,3.57,5.336171474013209e-05
R1,3.58,2.5060590058194604e-05
R1,3.59,0.0
R1,3.6,0.0
R1,3.61,0.0
R1,3.62,0.0
R1,3.63,0.0
R1,3.64,0.0
R1,3.65,0.0
R1,3.66,0.0
R1,3.67,0.0
R1,3.68,0.0
R1,3.69,0.0
R1,3.7,0.0
R1,3.71,0.0
R1,3.72,0.0
R1,3.73,0.0
R1,3.74,0.0
R1,3.75,0.0
R2,1.75,0.01334
R2,1.76,0.0134166657503012
R2,1.77,0.0134880395094882
R2,1.78,0.0135540260399854
R2,1.79,0.0136145301042177
R2,1.8,0.0136694564646098
R2,1.81,0.0137187098835862
R2,1.82,0.0137621951235716
R2,1.83,0.0137998169469909
R2,1.84,0.0138314801162686
R2,1.85,0.0138570893938294
R2,1.86,0.013876549542098
R2,1.87,0.013889765323499
R2,1.88,0.0138966415004573
R2,1.89,0.0138970828353974
R2,1.9,0.0138909940907441
R2,1.91,0.0138782800289219
R2,1.92,0.0138588454123557
R2,1.93,0.01383259500347
R2,1.94,0.0137994335646896
R2,1.95,0.0137592658584392
R2,1.96,0.0137119966471433
R2,1.97,0.0136575306932268
R2,1.98,0.0135957727591143
R2,1.99,0.0135266276072304
R2,2.0,0.01345
R2,2.01,0.013360594539927
R2,2.02,0.013254247071656
R2,2.03,0.0131325592208224
R2,2.04,0.0129971326130615
R2,2.05,0.0128495688740086
R2,2.06,0.0126914696292989
R2,2.07,0.0125244365045678
R2,2.08,0.0123500711254507
R2,2.09,0.0121699751175827
R2,2.1,0.0119857501065993
R2,2.11,0.0117989977181357
