count	pid	reco_coszen	reco_energy
126	0.65	-0.945	7.4
56	0.88	-0.945	7.4
156	0.65	-0.835	7.4
33	0.88	-0.835	7.4
115	0.65	-0.725	7.4
14	0.88	-0.725	7.4
65	0.65	-0.615	7.4
6	0.88	-0.615	7.4
46	0.65	-0.505	7.4
6	0.88	-0.505	7.4
33	0.65	-0.395	7.4
5	0.88	-0.395	7.4
22	0.65	-0.285	7.4
5	0.88	-0.285	7.4
30	0.65	-0.175	7.4
7	0.88	-0.175	7.4
34	0.65	-0.065	7.4
2	0.88	-0.065	7.4
31	0.65	0.045	7.4
7	0.88	0.045	7.4
179	0.65	-0.945	9.9
96	0.88	-0.945	9.9
168	0.65	-0.835	9.9
42	0.88	-0.835	9.9
135	0.65	-0.725	9.9
20	0.88	-0.725	9.9
85	0.65	-0.615	9.9
16	0.88	-0.615	9.9
75	0.65	-0.505	9.9
13	0.88	-0.505	9.9
60	0.65	-0.395	9.9
20	0.88	-0.395	9.9
80	0.65	-0.285	9.9
22	0.88	-0.285	9.9
68	0.65	-0.175	9.9
8	0.88	-0.175	9.9
68	0.65	-0.065	9.9
20	0.88	-0.065	9.9
75	0.65	0.045	9.9
20	0.88	0.045	9.9
181	0.65	-0.945	13.3
95	0.88	-0.945	13.3
182	0.65	-0.835	13.3
55	0.88	-0.835	13.3
159	0.65	-0.725	13.3
35	0.88	-0.725	13.3
133	0.65	-0.615	13.3
26	0.88	-0.615	13.3
118	0.65	-0.505	13.3
18	0.88	-0.505	13.3
86	0.65	-0.395	13.3
15	0.88	-0.395	13.3
105	0.65	-0.285	13.3
23	0.88	-0.285	13.3
134	0.65	-0.175	13.3
39	0.88	-0.175	13.3
121	0.65	-0.065	13.3
41	0.88	-0.065	13.3
95	0.65	0.045	13.3
31	0.88	0.045	13.3
124	0.65	-0.945	17.8
73	0.88	-0.945	17.8
156	0.65	-0.835	17.8
51	0.88	-0.835	17.8
122	0.65	-0.725	17.8
36	0.88	-0.725	17.8
