count	abs_uncertainty	pid	reco_coszen	reco_energy
1.037	0.380	0.65	-0.945	7.4
0.307	0.207	0.88	-0.945	7.4
1.118	0.394	0.65	-0.835	7.4
0.297	0.203	0.88	-0.835	7.4
1.113	0.393	0.65	-0.725	7.4
0.248	0.186	0.88	-0.725	7.4
0.996	0.372	0.65	-0.615	7.4
0.183	0.159	0.88	-0.615	7.4
0.812	0.336	0.65	-0.505	7.4
0.127	0.133	0.88	-0.505	7.4
0.628	0.295	0.65	-0.395	7.4
0.095	0.115	0.88	-0.395	7.4
0.507	0.266	0.65	-0.285	7.4
0.092	0.113	0.88	-0.285	7.4
0.493	0.262	0.65	-0.175	7.4
0.123	0.131	0.88	-0.175	7.4
0.669	0.305	0.65	-0.065	7.4
0.217	0.173	0.88	-0.065	7.4
1.157	0.401	0.65	0.045	7.4
0.439	0.247	0.88	0.045	7.4
1.757	0.494	0.65	-0.945	9.9
0.443	0.248	0.88	-0.945	9.9
1.934	0.518	0.65	-0.835	9.9
0.432	0.245	0.88	-0.835	9.9
1.964	0.522	0.65	-0.725	9.9
0.365	0.225	0.88	-0.725	9.9
1.760	0.495	0.65	-0.615	9.9
0.272	0.195	0.88	-0.615	9.9
1.413	0.443	0.65	-0.505	9.9
0.190	0.163	0.88	-0.505	9.9
1.073	0.386	0.65	-0.395	9.9
0.142	0.140	0.88	-0.395	9.9
0.867	0.347	0.65	-0.285	9.9
0.138	0.138	0.88	-0.285	9.9
0.876	0.349	0.65	-0.175	9.9
0.191	0.163	0.88	-0.175	9.9
1.272	0.420	0.65	-0.065	9.9
0.355	0.222	0.88	-0.065	9.9
2.300	0.565	0.65	0.045	9.9
0.761	0.325	0.88	0.045	9.9
2.981	0.644	0.65	-0.945	13.3
0.640	0.298	0.88	-0.945	13.3
3.375	0.685	0.65	-0.835	13.3
0.630	0.296	0.88	-0.835	13.3
3.519	0.699	0.65	-0.725	13.3
0.543	0.275	0.88	-0.725	13.3
3.169	0.664	0.65	-0.615	13.3
0.413	0.240	0.88	-0.615	13.3
2.506	0.590	0.65	-0.505	13.3
0.291	0.201	0.88	-0.505	13.3
1.874	0.510	0.65	-0.395	13.3
0.217	0.174	0.88	-0.395	13.3
1.526	0.460	0.65	-0.285	13.3
0.211	0.171	0.88	-0.285	13.3
1.636	0.477	0.65	-0.175	13.3
0.303	0.205	0.88	-0.175	13.3
2.571	0.598	0.65	-0.065	13.3
0.600	0.289	0.88	-0.065	13.3
4.830	0.819	0.65	0.045	13.3
1.368	0.436	0.88	0.045	13.3
4.712	0.809	0.65	-0.945	17.8
0.909	0.356	0.88	-0.945	17.8
5.512	0.875	0.65	-0.835	17.8
0.910	0.356	0.88	-0.835	17.8
5.923	0.907	0.65	-0.725	17.8
0.805	0.335	0.88	-0.725	17.8
5.383	0.865	0.65	-0.615	17.8
0.629	0.296	0.88	-0.615	17.8
4.229	0.767	0.65	-0.505	17.8
0.453	0.251	0.88	-0.505	17.8
3.156	0.662	0.65	-0.395	17.8
0.338	0.217	0.88	-0.395	17.8
2.636	0.605	0.65	-0.285	17.8
0.326	0.213	0.88	-0.285	17.8
3.039	0.650	0.65	-0.175	17.8
0.484	0.259	0.88	-0.175	17.8
5.181	0.849	0.65	-0.065	17.8
1.018	0.376	0.88	-0.065	17.8
10.073	1.183	0.65	0.045	17.8
