reco_energy	reco_coszen	pid	pdg	true_energy	true_coszen	weight	type	interaction	MaCCQE_linear	MaCCQE_quad	MaCCRES_linear	MaCCRES_quad	Q2	W	x	y
32.0	0.045	0.875	12	68.46000331	0.46337613	0.0093417386439055	0	2	0.00000000	0.00000000	0.00000000	0.00000000	14.29627831	10.52543355	0.11510741	0.96610613
9.9	-0.395	0.650	12	53.49890459	-0.23176456	0.0044824281222451	0	2	0.00000000	0.00000000	0.00000000	0.00000000	13.55945261	4.71560970	0.38835765	0.34754212
7.4	-0.615	0.650	12	33.92928671	-0.68425788	0.0011551733749113	0	2	0.00000000	0.00000000	0.00000000	0.00000000	8.53174509	5.24954328	0.24232486	0.55259532
9.9	-0.725	0.650	12	16.01866275	-0.97942285	0.0001246460641473	0	2	0.00000000	0.00000000	0.00000000	0.00000000	5.79610210	2.70019175	0.47487355	0.40576429
23.8	-0.285	0.650	12	257.60469180	-0.70673674	0.4807264437018974	0	2	0.00000000	0.00000000	0.00000000	0.00000000	26.93605045	6.14052136	0.42245680	0.13180743
57.4	-0.395	0.650	12	122.55860177	-0.69373250	0.0552649702792607	0	2	0.00000000	0.00000000	0.00000000	0.00000000	19.73331418	10.58486243	0.15076136	0.56873273
123.3	-0.065	0.650	12	135.70712612	0.36859920	0.0843200346369803	0	2	0.00000000	0.00000000	0.00000000	0.00000000	9.27750391	14.34427385	0.04332162	0.84036090
23.8	-0.395	0.650	12	45.51593423	-0.89343691	0.0027711996899459	0	2	0.00000000	0.00000000	0.00000000	0.00000000	32.97956942	6.54609393	0.44002477	0.87689265
13.3	-0.725	0.650	12	33.47524458	-0.90320015	0.0011030250286094	0	2	0.00000000	0.00000000	0.00000000	0.00000000	3.84082221	6.94884181	0.07494922	0.81522097
17.8	-0.835	0.650	12	30.69942394	-0.87586626	0.0008555368857871	0	2	0.00000000	0.00000000	0.00000000	0.00000000	20.17608686	6.10585063	0.35661962	0.98139427
77.0	-0.505	0.875	12	94.82227043	-0.16288773	0.0246279622449861	0	2	0.00000000	0.00000000	0.00000000	0.00000000	38.93448638	9.02431648	0.32583558	0.67106971
57.4	0.045	0.875	12	70.68330027	0.40540111	0.0102421852620908	0	2	0.00000000	0.00000000	0.00000000	0.00000000	92.19191737	5.93458494	0.72861910	0.95327350
13.3	-0.835	0.650	12	28.93269485	-0.17251734	0.0007198286475167	0	2	0.00000000	0.00000000	0.00000000	0.00000000	1.93984775	6.15507622	0.04981218	0.71677899
13.3	-0.725	0.650	12	35.60721621	-0.79294040	0.0013328734781111	0	2	0.00000000	0.00000000	0.00000000	0.00000000	9.00369455	6.92719579	0.16047030	0.83913166
32.0	-0.065	0.650	12	81.00009934	-0.66010270	0.0153749165682901	0	2	0.00000000	0.00000000	0.00000000	0.00000000	43.85705097	10.40527560	0.28997309	0.99434756
17.8	-0.505	0.650	12	36.53454440	-0.79746020	0.0014287202021109	0	2	0.00000000	0.00000000	0.00000000	0.00000000	13.63028839	5.88504640	0.28766508	0.69064717
123.3	-0.505	0.650	12	97.32844656	-0.07174280	0.0265709081815720	0	2	0.00000000	0.00000000	0.00000000	0.00000000	14.23108046	12.65369734	0.08203980	0.94910778
7.4	-0.945	0.650	12	10.50788771	-0.99961825	0.0000340770300392	0	2	0.00000000	0.00000000	0.00000000	0.00000000	2.67890110	2.78443755	0.28050071	0.48400442
17.8	-0.945	0.650	12	34.03902056	-0.95087834	0.0011626575650458	0	2	0.00000000	0.00000000	0.00000000	0.00000000	16.00153403	6.46314047	0.28126084	0.89005600
17.8	-0.835	0.875	12	69.01979271	-0.62497122	0.0095402550420930	0	2	0.00000000	0.00000000	0.00000000	0.00000000	5.24677931	8.23528400	0.07268506	0.55694977
9.9	-0.835	0.650	12	20.44741026	-0.85562661	0.0002553085335205	0	-1	0.00000000	0.00000000	0.00000000	0.00000000	0.01033258	-1.00000000	-1.00000000	-1.00000000
9.9	-0.725	0.650	12	66.31084999	-0.30932397	0.0084727267582007	0	2	0.00000000	0.00000000	0.00000000	0.00000000	1.81738554	7.54178265	0.03143488	0.46429364
13.3	-0.395	0.875	12	85.76804949	0.43656436	0.0182796799365222	0	2	0.00000000	0.00000000	0.00000000	0.00000000	8.40699229	7.50310647	0.13172555	0.39626629
17.8	-0.945	0.650	12	68.54248227	-0.84562058	0.0093642616042758	0	2	0.00000000	0.00000000	0.00000000	0.00000000	10.68491543	6.25772541	0.21822662	0.38040443
23.8	-0.395	0.650	12	36.20908629	-0.62138673	0.0013908467585228	0	2	0.00000000	0.00000000	0.00000000	0.00000000	11.40003049	7.35281011	0.17651948	0.94981241
