reco_energy	reco_coszen	pid	pdg	true_energy	true_coszen	weight	type	interaction	MaCCQE_linear	MaCCQE_quad	MaCCRES_linear	MaCCRES_quad	Q2	W	x	y
9.9	-0.505	0.650	12	6.05769696	-0.03040726	0.0000067567045160	1	1	0.00000000	0.00000000	0.27775886	0.00490109	0.57376332	1.43694380	0.32655804	0.15445675
13.3	-0.175	0.650	12	7.72156359	-0.12491363	0.0000137551597857	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.64104699	2.01050814	0.16862461	0.26218370
9.9	-0.065	0.650	12	11.07889647	-0.68947773	0.0000397956421868	1	2	0.00000000	0.00000000	0.00000000	0.00000000	8.93148608	2.63642738	0.59540592	0.72103461
7.4	-0.285	0.650	12	6.11182010	-0.48978038	0.0000069606680465	1	1	0.00000000	0.00000000	0.20351146	-0.00399978	0.46669202	1.56573811	0.22914581	0.17745569
23.8	-0.285	0.650	12	21.84399178	-0.14454693	0.0003096782026774	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.59289978	3.08199269	0.15601353	0.24890649
23.8	-0.395	0.650	12	23.93099104	0.00811564	0.0004101308848407	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.43084548	5.48475148	0.18048063	0.79290074
17.8	0.045	0.650	12	25.38826091	-0.00360168	0.0004863257553654	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.07163522	3.43967568	0.08914370	0.25215375
23.8	-0.175	0.650	12	22.09522206	0.33625894	0.0003215235634897	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.73887190	4.85715070	0.14136040	0.63746520
32.0	0.045	0.650	12	27.43109501	-0.05807740	0.0006110091242586	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.28452103	1.61066475	0.57153122	0.07759864
13.3	-0.395	0.650	12	20.05037241	0.36875071	0.0002416318918711	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.31616209	2.14953187	0.47003883	0.18737930
9.9	-0.505	0.650	12	33.66189568	0.11341255	0.0011261991588784	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.62035054	4.32185282	0.12834038	0.32299777
17.8	-0.945	0.875	12	13.55160552	-0.67503007	0.0000750937095008	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.20904834	2.09888404	0.05600318	0.14668488
13.3	-0.945	0.650	12	32.65764948	-0.88479119	0.0010293961221509	1	2	0.00000000	0.00000000	0.00000000	0.00000000	28.00544686	5.06129239	0.53100398	0.86000672
13.3	-0.835	0.650	12	13.48625630	-0.80925009	0.0000743712145640	1	0	0.09875329	-0.00553411	0.00000000	0.00000000	0.13869861	0.94023441	0.98248566	0.00557438
9.9	-0.175	0.650	12	18.02162559	0.10959184	0.0001764857124783	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.40921606	3.83417894	0.14845517	0.47954403
7.4	-0.615	0.650	12	15.56638595	-0.52914254	0.0001130533898568	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.19777415	4.45418575	0.10388432	0.72374791
32.0	-0.505	0.875	12	42.94433870	-0.87661017	0.0023263530014967	1	2	0.00000000	0.00000000	0.00000000	0.00000000	9.20964987	3.89139141	0.39238407	0.29105018
13.3	-0.945	0.875	12	14.46303592	-0.82453718	0.0000915717621334	1	1	0.00000000	0.00000000	0.37397975	0.03558735	0.82101946	1.59336060	0.33129011	0.09124888
57.4	-0.505	0.650	12	43.74711845	0.16703986	0.0024506296017230	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.67475053	3.47557747	0.33632494	0.20539047
17.8	0.045	0.650	12	35.97549819	-0.26878142	0.0013729596842600	1	2	0.00000000	0.00000000	0.00000000	0.00000000	16.03579122	6.81071962	0.26057456	0.91094802
23.8	-0.945	0.650	12	36.01849927	-0.93167977	0.0013762438098828	1	2	0.00000000	0.00000000	0.00000000	0.00000000	23.52217120	5.16190254	0.47726022	0.72868293
17.8	-0.945	0.650	12	48.29422294	-0.45194946	0.0032974898029852	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.79571831	6.51481125	0.14053250	0.53321879
17.8	-0.285	0.650	12	20.37182924	0.13680422	0.0002534245964310	1	2	0.00000000	0.00000000	0.00000000	0.00000000	10.38798799	5.07941455	0.29422000	0.92293529
23.8	-0.175	0.650	12	47.06502408	-0.72149007	0.0030473967592208	1	2	0.00000000	0.00000000	0.00000000	0.00000000	11.88051338	7.71661557	0.16841018	0.79819796
13.3	-0.835	0.875	12	24.57898462	-0.80056779	0.0004384368050386	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.88480278	5.37048646	0.12198960	0.68996054
77.0	-0.285	0.875	12	63.14691248	0.31714988	0.0073431055837760	1	2	0.00000000	0.00000000	0.00000000	0.00000000	4.49399601	10.06085257	0.04286807	0.88407414
17.8	-0.395	0.650	12	15.43791765	-0.37573667	0.0001111950465213	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.70794717	2.67924126	0.30072555	0.31061554
17.8	-0.505	0.650	12	39.11542558	-0.54441593	0.0017546778528820	1	2	0.00000000	0.00000000	0.00000000	0.00000000	17.56966273	6.73073162	0.28342352	0.84395933
23.8	-0.175	0.650	12	22.07992144	0.75184720	0.0003210784168922	1	2	0.00000000	0.00000000	0.00000000	0.00000000	10.17590621	5.64825891	0.24700500	0.99360064
13.3	-0.065	0.650	12	23.38207871	0.44693355	0.0003810427860898	1	3	0.00000000	0.00000000	0.00000000	0.00000000	0.69739841	-1.00000000	-1.00000000	-1.00000000
57.4	0.045	0.650	12	62.57914460	-0.09891488	0.0071373396007609	1	2	0.00000000	0.00000000	0.00000000	0.00000000	15.44398518	10.13649182	0.13165006	0.99827621
32.0	-0.615	0.650	12	30.14985317	-0.00882653	0.0008077777279974	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.78189068	5.37005538	0.19523077	0.61356328
