reco_energy	reco_coszen	pid	pdg	true_energy	true_coszen	weight	type	interaction	MaCCQE_linear	MaCCQE_quad	MaCCRES_linear	MaCCRES_quad	Q2	W	x	y
23.8	-0.725	0.875	16	26.32979914	-0.60473213	0.0001781674090356	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.85826745	2.03947467	0.64121796	0.18478130
17.8	-0.615	0.650	16	10.98326392	-0.67547937	0.0000099432664951	1	0	0.17520280	0.00941508	0.00000000	0.00000000	0.33388125	0.90533387	1.22776448	0.01318523
57.4	-0.725	0.650	16	10.19673248	0.05350866	0.0000077233173758	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.75224934	1.72577415	0.45525060	0.20101404
7.4	-0.395	0.650	16	23.44437557	-0.44878611	0.0001222265977200	1	2	0.00000000	0.00000000	0.00000000	0.00000000	4.15159942	3.54634161	0.26198726	0.35994707
13.3	-0.945	0.650	16	16.73124432	-0.87160521	0.0000398937782668	1	2	0.00000000	0.00000000	0.00000000	0.00000000	7.31592116	1.85772116	0.74006730	0.31463831
23.8	-0.175	0.650	16	35.02425560	0.34852958	0.0004497269943676	1	0	0.31432316	0.07471968	0.00000000	0.00000000	0.95663805	1.14508458	0.69007140	0.02107787
23.8	0.045	0.650	16	23.28625189	-0.06738210	0.0001194915735345	1	2	0.00000000	0.00000000	0.00000000	0.00000000	8.06115574	2.79157017	0.53839919	0.34240127
13.3	-0.945	0.875	16	36.79014884	-0.73263123	0.0005283519626509	1	2	0.00000000	0.00000000	0.00000000	0.00000000	13.72679414	3.38666545	0.56454646	0.35194915
9.9	-0.615	0.650	16	11.73112449	-0.02985454	0.0000122599856599	1	0	0.16127121	0.00545652	0.00000000	0.00000000	0.29120360	0.91624381	1.16884417	0.01130948
32.0	-0.175	0.875	16	39.34078662	-0.40763518	0.0006545995840512	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.80511349	2.01599306	0.20189550	0.05397957
9.9	-0.395	0.650	16	14.94166619	-0.83944549	0.0000273027107545	1	2	0.00000000	0.00000000	0.00000000	0.00000000	4.65078759	3.51027073	0.28902641	0.57349810
9.9	-0.725	0.650	16	17.60769810	-0.69449091	0.0000470901082529	1	1	0.00000000	0.00000000	0.26008109	0.00545742	0.54863095	1.21167873	0.48327818	0.03433386
17.8	0.045	0.650	16	14.44982590	0.06519821	0.0000244075764854	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.66302159	1.49177858	0.55307644	0.11081337
17.8	-0.175	0.875	16	38.93661419	0.18468585	0.0006346132551871	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.90842872	6.04945109	0.09864110	0.54191120
32.0	-0.395	0.650	16	38.91842780	-0.36555550	0.0006340205672721	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.86217772	2.25908201	0.40403064	0.09693242
17.8	-0.835	0.650	16	47.79113513	-0.16748743	0.0012225412555256	1	2	0.00000000	0.00000000	0.00000000	0.00000000	20.61306879	4.06342168	0.56874783	0.40384768
23.8	-0.505	0.650	16	30.95803529	-0.75829664	0.0003023383876546	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.45977972	2.36144576	0.08919729	0.08866797
17.8	-0.835	0.650	16	31.45533644	-0.26312663	0.0003184077442786	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.45889858	3.07625026	0.28726852	0.20384379
9.9	-0.945	0.650	16	26.85075091	-0.69289517	0.0001897452605538	1	1	0.00000000	0.00000000	0.08703407	-0.01509810	0.15567079	1.65672670	0.07710880	0.04003951
9.9	0.045	0.650	16	18.86980977	0.18178520	0.0000595053624746	1	2	0.00000000	0.00000000	0.00000000	0.00000000	7.52589917	3.91609189	0.34239594	0.62030361
9.9	-0.835	0.650	16	25.54653854	-0.17937683	0.0001610309451371	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.23714126	1.45325711	0.50136842	0.05143660
13.3	-0.725	0.650	16	17.27248743	-0.92931435	0.0000441912557311	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.50981827	1.23935061	0.84284726	0.12838755
32.0	-0.395	0.650	16	23.83948936	0.29440989	0.0001286745220943	1	2	0.00000000	0.00000000	0.00000000	0.00000000	9.31405108	3.20825734	0.49740204	0.41828871
17.8	-0.285	0.650	16	27.58623899	0.01266964	0.0002081618988867	1	2	0.00000000	0.00000000	0.00000000	0.00000000	10.76081324	4.46647306	0.36075457	0.57581477
7.4	-0.615	0.875	16	25.90561632	-0.69915719	0.0001683381035852	1	2	0.00000000	0.00000000	0.00000000	0.00000000	7.55828925	3.16050922	0.45352803	0.34258433
23.8	-0.725	0.650	16	19.81269731	0.49711583	0.0000701603715981	1	2	0.00000000	0.00000000	0.00000000	0.00000000	12.39637657	3.92915685	0.45992427	0.72444741
17.8	-0.945	0.650	16	38.13763713	0.32847983	0.0005930126597064	1	2	0.00000000	0.00000000	0.00000000	0.00000000	11.44446467	4.08515948	0.41995840	0.38051998
17.8	-0.395	0.650	16	28.67085369	-0.17213502	0.0002351282699761	1	2	0.00000000	0.00000000	0.00000000	0.00000000	10.65712124	4.73682921	0.33083186	0.59832065
23.8	-0.175	0.650	16	33.03507961	-0.10748207	0.0003720582066152	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.76673548	2.65118644	0.11089677	0.11145340
17.8	-0.835	0.650	16	23.08793869	-0.52798438	0.0001153228756610	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.41562330	3.76165549	0.20472317	0.38482196
23.8	-0.725	0.875	16	26.86142122	-0.97818107	0.0001898960975682	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.68074597	2.66352053	0.51814759	0.25561394
7.4	-0.725	0.650	16	21.04937768	-0.54279399	0.0000852787447855	1	2	0.00000000	0.00000000	0.00000000	0.00000000	4.31752753	2.31078933	0.49198631	0.22201631
9.9	-0.725	0.650	16	41.88009670	0.12120112	0.0008031796498955	1	2	0.00000000	0.00000000	0.00000000	0.00000000	8.77221802	6.40325051	0.17941934	0.62169094
7.4	-0.065	0.650	16	20.03246147	-0.58220826	0.0000725086553291	1	2	0.00000000	0.00000000	0.00000000	0.00000000	11.26584999	3.21272145	0.54408991	0.55042863
17.8	0.045	0.650	16	37.60328100	0.05059233	0.0005672957721072	1	2	0.00000000	0.00000000	0.00000000	0.00000000	9.39344578	4.01506420	0.38134175	0.34884048
32.0	-0.505	0.875	16	45.75171629	-0.57743384	0.0010647052256362	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.52419039	2.30157564	0.25660321	0.06913720
17.8	0.045	0.650	16	21.10213896	0.10805905	0.0000865861054631	1	2	0.00000000	0.00000000	0.00000000	0.00000000	4.73832020	3.56879926	0.28556001	0.41873819
9.9	-0.395	0.650	16	43.50671865	-0.56299100	0.0009042368323380	1	2	0.00000000	0.00000000	0.00000000	0.00000000	10.64331549	5.18381973	0.29053319	0.44840134
32.0	-0.395	0.875	16	47.76681850	0.51393103	0.0012212974884594	1	2	0.00000000	0.00000000	0.00000000	0.00000000	8.76223773	6.63396900	0.16886108	0.57849710
32.0	-0.725	0.650	16	39.38919718	0.20530059	0.0006595931959389	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.23734309	3.46423727	0.22549331	0.19409752
32.0	0.045	0.875	16	40.66959978	0.09774321	0.0007284454419573	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.10945664	2.87971344	0.13020817	0.11156918
9.9	-0.945	0.875	16	20.99924148	-0.98597143	0.0000848729883316	1	1	0.00000000	0.00000000	0.17522014	0.00728817	0.61734701	1.66325042	0.24672359	0.06345372
23.8	-0.065	0.650	16	49.96666436	0.60444089	0.0014086425348132	1	2	0.00000000	0.00000000	0.00000000	0.00000000	22.38466970	6.97158932	0.31929676	0.74716730
17.8	-0.945	0.650	16	43.34922726	-0.95088670	0.0008935628746830	1	2	0.00000000	0.00000000	0.00000000	0.00000000	14.56690425	6.62479474	0.25301518	0.70726369
32.0	-0.725	0.650	16	118.08234170	-0.90111777	0.0208903287106600	1	2	0.00000000	0.00000000	0.00000000	0.00000000	11.15007551	7.74339820	0.15876802	0.31671735
77.0	-0.065	0.650	16	169.62513924	0.44279713	0.0641896731810975	1	2	0.00000000	0.00000000	0.00000000	0.00000000	71.69349462	12.48373343	0.31631037	0.71157083
57.4	-0.285	0.650	16	152.56996145	0.01122532	0.0455259459544754	1	2	0.00000000	0.00000000	0.00000000	0.00000000	28.66687736	11.35571324	0.18289734	0.54707391
123.3	-0.505	0.650	16	95.33493689	-0.53279036	0.0107173346886233	1	2	0.00000000	0.00000000	0.00000000	0.00000000	21.57989975	8.72201239	0.22299774	0.54055379
23.8	-0.725	0.650	16	92.61102752	-0.80593018	0.0097243054718510	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.66225441	1.90648705	0.19390364	0.01963895
123.3	-0.945	0.875	16	207.88276217	-0.95857250	0.1181787331362757	1	2	0.00000000	0.00000000	0.00000000	0.00000000	29.18408293	7.67558957	0.33461389	0.22342185
32.0	-0.395	0.650	16	52.78251917	-0.90590909	0.0016591032694892	1	2	0.00000000	0.00000000	0.00000000	0.00000000	4.97335807	7.33240774	0.08596098	0.58371422
77.0	-0.505	0.875	16	174.63576159	-0.25617912	0.0694355157785425	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.05028103	9.68198360	0.05158110	0.29856148
