E_nu_MeV,E_e_MeV,p_e_MeV,dsigma_dpe_cm2_per_MeV
1.5,0.51099907,0.0,0.0
1.5,0.511000541945417,0.0012265103525867201,1.8775395732721e-49
1.5,0.5110280407248661,0.00544140296526459,8.32496949822131e-49
1.5,0.511090298856427,0.009656295577858801,1.48616173576765e-48
1.5,0.511142529126375,0.0121093162830226,1.8858274828257898e-48
1.5,0.511259747424863,0.0163242088956818,2.6301138023332503e-48
1.5,0.511411677840499,0.0205391015083298,3.4619527351859196e-48
1.5,0.5115160674160151,0.022992122213495,3.98903134142158e-48
1.5,0.511722846076481,0.0272070148261251,4.9688843078881205e-48
1.5,0.5119642427044641,0.0314219074387662,6.04040682853915e-48
1.5,0.512120650137858,0.0338749281439459,6.704598729819779e-48
1.5,0.512416709315898,0.0380898207565832,7.911931073067931e-48
1.5,0.5127472460326991,0.0423047133692244,9.197420357468371e-48
1.5,0.512955460347523,0.0447577340743967,9.978786863686829e-48
1.5,0.5133404013960841,0.0489726266870352,1.13732582867779e-47
1.5,0.5137596342163511,0.053187519299680304,1.28262218353301e-47
1.5,0.514019376320481,0.055640540004850705,1.3695278337793998e-47
1.5,0.514492684452065,0.0598554326174929,1.52224631963425e-47
1.5,0.515000054481511,0.0640703252301282,1.6784054464513e-47
1.5,0.515310979016839,0.0665233459353044,1.7704636572246498e-47
1.5,0.515872026702099,0.0707382385479469,1.92992708183358e-47
1.5,0.51646686380797,0.0749531311605818,2.0900469136106002e-47
1.5,0.516828561408452,0.0774061518657605,2.18307655953264e-47
1.5,0.517476612459548,0.08162104447839641,2.34183394549637e-47
1.5,0.518158139603308,0.0858359370910365,2.49814675903025e-47
1.5,0.5185701395275341,0.0882889577962111,2.5874913768407703e-47
1.5,0.519304353805481,0.09250385040885231,2.7373273937571198e-47
1.5,0.52007169197383,0.09671874302149201,2.88137295030837e-47
1.5,0.5205334650735941,0.09917176372666581,2.96200912174757e-47
1.5,0.521352903751275,0.103386656339304,3.09414590257603e-47
1.5,0.522205077414728,0.10760154895194202,3.2169959819045897e-47
1.5,0.522716039397375,0.110054569657117,3.28367586781965e-47
1.5,0.523619670704114,0.11426946226975901,3.38904082099905e-47
1.5,0.524555613727241,0.118484354882396,3.48159945350549e-47
1.5,0.525115128666918,0.12093737558757,3.52904218587272e-47
1.5,0.526101834036455,0.125152268200208,3.5986288016086297e-47
1.5,0.527120395960584,0.12936716081285102,3.6520381713591995e-47
1.5,0.52772778001192,0.131820181518023,3.6751892534973095e-47
1.5,0.528796360553474,0.13603507413066201,3.70054730341624e-47
1.5,0.529896313171136,0.140249966743303,3.7067408893286703e-47
1.5,0.5305508384383021,0.142702987448478,3.7011265404860196e-47
1.5,0.531700021649912,0.146917880061115,3.6750333643265e-47
1.5,0.532880065790532,0.15113277267375502,3.62749581437888e-47
1.5,0.533580964305044,0.153585793378931,3.5897109595284e-47
1.5,0.5348094109496161,0.15780068599157102,3.5070982329538e-47
1.5,0.536068183397711,0.16201557860421,3.40191755490495e-47
1.5,0.536814651159649,0.164468599309384,3.33030297843234e-47
1.5,0.538120962226777,0.16868349192202403,3.1895450995872097e-47
1.5,0.539457042697156,0.172898384534663,3.0268778256081797e-47
1.5,0.539892852545262,0.174253386447997,2.97006719682465e-47
1.5,0.5400355302363801,0.174694946626464,2.95109097832106e-47
1.5,0.540178531188253,0.175136506804931,2.93188958599291e-47
1.5,0.540261904865997,0.175393489926424,2.92061154124697e-47
1.5,0.5404054166884851,0.175835050104893,2.90105711285088e-47
1.5,0.540549251108403,0.176276610283357,2.88128163038751e-47
1.5,0.5406331095496231,0.176533593404852,2.86967142908804e-47
1.5,0.5407774537891761,0.176975153583319,2.84954974401258e-47
1.5,0.5409221199608101,0.17741671376178703,2.82921152765902e-47
1.5,0.541006462165691,0.17767369688328202,2.81727596725029e-47
1.5,0.541151637102797,0.17811525706174802,2.79659903219485e-47
1.5,0.541297133304639,0.178556817240214,2.7757105080274897e-47
1.5,0.541381958270371,0.17881380036170802,2.76345701530551e-47
1.5,0.541527962180397,0.179255360540176,2.74223793129285e-47
1.5,0.541674286685853,0.17969692071864501,2.7208126347516696e-47
1.5,0.541759593406679,0.17995390384013701,2.7082492898990497e-47
1.5,0.5419064245599541,0.180395464018606,2.6865022931849497e-47
1.5,0.542053575637425,0.180837024197073,2.664554911753e-47
1.5,0.542139363104693,0.181094007318567,2.6516904730158203e-47
1.5,0.542287019766594,0.181535567497032,2.62943097767723e-47
1.5,0.542434995679565,0.181977127675499,2.60697739330875e-47
1.5,0.542521262881775,0.18223411079699403,2.5938213217738496e-47
1.5,0.542669743312818,0.182675670975461,2.57106596342412e-47
1.5,0.5428185423199421,0.18311723115393,2.548123296348e-47
1.5,0.5429052882427959,0.183374214275423,2.53468578172193e-47
1.5,0.543054590698715,0.183815774453892,2.51145246138046e-47
