E_nu_MeV,sigma_nc_cm2,sigma_nc_bar_cm2,sigma_cc_cm2,sigma_cc_bar_cm2
1.5,0.0,0.0,4.68e-48,0.0
1.6,0.0,0.0,1.147e-46,0.0
1.8,0.0,0.0,1.147e-45,0.0
2.0,0.0,0.0,3.67e-45,0.0
2.2,0.0,0.0,7.973e-45,0.0
2.4,4.346e-47,4.3129999999999995e-47,1.428e-44,0.0
2.6,4.322e-46,4.285e-46,2.2789999999999997e-44,0.0
2.8,1.478e-45,1.4639999999999998e-45,3.369e-44,0.0
3.0,3.402e-45,3.366e-45,4.712e-44,0.0
3.2,6.372e-45,6.297e-45,6.324e-44,0.0
3.4,1.052e-44,1.0379999999999999e-44,8.215999999999999e-44,0.0
3.6,1.594e-44,1.572e-44,1.0400000000000001e-43,0.0
3.8,2.274e-44,2.24e-44,1.289e-43,0.0
4.0,3.0979999999999996e-44,3.048e-44,1.569e-43,0.0
4.2,4.0719999999999997e-44,4.0019999999999996e-44,1.881e-43,1.1319999999999998e-45
4.4,5.202e-44,5.107e-44,2.2250000000000004e-43,4.6210000000000006e-45
4.6,6.492e-44,6.365999999999999e-44,2.604e-43,1.0249999999999999e-44
4.8,7.947e-44,7.783999999999999e-44,3.016e-43,1.811e-44
5.0,9.57e-44,9.364e-44,3.4630000000000003e-43,2.8359999999999997e-44
5.2,1.136e-43,1.111e-43,3.945e-43,4.1109999999999994e-44
5.4,1.3330000000000001e-43,1.302e-43,4.4630000000000006e-43,5.647e-44
5.6,1.5480000000000001e-43,1.509e-43,5.0170000000000004e-43,7.453e-44
5.8,1.7800000000000001e-43,1.734e-43,5.608e-43,9.537e-44
6.0,2.0310000000000002e-43,1.9760000000000002e-43,6.2360000000000006e-43,1.19e-43
6.2,2.3e-43,2.235e-43,6.902000000000001e-43,1.456e-43
6.4,2.5870000000000003e-43,2.512e-43,7.605e-43,1.752e-43
6.6,2.8940000000000005e-43,2.8060000000000002e-43,8.347000000000001e-43,2.0770000000000002e-43
6.8,3.219e-43,3.117e-43,9.127e-43,2.433e-43
7.0,3.562e-43,3.4460000000000005e-43,9.946e-43,2.82e-43
7.2,3.9250000000000005e-43,3.793000000000001e-43,1.0800000000000001e-42,3.2370000000000003e-43
7.4,4.308e-43,4.158000000000001e-43,1.17e-42,3.686e-43
7.6,4.709e-43,4.540000000000001e-43,1.2640000000000001e-42,4.1660000000000005e-43
7.8,5.1300000000000004e-43,4.940000000000001e-43,1.3620000000000001e-42,4.677e-43
8.0,5.571e-43,5.358e-43,1.464e-42,5.22e-43
8.2,6.0310000000000005e-43,5.794e-43,1.569e-42,5.7960000000000005e-43
8.4,6.511e-43,6.2480000000000006e-43,1.679e-42,6.403e-43
8.6,7.0100000000000005e-43,6.72e-43,1.793e-42,7.042000000000001e-43
8.8,7.53e-43,7.21e-43,1.9110000000000002e-42,7.713e-43
9.0,8.070000000000001e-43,7.718000000000001e-43,2.034e-42,8.416e-43
9.2,8.629e-43,8.243000000000002e-43,2.1600000000000002e-42,9.152e-43
9.4,9.209000000000001e-43,8.787000000000001e-43,2.291e-42,9.919e-43
9.6,9.809e-43,9.349e-43,2.425e-42,1.072e-42
9.8,1.043e-42,9.928000000000002e-43,2.565e-42,1.1550000000000001e-42
10.0,1.107e-42,1.053e-42,2.7080000000000004e-42,1.242e-42
10.2,1.173e-42,1.1140000000000001e-42,2.856e-42,1.331e-42
