channel,NC,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,CC15,CC16,CC17,ES
NC,1.0000,-0.3478,-0.3320,-0.3281,-0.2488,-0.2000,-0.1555,-0.0877,-0.0618,-0.0329,-0.0152,-0.0063,-0.0025,0.0003,-0.0000,-0.0000,-0.0000,-0.0000,-0.0610
CC1,-0.3478,1.0000,0.1528,0.1440,0.1124,0.0865,0.0676,0.0425,0.0272,0.0135,0.0061,0.0030,0.0011,0.0001,0.0000,-0.0000,0.0000,0.0000,-0.0695
CC2,-0.3320,0.1528,1.0000,0.1459,0.1147,0.0873,0.0684,0.0440,0.0275,0.0135,0.0061,0.0031,0.0011,0.0001,0.0000,-0.0000,0.0000,0.0000,-0.0507
CC3,-0.3281,0.1440,0.1459,1.0000,0.1073,0.0824,0.0644,0.0407,0.0259,0.0129,0.0058,0.0029,0.0010,0.0001,0.0000,-0.0000,0.0000,0.0000,-0.0525
CC4,-0.2488,0.1124,0.1147,0.1073,1.0000,0.0643,0.0503,0.0322,0.0202,0.0100,0.0045,0.0023,0.0008,0.0001,-0.0000,-0.0000,0.0000,0.0000,-0.0556
CC5,-0.2000,0.0865,0.0873,0.0824,0.0643,1.0000,0.0387,0.0243,0.0155,0.0078,0.0035,0.0017,0.0006,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0637
CC6,-0.1555,0.0676,0.0684,0.0644,0.0503,0.0387,1.0000,0.0190,0.0122,0.0061,0.0027,0.0014,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0648
CC7,-0.0877,0.0425,0.0440,0.0407,0.0322,0.0243,0.0190,1.0000,0.0077,0.0037,0.0017,0.0009,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0595
CC8,-0.0618,0.0272,0.0275,0.0259,0.0202,0.0155,0.0122,0.0077,1.0000,0.0024,0.0011,0.0005,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0430
CC9,-0.0329,0.0135,0.0135,0.0129,0.0100,0.0078,0.0061,0.0037,0.0024,1.0000,0.0006,0.0003,0.0001,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0495
CC10,-0.0152,0.0061,0.0061,0.0058,0.0045,0.0035,0.0027,0.0017,0.0011,0.0006,1.0000,0.0001,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0466
CC11,-0.0063,0.0030,0.0031,0.0029,0.0023,0.0017,0.0014,0.0009,0.0005,0.0003,0.0001,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0487
CC12,-0.0025,0.0011,0.0011,0.0010,0.0008,0.0006,0.0005,0.0003,0.0002,0.0001,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0570
CC13,0.0003,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000
CC14,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,-0.0000
CC15,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,1.0000,0.0000,0.0000,-0.0163
CC16,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0379
CC17,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,1.0000,0.0000
ES,-0.0610,-0.0695,-0.0507,-0.0525,-0.0556,-0.0637,-0.0648,-0.0595,-0.0430,-0.0495,-0.0466,-0.0487,-0.0570,0.0000,-0.0000,-0.0163,-0.0379,0.0000,1.0000
