channel,NC,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,CC15,CC16,CC17,ES
NC,1.0000,-0.3485,-0.3437,-0.3060,-0.2669,-0.2089,-0.1571,-0.1034,-0.0545,-0.0317,-0.0138,-0.0067,-0.0010,0.0001,0.0000,0.0000,0.0000,0.0000,-0.0693
CC1,-0.3485,1.0000,0.1580,0.1400,0.1201,0.0967,0.0671,0.0477,0.0237,0.0143,0.0085,0.0027,0.0017,0.0003,0.0000,-0.0000,-0.0000,-0.0000,-0.0684
CC2,-0.3437,0.1580,1.0000,0.1379,0.1183,0.0952,0.0661,0.0469,0.0234,0.0141,0.0084,0.0027,0.0016,0.0003,0.0000,-0.0000,-0.0000,-0.0000,-0.0463
CC3,-0.3060,0.1400,0.1379,1.0000,0.1048,0.0843,0.0586,0.0416,0.0207,0.0125,0.0074,0.0024,0.0014,0.0002,0.0000,-0.0000,-0.0000,-0.0000,-0.0743
CC4,-0.2669,0.1201,0.1183,0.1048,1.0000,0.0723,0.0505,0.0357,0.0178,0.0107,0.0062,0.0020,0.0012,0.0002,0.0000,-0.0000,-0.0000,-0.0000,-0.0527
CC5,-0.2089,0.0967,0.0952,0.0843,0.0723,1.0000,0.0404,0.0287,0.0143,0.0086,0.0051,0.0016,0.0010,0.0002,0.0000,-0.0000,0.0000,0.0000,-0.0483
CC6,-0.1571,0.0671,0.0661,0.0586,0.0505,0.0404,1.0000,0.0199,0.0101,0.0060,0.0033,0.0012,0.0006,0.0001,-0.0000,0.0000,0.0000,0.0000,-0.0489
CC7,-0.1034,0.0477,0.0469,0.0416,0.0357,0.0287,0.0199,1.0000,0.0070,0.0042,0.0025,0.0008,0.0005,0.0001,0.0000,0.0000,0.0000,0.0000,-0.0417
CC8,-0.0545,0.0237,0.0234,0.0207,0.0178,0.0143,0.0101,0.0070,1.0000,0.0021,0.0012,0.0004,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0692
CC9,-0.0317,0.0143,0.0141,0.0125,0.0107,0.0086,0.0060,0.0042,0.0021,1.0000,0.0007,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0410
CC10,-0.0138,0.0085,0.0084,0.0074,0.0062,0.0051,0.0033,0.0025,0.0012,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0016
CC11,-0.0067,0.0027,0.0027,0.0024,0.0020,0.0016,0.0012,0.0008,0.0004,0.0002,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0359
CC12,-0.0010,0.0017,0.0016,0.0014,0.0012,0.0010,0.0006,0.0005,0.0002,0.0001,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003
CC13,0.0001,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,-0.0229
CC14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0139
CC15,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,1.0000,-0.0000,0.0000,-0.0188
CC16,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,1.0000,0.0000,-0.0085
CC17,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0183
ES,-0.0693,-0.0684,-0.0463,-0.0743,-0.0527,-0.0483,-0.0489,-0.0417,-0.0692,-0.0410,0.0016,-0.0359,0.0003,-0.0229,-0.0139,-0.0188,-0.0085,-0.0183,1.0000
