cos_zenith_low,cos_zenith_high,period,livetime_s
-1.0000,-0.9667,night,0
-0.9667,-0.9333,night,0
-0.9333,-0.9000,night,432202
-0.9000,-0.8667,night,545975
-0.8667,-0.8333,night,592399
-0.8333,-0.8000,night,566033
-0.8000,-0.7667,night,570422
-0.7667,-0.7333,night,539112
-0.7333,-0.7000,night,527208
-0.7000,-0.6667,night,571086
-0.6667,-0.6333,night,594019
-0.6333,-0.6000,night,613845
-0.6000,-0.5667,night,622530
-0.5667,-0.5333,night,672151
-0.5333,-0.5000,night,684213
-0.5000,-0.4667,night,705975
-0.4667,-0.4333,night,743962
-0.4333,-0.4000,night,761182
-0.4000,-0.3667,night,814881
-0.3667,-0.3333,night,1107970
-0.3333,-0.3000,night,887601
-0.3000,-0.2667,night,777241
-0.2667,-0.2333,night,728515
-0.2333,-0.2000,night,698101
-0.2000,-0.1667,night,672856
-0.1667,-0.1333,night,652494
-0.1333,-0.1000,night,639256
-0.1000,-0.0667,night,624127
-0.0667,-0.0333,night,615141
-0.0333,0.0000,night,608656
0.0000,0.0333,day,606806
0.0333,0.0667,day,608735
0.0667,0.1000,day,606873
0.1000,0.1333,day,607682
0.1333,0.1667,day,616573
0.1667,0.2000,day,617365
0.2000,0.2333,day,625955
0.2333,0.2667,day,651235
0.2667,0.3000,day,682766
0.3000,0.3333,day,752869
0.3333,0.3667,day,844742
0.3667,0.4000,day,633145
0.4000,0.4333,day,576052
0.4333,0.4667,day,570776
0.4667,0.5000,day,521223
0.5000,0.5333,day,493795
0.5333,0.5667,day,471616
0.5667,0.6000,day,447927
0.6000,0.6333,day,445073
0.6333,0.6667,day,473089
0.6667,0.7000,day,491700
0.7000,0.7333,day,453238
0.7333,0.7667,day,458976
0.7667,0.8000,day,466092
0.8000,0.8333,day,449265
0.8333,0.8667,day,433395
0.8667,0.9000,day,388327
0.9000,0.9333,day,255268
0.9333,0.9667,day,0
0.9667,1.0000,day,0
