bin,energy_low_MeV,energy_high_MeV,day_flux,day_sigma_stat,night_flux,night_sigma_stat
1,5.5,6.0,0.205,0.032,0.145,0.027
2,6.0,6.5,0.182,0.030,0.164,0.027
3,6.5,7.0,0.153,0.028,0.190,0.026
4,7.0,7.5,0.226,0.028,0.180,0.024
5,7.5,8.0,0.198,0.025,0.178,0.022
6,8.0,8.5,0.184,0.023,0.164,0.019
7,8.5,9.0,0.124,0.018,0.114,0.015
8,9.0,9.5,0.099,0.015,0.126,0.015
9,9.5,10.0,0.110,0.015,0.124,0.014
10,10.0,10.5,0.058,0.011,0.067,0.010
11,10.5,11.0,0.070,0.012,0.073,0.011
12,11.0,11.5,0.048,0.010,0.039,0.007
13,11.5,12.0,0.042,0.008,0.029,0.007
14,12.0,12.5,0.0088,0.0038,0.018,0.005
15,12.5,13.0,0.0082,0.0040,0.015,0.005
16,13.0,13.5,0.0025,0.0028,0.0042,0.0025
17,13.5,20.0,0.014,0.005,0.012,0.004
