# Table XXXIV, Phys. Rev. C 72, 055502 (2005), arXiv:nucl-ex/0502021.
# Percent uncertainty per channel/systematic source, as (plus,minus) pairs.
# CAUTION: manually transcribed from a rendered PDF table image, not a
# machine-readable source. The rows below "vertex_x" onward (small,
# sub-1%-magnitude corrections) are LOWER CONFIDENCE and should be spot-
# checked against the original PDF page 45 before use in a real fit -- see
# metadata/source.json. The CC9-CC17 block of "vertex_resolution" and
# "angular_resolution" specifically could NOT be transcribed with
# confidence (a value is missing partway through both rows, shifting
# every later column) and is set to 0.0 (a disclosed placeholder, not a
# measurement) pending manual verification against the PDF.
systematic,NC_plus,NC_minus,ES_plus,ES_minus,CC1_plus,CC1_minus,CC2_plus,CC2_minus,CC3_plus,CC3_minus,CC4_plus,CC4_minus,CC5_plus,CC5_minus,CC6_plus,CC6_minus,CC7_plus,CC7_minus,CC8_plus,CC8_minus,CC9_plus,CC9_minus,CC10_plus,CC10_minus,CC11_plus,CC11_minus,CC12_plus,CC12_minus,CC13_plus,CC13_minus,CC14_plus,CC14_minus,CC15_plus,CC15_minus,CC16_plus,CC16_minus,CC17_plus,CC17_minus
energy_scale_const,3.8,-3.3,1.9,-1.6,-8.0,9.5,-5.9,6.2,-2.9,3.0,0.6,0.0,1.7,-1.8,2.9,-3.9,3.9,-3.6,4.7,-5.0,5.0,-4.2,6.2,-6.7,6.7,-5.8,9.6,-7.4,7.0,-6.7,17.6,-9.7,16.6,-17.4,18.2,-10.2,20.5,-17.5
energy_scale_edep,0.1,-0.1,0.1,-0.1,-1.5,1.6,-1.4,1.6,-1.6,1.2,-0.4,0.6,-0.5,0.6,0.0,-0.4,0.9,-0.6,1.3,-0.4,0.7,-0.8,1.3,-2.0,2.3,-2.3,3.9,-2.5,2.5,-2.0,9.3,-5.1,9.1,-11.9,13.8,-8.8,14.1,-12.2
energy_radial_bias,2.1,-2.0,1.2,-1.1,-5.7,6.1,-4.3,4.2,-2.1,2.0,0.1,-0.1,1.0,-1.2,1.5,-2.5,3.6,-3.9,3.8,-2.9,2.8,-3.1,4.1,-4.3,4.7,-4.2,7.0,-4.5,5.7,-4.7,12.4,-6.6,11.8,-14.6,13.5,-10.3,13.2,-12.3
energy_resolution,0.8,-0.8,0.7,-0.7,4.9,-4.9,2.1,-2.1,1.8,-1.8,0.1,-0.1,-1.2,1.2,-1.8,1.3,-3.9,3.9,-2.6,2.9,-0.7,0.7,0.0,0.0,-2.1,2.1,0.6,-0.6,0.1,-0.1,1.4,-0.1,0.3,0.1,-1.0,4.4,2.2,-1.4
beta14_mean,-3.6,4.5,1.3,-1.2,7.1,-8.4,7.0,-8.3,6.3,-7.9,4.4,-4.6,3.3,-4.0,2.3,-2.9,2.6,-2.9,1.1,-1.7,0.6,-0.4,0.2,0.4,-0.1,-0.1,0.3,0.1,-1.0,5.3,1.2,-1.2,-5.9,9.0,3.8,-9.1,6.5,-0.2
beta14_width,0.0,0.0,0.2,-0.2,-0.9,-0.1,0.0,-0.1,-0.0,-0.8,-0.3,-0.0,-0.2,-0.2,0.0,-0.2,-0.1,0.3,-0.2,0.3,0.0,-0.0,-0.3,0.6,0.0,0.2,0.0,0.2,-0.4,0.5,-0.5,1.9,0.5,0.1,-1.1,0.5,-0.2,-0.2
radial_scale_const,-3.0,3.3,-2.6,2.5,-3.4,2.3,-1.7,2.4,-2.4,2.6,-2.5,2.3,-1.5,1.5,-2.8,2.4,-1.7,1.7,-2.0,2.0,-2.8,3.5,-2.0,2.2,-2.0,2.2,-2.5,5.6,-12.6,3.9,-0.4,-1.4,-2.8,2.9,-9.9,9.9,-17.2,17.2
radial_scale_edep,-0.6,0.5,-0.7,0.8,0.2,-0.2,-0.4,0.4,-0.2,0.2,-0.4,0.4,-0.9,0.9,-1.2,1.2,0.1,-0.1,0.1,-0.1,-2.2,2.2,-2.3,2.0,-2.5,2.7,-2.7,2.9,-2.9,3.1,-3.1,3.3,-3.3,3.5,-3.6,3.8,-3.9,4.3
vertex_x,0.0,-0.0,0.1,-0.1,-0.3,0.0,-0.2,-0.5,-0.3,0.0,-0.2,0.0,-0.5,0.0,-0.1,0.0,-0.2,-0.1,-0.1,0.0,-0.1,-0.1,0.0,-0.5,-0.1,0.3,-0.2,0.0,0.7,-0.4,0.2,-0.2,0.0,-0.9,-0.6,-0.2,0.5,0.1
vertex_y,0.0,-0.1,0.1,-0.1,-0.2,-0.3,0.0,-0.2,0.1,-0.1,0.2,-0.6,0.0,-0.3,0.0,-0.1,0.5,-0.2,0.1,0.4,0.0,0.1,0.5,-0.2,0.0,0.0,0.5,0.0,0.5,-0.1,-0.5,0.2,-1.3,-0.4,0.1,0.1,-0.2,-0.2
vertex_z,0.0,0.0,0.2,-0.2,0.0,-0.4,-0.2,-0.2,-0.9,-0.6,0.4,-0.2,0.0,0.0,0.0,0.0,0.4,-0.4,0.0,0.0,0.7,0.0,-0.2,-0.3,0.1,-0.3,0.7,0.1,0.8,-1.0,0.5,1.3,-1.2,1.0,-2.4,1.0,0.1,-0.9
vertex_resolution,0.1,-0.1,0.1,-0.1,0.1,-0.1,-0.4,0.4,-0.2,0.2,1.4,-1.4,-0.3,0.3,0.1,-0.1,-0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angular_resolution,-0.2,0.2,5.1,-5.1,-0.4,-0.2,-0.9,-0.6,0.4,-0.2,0.2,-0.2,0.1,-0.1,-0.2,0.2,0.0,0.0,0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
internal_gamma,0.0,-0.1,0.0,-0.00,0.4,-0.6,0.3,-0.4,0.2,-0.2,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selection_efficiency,-0.1,0.2,-0.2,0.2,-0.2,0.2,-0.1,0.2,-0.1,0.2,-0.1,0.2,-0.1,0.2,-0.1,0.2,-0.1,0.2,-0.1,0.0,-0.1,0.2,-0.2,0.2,-0.2,0.2,-0.2,0.2,-0.2,0.2,-0.2,0.2,-0.2,0.2,-0.2,0.2,-0.3,0.3
backgrounds,-1.0,0.0,-0.0,0.0,-8.5,0.0,0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,0.0,0.0,0.0,-0.1,0.0,-0.2,0.0,-0.2,0.0,-0.3,0.0,-0.3,0.0,-0.9,0.0,-0.9,0.0,-3.2,0.0,-12.3,0.0
