depth_km,mass_density_g_cm3,vp_km_s,vs_km_s,q_alpha,q_mu,radius_km,radius_fraction,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3
6371.0,13.0122,11.2622,3.6678,601.27,85.03,0.0,0.0,0.467,6.0766974000000005,6.935502599999999
6320.29,13.0117,11.2618,3.6675,601.32,85.03,50.710000000000036,0.007959504002511386,0.467,6.0764639,6.935236099999998
6269.57,13.01,11.2606,3.6667,601.46,85.03,101.43000000000029,0.015920577617328565,0.467,6.075670000000001,6.934329999999999
6218.86,13.0074,11.2586,3.6653,601.7,85.03,152.14000000000033,0.02388008161983995,0.467,6.074455800000001,6.932944199999999
6168.15,13.0036,11.2557,3.6633,602.05,85.03,202.85000000000036,0.031839585622351334,0.467,6.072681200000001,6.930918799999999
6117.44,12.9988,11.2521,3.6608,602.49,85.03,253.5600000000004,0.03979908962486272,0.467,6.0704396,6.928360399999999
6066.72,12.9929,11.2477,3.6577,603.04,85.03,304.27999999999975,0.047760163239679757,0.467,6.067684300000001,6.925215699999999
6016.01,12.9859,11.2424,3.654,603.69,85.03,354.9899999999998,0.05571966724219114,0.467,6.064415300000001,6.9214847
5965.3,12.9779,11.2364,3.6498,604.44,85.03,405.6999999999998,0.06367917124470253,0.467,6.0606793,6.917220699999999
5914.59,12.9688,11.2295,3.645,605.28,85.03,456.40999999999985,0.07163867524721391,0.467,6.0564296,6.912370399999999
5863.87,12.9586,11.2219,3.6396,606.26,85.03,507.1300000000001,0.0795997488620311,0.467,6.0516662000000006,6.906933799999999
5813.16,12.9474,11.2134,3.6337,607.31,85.03,557.8400000000001,0.08755925286454248,0.467,6.0464358,6.900964199999999
5762.45,12.9351,11.2041,3.6272,608.48,85.03,608.5500000000002,0.09551875686705387,0.467,6.040691700000001,6.894408299999999
5711.74,12.9217,11.1941,3.6202,609.74,85.03,659.2600000000002,0.10347826086956526,0.467,6.0344339,6.887266099999999
5661.02,12.9072,11.1832,3.6126,611.12,85.03,709.9799999999996,0.11143933448438229,0.467,6.0276624000000005,6.879537599999999
5610.31,12.8917,11.1715,3.6044,612.62,85.03,760.6899999999996,0.11939883848689367,0.467,6.020423900000001,6.871276099999999
5559.6,12.8751,11.159,3.5957,614.21,85.03,811.3999999999996,0.12735834248940506,0.467,6.0126717,6.862428299999999
5508.89,12.8574,11.1457,3.5864,615.93,85.03,862.1099999999997,0.13531784649191644,0.467,6.004405800000001,6.852994199999999
5458.17,12.8387,11.1316,3.5765,617.78,85.03,912.8299999999999,0.14327892010673363,0.467,5.9956729,6.843027099999999
5407.46,12.8188,11.1166,3.5661,619.71,85.03,963.54,0.151238424109245,0.467,5.9863796,6.832420399999998
5356.75,12.798,11.0983,3.5551,621.5,85.03,1014.25,0.1591979281117564,0.467,5.976666000000001,6.821333999999999
5306.04,12.776,11.085,3.5435,624.08,85.03,1064.96,0.16715743211426778,0.467,5.966392,6.809607999999999
5255.32,12.753,11.0718,3.5314,626.87,85.03,1115.6800000000003,0.17511850572908497,0.467,5.9556510000000005,6.797348999999999
5204.61,12.7289,11.0585,3.5187,629.89,85.03,1166.3900000000003,0.18307800973159635,0.467,5.9443963,6.784503699999998
5153.5,12.7037,11.0427,3.5043,633.26,85.03,1217.5,0.1911002982263381,0.467,5.9326279,6.771072099999999
5153.5,12.1391,10.289,0.0,57822.0,0.0,1217.5,0.1911002982263381,0.467,5.6689597,6.470140299999999
5103.57,12.1133,10.2854,0.0,57822.0,0.0,1267.4300000000003,0.1989373724690002,0.467,5.6569111,6.456388899999999
5053.24,12.0867,10.2745,0.0,57822.0,0.0,1317.7600000000002,0.20683723120389266,0.467,5.644488900000001,6.442211099999999
5002.91,12.0593,10.2565,0.0,57822.0,0.0,1368.0900000000001,0.21473708993878515,0.467,5.631693100000001,6.427606899999999
4952.58,12.0311,10.2329,0.0,57822.0,0.0,1418.42,0.22263694867367761,0.467,5.618523700000001,6.4125763
4902.24,12.0001,10.2049,0.0,57822.0,0.0,1468.7600000000002,0.23053837702087587,0.467,5.6040467000000005,6.396053299999999
4851.91,11.9722,10.1739,0.0,57822.0,0.0,1519.0900000000001,0.23843823575576834,0.467,5.591017400000001,6.3811826
4801.58,11.9414,10.1415,0.0,57822.0,0.0,1569.42,0.24633809449066082,0.467,5.576633800000001,6.364766199999999
4751.25,11.9098,10.1095,0.0,57822.0,0.0,1619.75,0.2542379532255533,0.467,5.561876600000001,6.347923399999999
4700.92,11.8772,10.0768,0.0,57822.0,0.0,1670.08,0.2621378119604458,0.467,5.5466524,6.330547599999999
4650.59,11.8437,10.0439,0.0,57822.0,0.0,1720.4099999999999,0.27003767069533824,0.467,5.5310079000000005,6.312692099999999
4600.26,11.8092,10.0103,0.0,57822.0,0.0,1770.7399999999998,0.2779375294302307,0.467,5.5148964000000005,6.294303599999999
4549.93,11.7737,9.9761,0.0,57822.0,0.0,1821.0699999999997,0.28583738816512316,0.467,5.4983179,6.275382099999999
4499.6,11.7373,9.941,0.0,57822.0,0.0,1871.3999999999996,0.2937372469000156,0.467,5.4813191,6.255980899999999
4449.26,11.6998,9.9051,0.0,57822.0,0.0,1921.7399999999998,0.3016386752472139,0.467,5.4638066,6.235993399999999
4398.93,11.6612,9.8682,0.0,57822.0,0.0,1972.0699999999997,0.3095385339821064,0.467,5.4457804,6.215419599999999
4348.6,11.6216,9.8304,0.0,57822.0,0.0,2022.3999999999996,0.31743839271699886,0.467,5.4272872,6.1943128
4298.27,11.5809,9.7914,0.0,57822.0,0.0,2072.7299999999996,0.3253382514518913,0.467,5.4082803,6.1726196999999985
4247.94,11.5391,9.7513,0.0,57822.0,0.0,2123.0600000000004,0.33323811018678395,0.467,5.3887597000000005,6.150340299999999
4197.61,11.4962,9.71,0.0,57822.0,0.0,2173.3900000000003,0.3411379689216764,0.467,5.368725400000001,6.127474599999999
4147.28,11.4521,9.6673,0.0,57822.0,0.0,2223.7200000000003,0.3490378276565689,0.467,5.3481307000000005,6.103969299999999
4096.95,11.4069,9.6232,0.0,57822.0,0.0,2274.05,0.35693768639146134,0.467,5.3270223,6.079877699999999
4046.62,11.3604,9.5777,0.0,57822.0,0.0,2324.38,0.3648375451263538,0.467,5.3053068,6.055093199999999
3996.28,11.3127,9.5306,0.0,57822.0,0.0,2374.72,0.372738973473552,0.467,5.2830309,6.029669099999999
3945.95,11.2639,9.4814,0.0,57822.0,0.0,2425.05,0.3806388322084445,0.467,5.2602413,6.003658699999999
3895.62,11.2137,9.4297,0.0,57822.0,0.0,2475.38,0.38853869094333704,0.467,5.2367979,5.976902099999998
3845.29,11.1623,9.376,0.0,57822.0,0.0,2525.71,0.3964385496782295,0.467,5.2127941,5.949505899999999
