 Energy(MeV)      pp            B8           N13           O15    

 0.20000E-01   0.99545E+00   0.99549E+00   0.99552E+00   0.99548E+00 
 0.40000E-01   0.99534E+00   0.99532E+00   0.99536E+00   0.99530E+00 
 0.60000E-01   0.99521E+00   0.99512E+00   0.99518E+00   0.99511E+00 
 0.80000E-01   0.99507E+00   0.99489E+00   0.99498E+00   0.99489E+00 
 0.10000E+00   0.99492E+00   0.99464E+00   0.99475E+00   0.99464E+00 
 0.12000E+00   0.99475E+00   0.99435E+00   0.99449E+00   0.99436E+00 
 0.14000E+00   0.99456E+00   0.99403E+00   0.99420E+00   0.99404E+00 
 0.16000E+00   0.99436E+00   0.99365E+00   0.99387E+00   0.99367E+00 
 0.18000E+00   0.99413E+00   0.99321E+00   0.99348E+00   0.99325E+00 
 0.20000E+00   0.99387E+00   0.99270E+00   0.99303E+00   0.99275E+00 
 0.22000E+00   0.99358E+00   0.99209E+00   0.99251E+00   0.99217E+00 
 0.24000E+00   0.99325E+00   0.99138E+00   0.99188E+00   0.99148E+00 
 0.26000E+00   0.99287E+00   0.99051E+00   0.99113E+00   0.99064E+00 
 0.28000E+00   0.99243E+00   0.98945E+00   0.99023E+00   0.98963E+00 
 0.30000E+00   0.99191E+00   0.98814E+00   0.98911E+00   0.98838E+00 
 0.32000E+00   0.99130E+00   0.98650E+00   0.98771E+00   0.98680E+00 
 0.34000E+00   0.99057E+00   0.98438E+00   0.98591E+00   0.98478E+00 
 0.36000E+00   0.98967E+00   0.98158E+00   0.98356E+00   0.98213E+00 
 0.38000E+00   0.98854E+00   0.97779E+00   0.98039E+00   0.97855E+00 
 0.40000E+00   0.98708E+00   0.97246E+00   0.97594E+00   0.97353E+00 
 0.42000E+00   0.98513E+00   0.96462E+00   0.96945E+00   0.96618E+00 
 0.44000E+00   0.98241E+00   0.95247E+00   0.95943E+00   0.95483E+00 
 0.46000E+00   0.97838E+00   0.93246E+00   0.94301E+00   0.93620E+00 
 0.48000E+00   0.97207E+00   0.89782E+00   0.91469E+00   0.90405E+00 
 0.50000E+00   0.96191E+00   0.83863E+00   0.86644E+00   0.84926E+00 
 0.52000E+00   0.94643E+00   0.75013E+00   0.79436E+00   0.76740E+00 
 0.54000E+00   0.92549E+00   0.64237E+00   0.70639E+00   0.66749E+00 
 0.56000E+00   0.90006E+00   0.53197E+00   0.61559E+00   0.56437E+00 
 0.58000E+00   0.87136E+00   0.43068E+00   0.53115E+00   0.46848E+00 
 0.60000E+00   0.84044E+00   0.34372E+00   0.45722E+00   0.38453E+00 
 0.62000E+00   0.80816E+00   0.27202E+00   0.39475E+00   0.31362E+00 
 0.64000E+00   0.77518E+00   0.21439E+00   0.34308E+00   0.25498E+00 
 0.66000E+00   0.74204E+00   0.16880E+00   0.30090E+00   0.20712E+00 
 0.68000E+00   0.70916E+00   0.13312E+00   0.26675E+00   0.16839E+00 
 0.70000E+00   0.67686E+00   0.10535E+00   0.23924E+00   0.13721E+00 
 0.72000E+00   0.64536E+00   0.83809E-01   0.21710E+00   0.11215E+00 
 0.74000E+00   0.61483E+00   0.67097E-01   0.19930E+00   0.92032E-01 
 0.76000E+00   0.58538E+00   0.54120E-01   0.18497E+00   0.75860E-01 
 0.78000E+00   0.55710E+00   0.44017E-01   0.17340E+00   0.62844E-01 
 0.80000E+00   0.53002E+00   0.36125E-01   0.16402E+00   0.52345E-01 
 0.82000E+00   0.50417E+00   0.29933E-01   0.15640E+00   0.43852E-01 
 0.84000E+00   0.47956E+00   0.25050E-01   0.15015E+00   0.36962E-01 
 0.86000E+00   0.45615E+00   0.21180E-01   0.14501E+00   0.31351E-01 
 0.88000E+00   0.43394E+00   0.18093E-01   0.14073E+00   0.26767E-01 
 0.90000E+00   0.41288E+00   0.15617E-01   0.13713E+00   0.23007E-01 
 0.92000E+00   0.39294E+00   0.13617E-01   0.13404E+00   0.19910E-01 
 0.94000E+00   0.37407E+00   0.11992E-01   0.13136E+00   0.17349E-01 
 0.96000E+00   0.35622E+00   0.10662E-01   0.12894E+00   0.15222E-01 
 0.98000E+00   0.33935E+00   0.95658E-02   0.12671E+00   0.13448E-01 
 0.10000E+01   0.32339E+00   0.86568E-02   0.12455E+00   0.11962E-01 
 0.10200E+01   0.30832E+00   0.78977E-02   0.12239E+00   0.10713E-01 
 0.10400E+01   0.29408E+00   0.72595E-02   0.12014E+00   0.96586E-02 
 0.10600E+01   0.28062E+00   0.67196E-02   0.11772E+00   0.87650E-02 
 0.10800E+01   0.26789E+00   0.62598E-02   0.11506E+00   0.80050E-02 
 0.11000E+01   0.25587E+00   0.58658E-02   0.11212E+00   0.73564E-02 
