energy_MeV,day,day_night_average,night
0.1,0.6061,0.6052,0.6052
0.15,0.5982,0.5977,0.5981
0.2,0.5899,0.5893,0.5896
0.25,0.5812,0.5806,0.5809
0.3,0.5722,0.5717,0.572
0.35,0.5628,0.5622,0.5624
0.4,0.5532,0.5527,0.5529
0.45,0.5433,0.5428,0.543
0.5,0.5332,0.5327,0.5329
0.55,0.5229,0.5224,0.5227
0.6,0.5125,0.5121,0.5124
0.65,0.5021,0.5017,0.502
0.7,0.4916,0.4913,0.4917
0.75,0.4812,0.481,0.4815
0.8,0.471,0.4708,0.4713
0.85,0.4609,0.4608,0.4614
0.9,0.451,0.451,0.4517
0.95,0.4414,0.4415,0.4422
1.0,0.432,0.4323,0.4331
1.05,0.423,0.4234,0.4243
1.1,0.4144,0.4149,0.4159
1.15,0.4061,0.4067,0.4079
1.2,0.3981,0.3989,0.4003
1.25,0.3906,0.3915,0.3929
1.3,0.3834,0.3845,0.386
1.35,0.3766,0.3778,0.3795
1.4,0.3702,0.3715,0.3734
1.45,0.3641,0.3655,0.3675
1.5,0.3583,0.3599,0.362
1.55,0.3529,0.3547,0.3569
1.6,0.3478,0.3498,0.3522
1.65,0.3431,0.3451,0.3477
1.7,0.3385,0.3408,0.3436
1.75,0.3343,0.3368,0.3397
1.8,0.3303,0.333,0.3361
1.85,0.3266,0.3294,0.3327
1.9,0.3231,0.3261,0.3295
1.95,0.3198,0.3229,0.3264
2.0,0.3167,0.3199,0.3235
2.05,0.3138,0.3171,0.3208
2.1,0.311,0.3145,0.3184
2.15,0.3084,0.3121,0.3161
2.2,0.306,0.3098,0.3141
2.25,0.3037,0.3077,0.3122
2.3,0.3016,0.3058,0.3104
2.35,0.2995,0.304,0.3088
2.4,0.2976,0.3022,0.3072
2.45,0.2958,0.3006,0.3058
2.5,0.2941,0.299,0.3044
2.55,0.2925,0.2975,0.303
2.6,0.291,0.2961,0.3017
2.65,0.2895,0.2948,0.3005
2.7,0.2882,0.2936,0.2994
2.75,0.2869,0.2924,0.2984
2.8,0.2857,0.2914,0.2975
2.85,0.2845,0.2904,0.2967
2.9,0.2834,0.2895,0.296
2.95,0.2823,0.2886,0.2953
3.0,0.2813,0.2878,0.2947
3.05,0.2804,0.287,0.2941
3.1,0.2795,0.2863,0.2935
3.15,0.2786,0.2856,0.293
3.2,0.2778,0.285,0.2925
3.25,0.2771,0.2843,0.292
3.3,0.2763,0.2837,0.2915
3.35,0.2756,0.2831,0.291
3.4,0.2749,0.2826,0.2906
3.45,0.2743,0.2821,0.2903
3.5,0.2737,0.2817,0.29
3.55,0.2731,0.2812,0.2898
3.6,0.2725,0.2809,0.2896
3.65,0.272,0.2805,0.2895
3.7,0.2715,0.2802,0.2893
3.75,0.271,0.2798,0.2891
3.8,0.2705,0.2795,0.2889
3.85,0.27,0.2792,0.2887
3.9,0.2696,0.2788,0.2885
3.95,0.2692,0.2785,0.2882
4.0,0.2688,0.2782,0.288
4.05,0.2684,0.2778,0.2877
4.1,0.268,0.2775,0.2874
4.15,0.2676,0.2772,0.2872
