energy_MeV,day,day_night_average,night
0.1,0.3941,0.4681,0.5427
0.15,0.394,0.5104,0.6275
0.2,0.394,0.5217,0.6502
0.25,0.394,0.5389,0.6845
0.3,0.3939,0.5445,0.6959
0.35,0.3939,0.542,0.6909
0.4,0.3939,0.5356,0.678
0.45,0.3939,0.5276,0.6621
0.5,0.3939,0.5194,0.6455
0.55,0.3939,0.5113,0.6295
0.6,0.3939,0.5038,0.6145
0.65,0.3939,0.497,0.6007
0.7,0.3939,0.4907,0.5881
0.75,0.3939,0.485,0.5767
0.8,0.3939,0.4798,0.5664
0.85,0.3939,0.4752,0.557
0.9,0.3939,0.4709,0.5485
0.95,0.3939,0.467,0.5408
1.0,0.3939,0.4635,0.5337
1.05,0.3939,0.4603,0.5273
1.1,0.3939,0.4573,0.5214
1.15,0.3939,0.4546,0.5159
1.2,0.3939,0.4521,0.5109
1.25,0.3939,0.4498,0.5062
1.3,0.3939,0.4476,0.5019
1.35,0.3939,0.4456,0.4979
1.4,0.3939,0.4437,0.4942
1.45,0.3939,0.442,0.4907
1.5,0.3939,0.4404,0.4874
1.55,0.3939,0.4389,0.4844
1.6,0.3939,0.4374,0.4815
1.65,0.3939,0.4361,0.4788
1.7,0.3939,0.4348,0.4763
1.75,0.3939,0.4336,0.4739
1.8,0.3939,0.4325,0.4717
1.85,0.3939,0.4314,0.4695
1.9,0.3939,0.4304,0.4675
1.95,0.3939,0.4294,0.4656
2.0,0.3939,0.4285,0.4637
2.05,0.3939,0.4277,0.462
2.1,0.3939,0.4268,0.4604
2.15,0.3939,0.4261,0.4588
2.2,0.3939,0.4253,0.4573
2.25,0.3939,0.4246,0.4558
2.3,0.3939,0.4239,0.4545
2.35,0.3939,0.4232,0.4531
2.4,0.3939,0.4226,0.4519
2.45,0.3939,0.422,0.4507
2.5,0.3939,0.4214,0.4495
2.55,0.3939,0.4209,0.4484
2.6,0.3939,0.4203,0.4473
2.65,0.3939,0.4198,0.4463
2.7,0.3939,0.4193,0.4453
2.75,0.3939,0.4189,0.4444
2.8,0.3939,0.4184,0.4434
2.85,0.3939,0.418,0.4426
2.9,0.3939,0.4175,0.4417
2.95,0.3939,0.4171,0.4409
3.0,0.3939,0.4167,0.4401
3.05,0.3939,0.4163,0.4393
3.1,0.3939,0.416,0.4386
3.15,0.3939,0.4156,0.4378
3.2,0.3939,0.4152,0.4371
3.25,0.3939,0.4149,0.4365
3.3,0.3939,0.4146,0.4358
