energy_MeV,day,day_night_average,night
0.1,0.9958,0.9951,0.9958
0.15,0.9945,0.9938,0.9945
0.2,0.9921,0.9914,0.9921
0.25,0.9863,0.9856,0.9863
0.3,0.9658,0.9651,0.9657
0.35,0.8032,0.8027,0.8032
0.4,0.3925,0.3922,0.3925
0.45,0.1571,0.157,0.1572
0.5,0.06368,0.06366,0.06374
0.55,0.02829,0.0283,0.02836
0.6,0.01432,0.01435,0.0144
0.65,0.008379,0.008415,0.008464
0.7,0.005612,0.005654,0.005703
0.75,0.004195,0.004243,0.004298
0.8,0.003402,0.003456,0.003514
0.85,0.002923,0.002981,0.003043
0.9,0.002616,0.00268,0.002747
0.95,0.002414,0.002481,0.002551
1.0,0.002284,0.002352,0.002424
1.05,0.00221,0.002284,0.002361
1.1,0.002188,0.002266,0.002348
1.15,0.002216,0.002297,0.002382
1.2,0.002299,0.002387,0.002478
1.25,0.002439,0.002535,0.002635
1.3,0.002639,0.00274,0.002844
1.35,0.002923,0.003025,0.003132
1.4,0.003313,0.003419,0.00353
1.45,0.003793,0.003904,0.004021
1.5,0.004331,0.004447,0.004569
1.55,0.004945,0.005065,0.005193
1.6,0.005689,0.005813,0.005945
1.65,0.006586,0.006713,0.006848
1.7,0.007606,0.007735,0.007874
1.75,0.008717,0.008847,0.00899
1.8,0.009915,0.01005,0.0102
1.85,0.01121,0.01135,0.01151
1.9,0.01262,0.01277,0.01293
1.95,0.01415,0.0143,0.01448
2.0,0.01579,0.01596,0.01614
2.05,0.01758,0.01775,0.01794
2.1,0.0195,0.01967,0.01987
2.15,0.02157,0.02174,0.02194
2.2,0.02378,0.02395,0.02416
2.25,0.02607,0.02624,0.02644
2.3,0.02833,0.0285,0.02871
2.35,0.03048,0.03065,0.03086
2.4,0.03255,0.03272,0.03294
2.45,0.0347,0.03488,0.03511
2.5,0.0371,0.03729,0.03752
2.55,0.03991,0.04008,0.04032
2.6,0.04303,0.0432,0.04344
2.65,0.04629,0.04646,0.04669
2.7,0.0495,0.04966,0.04989
2.75,0.05249,0.05266,0.05289
2.8,0.0553,0.05547,0.05571
2.85,0.05804,0.05822,0.05849
2.9,0.06084,0.06104,0.06133
2.95,0.06384,0.06406,0.06436
3.0,0.06707,0.0673,0.06763
3.05,0.07044,0.07069,0.07104
