radius,temperature_MK,density_log_10,shell_mass_solar,be7_mass_fraction,pp fraction,8B fraction,13N fraction,15O fraction,17F fraction,7Be fraction,pep fraction,hep fraction
0.00649,15.702,2.011,3.048e-05,1.737e-11,0.0001889,0.002375,0.001914,0.002178,0.002241,0.0009508,0.0002977,7.695e-05
0.00659,15.701,2.011,1.427e-06,1.737e-11,8.842e-06,0.0001111,8.953e-05,0.0001019,0.0001048,4.449e-05,1.393e-05,3.602e-06
0.0067,15.701,2.011,1.493e-06,1.736e-11,9.254e-06,0.0001162,9.364e-05,0.0001065,0.0001096,4.655e-05,1.458e-05,3.771e-06
0.0068,15.7,2.011,1.562e-06,1.736e-11,9.684e-06,0.0001215,9.793e-05,0.0001114,0.0001146,4.87e-05,1.526e-05,3.947e-06
0.0069,15.7,2.011,1.635e-06,1.735e-11,1.014e-05,0.0001271,0.0001024,0.0001165,0.0001199,5.095e-05,1.597e-05,4.131e-06
0.00701,15.699,2.011,1.711e-06,1.735e-11,1.061e-05,0.0001329,0.0001071,0.0001219,0.0001254,5.33e-05,1.671e-05,4.324e-06
0.00712,15.699,2.011,1.791e-06,1.735e-11,1.11e-05,0.000139,0.000112,0.0001274,0.0001311,5.576e-05,1.749e-05,4.526e-06
0.00723,15.698,2.011,1.874e-06,1.734e-11,1.162e-05,0.0001454,0.0001171,0.0001332,0.0001371,5.833e-05,1.83e-05,4.737e-06
0.00734,15.698,2.011,1.961e-06,1.734e-11,1.215e-05,0.000152,0.0001225,0.0001393,0.0001434,6.102e-05,1.914e-05,4.959e-06
0.00745,15.697,2.011,2.052e-06,1.733e-11,1.272e-05,0.000159,0.000128,0.0001457,0.0001499,6.383e-05,2.003e-05,5.19e-06
0.00756,15.696,2.011,2.147e-06,1.733e-11,1.331e-05,0.0001662,0.0001339,0.0001523,0.0001568,6.677e-05,2.096e-05,5.432e-06
0.00768,15.696,2.011,2.246e-06,1.733e-11,1.393e-05,0.0001738,0.0001399,0.0001592,0.0001639,6.984e-05,2.193e-05,5.685e-06
0.0078,15.695,2.011,2.35e-06,1.732e-11,1.457e-05,0.0001817,0.0001463,0.0001664,0.0001713,7.304e-05,2.294e-05,5.95e-06
0.00792,15.694,2.011,2.459e-06,1.732e-11,1.525e-05,0.0001899,0.0001529,0.000174,0.0001791,7.639e-05,2.4e-05,6.227e-06
0.00804,15.694,2.011,2.573e-06,1.731e-11,1.595e-05,0.0001985,0.0001599,0.0001819,0.0001872,7.99e-05,2.511e-05,6.516e-06
0.00816,15.693,2.011,2.691e-06,1.731e-11,1.669e-05,0.0002075,0.0001671,0.0001901,0.0001957,8.355e-05,2.627e-05,6.819e-06
0.00829,15.692,2.01,2.816e-06,1.73e-11,1.746e-05,0.0002169,0.0001746,0.0001987,0.0002046,8.738e-05,2.748e-05,7.136e-06
0.00841,15.692,2.01,2.945e-06,1.729e-11,1.827e-05,0.0002267,0.0001825,0.0002076,0.0002138,9.137e-05,2.875e-05,7.468e-06
0.00854,15.691,2.01,3.081e-06,1.729e-11,1.911e-05,0.000237,0.0001907,0.000217,0.0002234,9.554e-05,3.007e-05,7.815e-06
0.00867,15.69,2.01,3.223e-06,1.728e-11,1.999e-05,0.0002476,0.0001993,0.0002267,0.0002335,9.989e-05,3.145e-05,8.177e-06
