 Distribution of neutrino fluxes in the BP04 standard solar model model.

astro-ph/0402114

The cumulative neutrino fluxes from Table 1 of BP04 are given in the row below.
 
 5.938E+00 1.401E-02 7.875E-07 4.857E-01 5.822E-04 5.712E-02 5.031E-02 5.912E-04 
 (Fictional fluxes for internal checks: 2.735E+00 4.863E-01)
 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
  0.00649 15.702 2.011 3.048E-05 1.737E-11 1.889E-04 2.375E-03 1.914E-03 2.178E-03 2.241E-03 9.508E-04 2.977E-04 7.695E-05
  0.00659 15.701 2.011 1.427E-06 1.737E-11 8.842E-06 1.111E-04 8.953E-05 1.019E-04 1.048E-04 4.449E-05 1.393E-05 3.602E-06
  0.00670 15.701 2.011 1.493E-06 1.736E-11 9.254E-06 1.162E-04 9.364E-05 1.065E-04 1.096E-04 4.655E-05 1.458E-05 3.771E-06
  0.00680 15.700 2.011 1.562E-06 1.736E-11 9.684E-06 1.215E-04 9.793E-05 1.114E-04 1.146E-04 4.870E-05 1.526E-05 3.947E-06
  0.00690 15.700 2.011 1.635E-06 1.735E-11 1.014E-05 1.271E-04 1.024E-04 1.165E-04 1.199E-04 5.095E-05 1.597E-05 4.131E-06
  0.00701 15.699 2.011 1.711E-06 1.735E-11 1.061E-05 1.329E-04 1.071E-04 1.219E-04 1.254E-04 5.330E-05 1.671E-05 4.324E-06
  0.00712 15.699 2.011 1.791E-06 1.735E-11 1.110E-05 1.390E-04 1.120E-04 1.274E-04 1.311E-04 5.576E-05 1.749E-05 4.526E-06
  0.00723 15.698 2.011 1.874E-06 1.734E-11 1.162E-05 1.454E-04 1.171E-04 1.332E-04 1.371E-04 5.833E-05 1.830E-05 4.737E-06
  0.00734 15.698 2.011 1.961E-06 1.734E-11 1.215E-05 1.520E-04 1.225E-04 1.393E-04 1.434E-04 6.102E-05 1.914E-05 4.959E-06
  0.00745 15.697 2.011 2.052E-06 1.733E-11 1.272E-05 1.590E-04 1.280E-04 1.457E-04 1.499E-04 6.383E-05 2.003E-05 5.190E-06
  0.00756 15.696 2.011 2.147E-06 1.733E-11 1.331E-05 1.662E-04 1.339E-04 1.523E-04 1.568E-04 6.677E-05 2.096E-05 5.432E-06
  0.00768 15.696 2.011 2.246E-06 1.733E-11 1.393E-05 1.738E-04 1.399E-04 1.592E-04 1.639E-04 6.984E-05 2.193E-05 5.685E-06
  0.00780 15.695 2.011 2.350E-06 1.732E-11 1.457E-05 1.817E-04 1.463E-04 1.664E-04 1.713E-04 7.304E-05 2.294E-05 5.950E-06
  0.00792 15.694 2.011 2.459E-06 1.732E-11 1.525E-05 1.899E-04 1.529E-04 1.740E-04 1.791E-04 7.639E-05 2.400E-05 6.227E-06
  0.00804 15.694 2.011 2.573E-06 1.731E-11 1.595E-05 1.985E-04 1.599E-04 1.819E-04 1.872E-04 7.990E-05 2.511E-05 6.516E-06
  0.00816 15.693 2.011 2.691E-06 1.731E-11 1.669E-05 2.075E-04 1.671E-04 1.901E-04 1.957E-04 8.355E-05 2.627E-05 6.819E-06
  0.00829 15.692 2.010 2.816E-06 1.730E-11 1.746E-05 2.169E-04 1.746E-04 1.987E-04 2.046E-04 8.738E-05 2.748E-05 7.136E-06
  0.00841 15.692 2.010 2.945E-06 1.729E-11 1.827E-05 2.267E-04 1.825E-04 2.076E-04 2.138E-04 9.137E-05 2.875E-05 7.468E-06
  0.00854 15.691 2.010 3.081E-06 1.729E-11 1.911E-05 2.370E-04 1.907E-04 2.170E-04 2.234E-04 9.554E-05 3.007E-05 7.815E-06
  0.00867 15.690 2.010 3.223E-06 1.728E-11 1.999E-05 2.476E-04 1.993E-04 2.267E-04 2.335E-04 9.989E-05 3.145E-05 8.177E-06
  0.00881 15.689 2.010 3.371E-06 1.728E-11 2.091E-05 2.588E-04 2.082E-04 2.369E-04 2.440E-04 1.044E-04 3.290E-05 8.557E-06
  0.00894 15.688 2.010 3.526E-06 1.727E-11 2.187E-05 2.704E-04 2.176E-04 2.475E-04 2.549E-04 1.092E-04 3.441E-05 8.953E-06
  0.00908 15.687 2.010 3.688E-06 1.726E-11 2.288E-05 2.825E-04 2.273E-04 2.586E-04 2.663E-04 1.142E-04 3.599E-05 9.368E-06
  0.00922 15.687 2.010 3.858E-06 1.726E-11 2.393E-05 2.951E-04 2.374E-04 2.701E-04 2.783E-04 1.193E-04 3.764E-05 9.801E-06
  0.00936 15.686 2.010 4.034E-06 1.725E-11 2.503E-05 3.083E-04 2.480E-04 2.822E-04 2.907E-04 1.247E-04 3.936E-05 1.025E-05
  0.00950 15.685 2.010 4.219E-06 1.724E-11 2.618E-05 3.221E-04 2.590E-04 2.947E-04 3.036E-04 1.304E-04 4.116E-05 1.073E-05
  0.00964 15.684 2.010 4.412E-06 1.724E-11 2.738E-05 3.364E-04 2.705E-04 3.078E-04 3.171E-04 1.363E-04 4.304E-05 1.122E-05
  0.00979 15.683 2.010 4.614E-06 1.723E-11 2.863E-05 3.513E-04 2.825E-04 3.214E-04 3.312E-04 1.424E-04 4.500E-05 1.174E-05
  0.00994 15.682 2.010 4.824E-06 1.722E-11 2.994E-05 3.669E-04 2.950E-04 3.356E-04 3.458E-04 1.488E-04 4.705E-05 1.228E-05
  0.01009 15.681 2.010 5.044E-06 1.721E-11 3.130E-05 3.831E-04 3.080E-04 3.504E-04 3.611E-04 1.555E-04 4.919E-05 1.285E-05
  0.01025 15.680 2.010 5.273E-06 1.721E-11 3.273E-05 4.000E-04 3.215E-04 3.658E-04 3.770E-04 1.625E-04 5.142E-05 1.344E-05
  0.01040 15.678 2.010 5.513E-06 1.720E-11 3.422E-05 4.176E-04 3.357E-04 3.819E-04 3.936E-04 1.698E-04 5.376E-05 1.406E-05
  0.01056 15.677 2.009 5.763E-06 1.719E-11 3.578E-05 4.360E-04 3.503E-04 3.986E-04 4.109E-04 1.774E-04 5.619E-05 1.470E-05
  0.01072 15.676 2.009 6.025E-06 1.718E-11 3.740E-05 4.550E-04 3.656E-04 4.160E-04 4.289E-04 1.853E-04 5.873E-05 1.538E-05
  0.01088 15.675 2.009 6.297E-06 1.717E-11 3.910E-05 4.749E-04 3.816E-04 4.341E-04 4.476E-04 1.935E-04 6.139E-05 1.608E-05
  0.01105 15.673 2.009 6.582E-06 1.716E-11 4.087E-05 4.956E-04 3.981E-04 4.530E-04 4.670E-04 2.021E-04 6.415E-05 1.682E-05
  0.01122 15.672 2.009 6.879E-06 1.715E-11 4.271E-05 5.171E-04 4.154E-04 4.726E-04 4.873E-04 2.111E-04 6.704E-05 1.758E-05
  0.01139 15.671 2.009 7.188E-06 1.714E-11 4.464E-05 5.395E-04 4.333E-04 4.930E-04 5.084E-04 2.204E-04 7.005E-05 1.839E-05
  0.01156 15.669 2.009 7.512E-06 1.713E-11 4.665E-05 5.628E-04 4.519E-04 5.142E-04 5.303E-04 2.301E-04 7.320E-05 1.922E-05
  0.01173 15.668 2.009 7.849E-06 1.712E-11 4.875E-05 5.871E-04 4.713E-04 5.362E-04 5.531E-04 2.403E-04 7.647E-05 2.010E-05
  0.01191 15.667 2.009 8.200E-06 1.711E-11 5.094E-05 6.123E-04 4.915E-04 5.591E-04 5.768E-04 2.508E-04 7.989E-05 2.101E-05
  0.01209 15.665 2.009 8.567E-06 1.710E-11 5.322E-05 6.385E-04 5.124E-04 5.830E-04 6.015E-04 2.618E-04 8.345E-05 2.196E-05
