bin,radius_m,counts,error,residual
1.0,0.05,0.0,0.0,0.0
2.0,0.15,0.0,0.0,0.0
3.0,0.25,0.0,0.0,0.0
4.0,0.35,0.0,0.0,0.0
5.0,0.45,0.0,0.0,0.0
6.0,0.55,1.0,1.0,0.21292
7.0,0.65,1.0,1.0,-0.107802
8.0,0.75,1.0,1.0,-0.430528
9.0,0.85,2.0,1.41421,0.144089
10.0,0.95,4.0,2.0,0.862239
11.0,1.05,2.0,1.41421,-0.577831
12.0,1.15,2.0,1.41421,-0.923995
13.0,1.25,4.0,2.0,0.0073845
14.0,1.35,3.0,1.73205,-0.94373
15.0,1.45,7.0,2.64575,0.631355
16.0,1.55,3.0,1.73205,-1.80475
17.0,1.65,6.0,2.44949,-0.408832
18.0,1.75,10.0,3.16228,0.674225
19.0,1.85,9.0,3.0,0.0196473
20.0,1.95,10.0,3.16228,0.122346
21.0,2.05,8.0,2.82843,-0.90452
22.0,2.15,13.0,3.60555,0.277109
23.0,2.25,15.0,3.87298,0.463044
24.0,2.35,17.0,4.12311,0.627265
25.0,2.45,15.0,3.87298,-0.263043
26.0,2.55,16.0,4.0,-0.417075
27.0,2.65,20.0,4.47214,0.271349
28.0,2.75,23.0,4.79583,0.633381
29.0,2.85,19.0,4.3589,-0.698151
30.0,2.95,27.0,5.19615,0.540808
31.0,3.05,31.0,5.56776,0.795215
32.0,3.15,30.0,5.47723,0.101489
33.0,3.25,35.0,5.91608,0.285769
34.0,3.35,28.0,5.2915,-2.22529
35.0,3.45,54.0,7.34847,0.188423
36.0,3.55,70.0,8.3666,-0.796961
37.0,3.65,127.0,11.2694,0.458435
38.0,3.75,217.0,14.7309,0.509038
39.0,3.85,349.0,18.6815,1.33514
40.0,3.95,438.0,20.9284,-0.38784
41.0,4.05,516.0,22.7156,-1.05827
42.0,4.15,525.0,22.9129,-0.980846
43.0,4.25,374.0,19.3391,-0.214731
44.0,4.35,135.0,11.619,1.52417
45.0,4.45,20.0,4.47214,2.02189
46.0,4.55,4.0,2.0,1.89665
47.0,4.65,0.0,0.0,0.0
48.0,4.75,0.0,0.0,0.0
49.0,4.85,0.0,0.0,0.0
