radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0005,2.0035,0.000680113,0.00106575,0.000288061,0.00334652,0.00834429,0.00495855,0.00699358,0.00765726
0.001,2.00349,0.00206012,0.00322822,0.000872562,0.0101407,0.0252503,0.01502,0.0211834,0.0232141
0.0015,2.00347,0.0046151,0.00723156,0.00195496,0.0227139,0.0565327,0.0336468,0.0474532,0.0520122
0.002,2.00343,0.00820327,0.0128529,0.00347554,0.0403598,0.100411,0.0597792,0.0843086,0.0924106
0.0025,2.00338,0.0128158,0.0200778,0.00543109,0.0630247,0.156719,0.0933191,0.131611,0.144259
0.003,2.00332,0.018451,0.0289024,0.00782144,0.0906861,0.225362,0.134212,0.189285,0.207468
0.0035,2.00325,0.0251078,0.039324,0.0106471,0.123322,0.30624,0.1824,0.257247,0.281949
0.004,2.00316,0.0327856,0.0513399,0.0139084,0.160909,0.399241,0.237818,0.335404,0.367592
0.0045,2.00306,0.0414827,0.064946,0.017606,0.203415,0.504225,0.300386,0.423645,0.464274
0.005,2.00296,0.0511959,0.0801352,0.0217396,0.250799,0.621019,0.370002,0.521825,0.571832
0.0055,2.00284,0.061924,0.0969034,0.0263099,0.303026,0.749456,0.446572,0.629814,0.690114
0.006,2.00272,0.0736645,0.115245,0.0313175,0.360049,0.889344,0.529984,0.747455,0.818945
0.0065,2.00257,0.0864155,0.135153,0.0367631,0.421828,1.04048,0.620121,0.874576,0.95814
0.007,2.00242,0.100177,0.156627,0.0426486,0.488324,1.20268,0.71688,1.01104,1.10753
0.0075,2.00226,0.114942,0.179649,0.0489721,0.559457,1.37563,0.820077,1.15659,1.26682
0.008,2.00207,0.130707,0.204216,0.0557353,0.635174,1.5591,0.929586,1.31103,1.43582
0.0085,2.00189,0.147472,0.23032,0.0629396,0.715425,1.75284,1.04526,1.47416,1.61428
0.009,2.00168,0.165224,0.257938,0.0705817,0.800097,1.95645,1.16686,1.64567,1.80185
