radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0005,2.00309,0.000669362,0.00104688,0.000285247,0.0032952,0.00821191,0.00482595,0.00685125,0.0075192
0.001,2.00308,0.0020581,0.00322,0.000877044,0.0101355,0.0252218,0.0148405,0.0210653,0.0231136
0.0015,2.00306,0.00461968,0.0072277,0.00196886,0.0227473,0.05658,0.0333111,0.0472824,0.0518818
0.002,2.00301,0.00821137,0.0128461,0.00350025,0.0404189,0.100495,0.0591827,0.0840049,0.0921789
0.0025,2.00296,0.0128283,0.0200668,0.00546958,0.063116,0.156846,0.0923876,0.131136,0.143895
0.003,2.00291,0.0184692,0.028887,0.00787697,0.0908185,0.225549,0.132875,0.188604,0.20695
0.0035,2.00284,0.0251326,0.0393029,0.0107225,0.123502,0.306494,0.180584,0.256325,0.281245
0.004,2.00275,0.0328179,0.0513123,0.0140069,0.161144,0.399571,0.235452,0.334205,0.366677
0.0045,2.00265,0.0415225,0.0649095,0.01773,0.203706,0.504629,0.297391,0.422123,0.463109
0.005,2.00255,0.051244,0.0800891,0.0218921,0.251153,0.621504,0.366311,0.519947,0.57039
0.0055,2.00242,0.0619843,0.0968508,0.0264951,0.303463,0.750065,0.442137,0.627577,0.688403
0.006,2.0023,0.0737365,0.115183,0.0315378,0.360571,0.890072,0.524729,0.744808,0.816928
0.0065,2.00216,0.086498,0.135078,0.0370203,0.422429,1.04131,0.613968,0.87148,0.955765
0.007,2.00201,0.100273,0.15654,0.0429463,0.489018,1.20363,0.709778,1.00747,1.10479
0.0075,2.00184,0.115051,0.179548,0.0493131,0.560248,1.37671,0.811964,1.15251,1.2637
0.008,2.00166,0.130829,0.204098,0.0561213,0.636059,1.56029,0.920387,1.3064,1.43227
0.0085,2.00148,0.147608,0.230185,0.0633738,0.716411,1.75415,1.03492,1.46898,1.61029
0.009,2.00129,0.165379,0.257793,0.0710685,0.80121,1.95795,1.15537,1.63995,1.79745
0.0095,2.00107,0.184143,0.286918,0.0792085,0.890414,2.17143,1.28159,1.81911,1.99353
0.01,2.00086,0.2039,0.317558,0.0877961,0.983962,2.39433,1.41345,2.00626,2.19828
0.0105,2.00062,0.224628,0.349674,0.0968244,1.0817,2.62611,1.55061,2.20097,2.41121
0.011,2.00038,0.246352,0.383299,0.106307,1.18367,2.86678,1.69312,2.40324,2.63234
0.0115,2.00012,0.269033,0.418368,0.116229,1.28965,3.11558,1.84052,2.61247,2.86098
0.012,1.99987,0.292697,0.454919,0.126607,1.39969,3.37251,1.99282,2.82865,3.09713
0.0125,1.99959,0.317311,0.492895,0.137427,1.51355,3.63688,2.14965,3.05124,3.34016
0.013,1.9993,0.3429,0.532328,0.148704,1.6313,3.90863,2.31096,3.28021,3.59003
0.0135,1.99901,0.369424,0.573153,0.160425,1.75269,4.18703,2.47632,3.51494,3.84605
0.014,1.9987,0.396908,0.615403,0.172602,1.87774,4.47197,2.64571,3.75535,4.10816
0.0145,1.99838,0.425326,0.659031,0.185229,2.00627,4.76285,2.81877,4.00099,4.37579
0.015,1.99806,0.454683,0.704037,0.198312,2.13822,5.05936,2.99531,4.25161,4.64868
0.0155,1.99772,0.484958,0.750383,0.211843,2.27342,5.36091,3.17505,4.50672,4.92629
0.016,1.99737,0.516156,0.798081,0.225831,2.41182,5.66725,3.3578,4.76613,5.20841
0.0165,1.99701,0.548278,0.847111,0.240278,2.55333,5.97796,3.54336,5.02951,5.49465
0.017,1.99664,0.581306,0.897452,0.255182,2.6978,6.29255,3.73145,5.29648,5.78457
0.0175,1.99624,0.615208,0.949039,0.270531,2.84499,6.6103,3.92164,5.56649,6.07753
0.018,1.99585,0.650022,1.00192,0.286347,2.995,6.93121,4.114,5.83944,6.37351
0.0185,1.99544,0.685719,1.05606,0.302621,3.14762,7.25469,4.3081,6.11501,6.672
0.019,1.99503,0.722302,1.11145,0.319359,3.30274,7.58034,4.50384,6.39283,6.97267
0.0195,1.99461,0.75971,1.16799,0.336537,3.46004,7.90718,4.70054,6.67205,7.27457
0.02,1.99417,0.798012,1.22576,0.354192,3.61971,8.23559,4.89849,6.95302,7.5781
