radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0005,2.00341,0.000668993,0.00105519,0.000275468,0.00328822,0.00822293,0.00522368,0.00703467,0.00766263
0.001,2.0034,0.00203359,0.00320764,0.000837345,0.00999893,0.024973,0.0158989,0.0213832,0.0233021
0.0015,2.00337,0.00455808,0.00718927,0.00187706,0.0224081,0.0559423,0.0356394,0.0479253,0.0522329
0.002,2.00333,0.00810195,0.0127778,0.00333712,0.0398166,0.0993628,0.0633177,0.0851455,0.0928017
0.0025,2.00328,0.0126575,0.0199604,0.00521487,0.0621763,0.155083,0.0988405,0.132915,0.144866
0.003,2.00322,0.0182232,0.0287335,0.00751034,0.0894664,0.223013,0.142151,0.191155,0.208341
0.0035,2.00315,0.0247992,0.0390961,0.0102244,0.121671,0.303068,0.193193,0.259793,0.283144
0.004,2.00305,0.0323816,0.0510405,0.0133564,0.158751,0.395098,0.251874,0.338703,0.369134
0.0045,2.00295,0.0409734,0.0645699,0.0169087,0.200698,0.499021,0.31814,0.427815,0.466231
0.005,2.00285,0.0505688,0.0796729,0.02088,0.247458,0.614634,0.391864,0.526954,0.574244
0.0055,2.00273,0.0611669,0.0963463,0.0252715,0.298999,0.74178,0.472946,0.635987,0.693025
0.006,2.00259,0.0727666,0.114586,0.0300842,0.355282,0.880282,0.561275,0.754767,0.822407
0.0065,2.00244,0.0853634,0.134381,0.0353179,0.416254,1.02991,0.656707,0.883097,0.962173
0.007,2.00229,0.0989639,0.155741,0.0409771,0.481906,1.19056,0.759176,1.02089,1.11222
0.0075,2.00212,0.113552,0.178635,0.0470569,0.552121,1.36182,0.868421,1.1678,1.27217
0.008,2.00194,0.129129,0.203065,0.0535603,0.626867,1.54351,0.984332,1.32367,1.44185
0.0085,2.00175,0.145699,0.229031,0.0604912,0.706114,1.73543,1.10679,1.48834,1.62107
0.009,2.00154,0.163252,0.256516,0.0678475,0.789766,1.93724,1.23557,1.66151,1.80951
0.0095,2.00133,0.181793,0.285521,0.0756337,0.877794,2.14873,1.37055,1.84302,2.00698
0.01,2.00111,0.201296,0.316004,0.083842,0.970031,2.36934,1.51137,2.03239,2.21295
0.0105,2.00087,0.221784,0.347997,0.0924849,1.06652,2.59908,1.65804,2.22962,2.42742
0.011,2.00062,0.24324,0.381465,0.101557,1.16713,2.83742,1.81024,2.43429,2.64992
0.0115,2.00036,0.265662,0.416407,0.111062,1.27178,3.0841,1.96781,2.64618,2.88018
0.012,2.00009,0.289044,0.452799,0.120999,1.38038,3.3387,2.13048,2.86492,3.11783
0.0125,1.99982,0.313383,0.490642,0.131371,1.49288,3.60091,2.29804,3.09026,3.36257
0.013,1.99952,0.338657,0.529888,0.142172,1.60907,3.87014,2.47015,3.3217,3.61384
0.0135,1.99921,0.364899,0.570586,0.153418,1.72906,4.14645,2.64685,3.55931,3.8717
0.014,1.9989,0.392085,0.612693,0.165104,1.85265,4.42921,2.82775,3.80257,4.13559
0.0145,1.99857,0.42019,0.656169,0.177224,1.97966,4.71785,3.01247,4.05098,4.40495
0.015,1.99824,0.449224,0.701016,0.189783,2.11008,5.01209,3.20087,4.30431,4.67954
0.0155,1.99788,0.479188,0.74723,0.202788,2.2438,5.31162,3.39274,4.56234,4.95906
0.016,1.99752,0.510045,0.794754,0.216226,2.38061,5.61567,3.58762,4.82438,5.2428
0.0165,1.99715,0.541843,0.84365,0.230121,2.52062,5.92441,3.78562,5.09065,5.53093
0.017,1.99677,0.574528,0.893833,0.244456,2.66352,6.23691,3.98616,5.36032,5.82257
0.0175,1.99637,0.608107,0.945304,0.259237,2.80926,6.55289,4.18905,5.63317,6.11748
0.018,1.99598,0.642585,0.998062,0.27447,2.95778,6.87201,4.39414,5.90894,6.41536
0.0185,1.99555,0.67793,1.05205,0.290147,3.10884,7.1936,4.60095,6.18705,6.71558
0.019,1.99513,0.714163,1.1073,0.306281,3.26244,7.5175,4.80945,6.46743,7.01797
0.0195,1.9947,0.75126,1.16377,0.322865,3.41843,7.84312,5.01924,6.74952,7.32203
0.02,1.99425,0.789208,1.22142,0.3399,3.57664,8.16999,5.23003,7.03301,7.62729
0.0205,1.99379,0.828018,1.28026,0.357395,3.737,8.4978,5.44171,7.31765,7.93354
0.021,1.99332,0.867658,1.34025,0.37534,3.89934,8.82592,5.65378,7.60286,8.24012
0.0215,1.99284,0.908104,1.40133,0.39373,4.06343,9.15375,5.86594,7.88815,8.54649
0.022,1.99235,0.949408,1.46358,0.412594,4.2294,9.48148,6.07835,8.17376,8.85289
0.0225,1.99185,0.991485,1.52687,0.431896,4.39682,9.80791,6.29022,8.45867,9.15819
0.023,1.99134,1.03443,1.59131,0.451685,4.56595,10.1336,6.50194,8.74334,9.46293
0.0235,1.99082,1.07812,1.65674,0.471916,4.73629,10.4572,6.71263,9.02669,9.76583
0.024,1.9903,1.12258,1.72315,0.492597,4.90775,10.7784,6.92212,9.3084,10.0666
0.0245,1.98975,1.16782,1.79059,0.513744,5.0803,11.0971,7.13043,9.58852,10.3653
0.025,1.9892,1.21383,1.85901,0.535356,5.2539,11.413,7.3373,9.86675,10.6615
0.0255,1.98863,1.26061,1.9284,0.557435,5.42833,11.7256,7.54246,10.1426,10.9548
0.026,1.98805,1.30805,1.99861,0.579944,5.60313,12.0338,7.74524,10.4152,11.2441
0.0265,1.98748,1.35632,2.06985,0.602954,5.77888,12.3387,7.94635,10.6857,11.5306
0.027,1.98689,1.40522,2.14186,0.626394,5.95471,12.6384,8.14457,10.9523,11.8126
0.0275,1.98628,1.4549,2.21482,0.650326,6.13112,12.9338,8.34056,11.2158,12.0907
0.028,1.98567,1.50516,2.28844,0.674671,6.30717,13.2231,8.53302,11.4746,12.3633
0.0285,1.98505,1.55619,2.36297,0.699514,6.48364,13.5075,8.72293,11.73,12.6318
0.029,1.98442,1.60783,2.43819,0.724793,6.65969,13.7856,8.90926,11.9806,12.8945
0.0295,1.98377,1.66014,2.51418,0.750541,6.83562,14.0576,9.0923,12.2267,13.152
0.03,1.98313,1.7132,2.59104,0.776794,7.01156,14.324,9.27222,12.4687,13.4044
0.0305,1.98246,1.76674,2.66836,0.80344,7.18639,14.5824,9.44753,12.7045,13.6497
0.031,1.98179,1.82092,2.74638,0.830556,7.36067,14.8339,9.6191,12.9352,13.8889
0.0315,1.98112,1.87574,2.82509,0.858148,7.53438,15.0784,9.78669,13.1605,14.122
0.032,1.98042,1.93113,2.90436,0.886184,7.70705,15.3151,9.94993,13.3801,14.3482
0.0325,1.97973,1.9871,2.98423,0.91468,7.87878,15.5441,10.1089,13.5937,14.5675
0.033,1.97901,2.04354,3.06449,0.943586,8.04901,15.7643,10.2626,13.8005,14.779
0.0335,1.9783,2.10062,3.14544,0.972991,8.21835,15.977,10.4123,14.0018,14.9839
0.034,1.97757,2.15813,3.2267,1.0028,8.3859,16.1805,10.5566,14.1958,15.1806
0.0345,1.97684,2.21625,3.30856,1.03309,8.55237,16.3761,10.6966,14.3841,15.3704
0.035,1.9761,2.2748,3.39074,1.0638,8.71686,16.5623,10.831,14.5649,15.5518
0.0355,1.97533,2.33386,3.47337,1.09497,8.87979,16.7399,10.9606,14.7391,15.7254
0.036,1.97458,2.39337,3.55633,1.12657,9.04079,16.9081,11.0848,14.9062,15.891
0.0365,1.97381,2.45327,3.63953,1.15857,9.1996,17.0667,11.2034,15.0657,16.0479
0.037,1.97302,2.51374,3.72323,1.19107,9.35687,17.2169,11.3174,15.219,16.1975
0.0375,1.97224,2.57449,3.80699,1.22394,9.51146,17.3568,11.4252,15.364,16.3377
0.038,1.97144,2.6356,3.89094,1.25722,9.6636,17.4868,11.5274,15.5014,16.4693
0.0385,1.97062,2.69712,3.97514,1.29094,9.81351,17.6074,11.6241,15.6315,16.5927
0.039,1.96981,2.75912,4.0597,1.32512,9.96136,17.7192,11.7157,15.7547,16.7081
0.0395,1.96899,2.82147,4.14439,1.35973,10.1066,17.8213,11.8018,15.8704,16.815
0.04,1.96816,2.884,4.22897,1.39466,10.2487,17.9128,11.8816,15.9777,16.9125
0.0405,1.96732,2.94694,4.31377,1.43006,10.3885,17.9951,11.9561,16.078,17.0019
0.041,1.96646,3.01008,4.39851,1.46581,10.525,18.0672,12.0246,16.1701,17.0823
0.0415,1.9656,3.07359,4.48338,1.50199,10.6589,18.1301,12.0876,16.2547,17.1542
0.042,1.96474,3.13734,4.56822,1.53857,10.7897,18.1832,12.1449,16.3318,17.2175
0.0425,1.96387,3.20125,4.65288,1.5755,10.9173,18.2262,12.1962,16.4008,17.2719
0.043,1.96299,3.26553,4.73768,1.61287,11.0422,18.2606,12.2424,16.4629,17.3186
0.0435,1.9621,3.32987,4.82222,1.65056,11.1634,18.2847,12.2825,16.517,17.3562
0.044,1.9612,3.39447,4.90668,1.68864,11.2816,18.2997,12.3171,16.5635,17.3856
0.0445,1.9603,3.45924,4.99098,1.7271,11.3964,18.3055,12.3462,16.6026,17.4067
0.045,1.95938,3.52411,5.07499,1.76589,11.5077,18.3017,12.3695,16.6341,17.4193
0.0455,1.95845,3.58904,5.15866,1.805,11.6154,18.2885,12.3873,16.6579,17.4236
0.046,1.95752,3.65408,5.24205,1.84445,11.7195,18.2664,12.3996,16.6745,17.4198
0.0465,1.95658,3.7193,5.32529,1.88428,11.8204,18.2359,12.4067,16.6841,17.4084
0.047,1.95562,3.78452,5.4081,1.92441,11.9174,18.1963,12.4082,16.6862,17.3888
0.0475,1.95466,3.84972,5.49047,1.96483,12.0106,18.1479,12.4044,16.681,17.3613
0.048,1.9537,3.91508,5.57263,2.00563,12.1005,18.0916,12.3957,16.6694,17.3268
0.0485,1.95273,3.98044,5.65437,2.04674,12.1867,18.0271,12.3818,16.6507,17.2847
0.049,1.95175,4.04577,5.73561,2.08813,12.269,17.9545,12.3628,16.6252,17.2351
0.0495,1.95077,4.1111,5.81642,2.12982,12.3477,17.874,12.339,16.5932,17.1786
0.05,1.94977,4.17631,5.89665,2.17176,12.4224,17.7857,12.3103,16.5547,17.1151
0.0505,1.94877,4.24146,5.97633,2.21399,12.4932,17.69,12.2768,16.5097,17.0448
0.051,1.94776,4.30664,6.05561,2.25654,12.5605,17.5874,12.2389,16.4586,16.968
0.0515,1.94675,4.37172,6.13431,2.29935,12.6239,17.4777,12.1963,16.4014,16.8846
0.052,1.94572,4.43661,6.21232,2.34239,12.6834,17.361,12.1492,16.3381,16.7948
0.0525,1.94469,4.5014,6.28977,2.38568,12.7391,17.2379,12.098,16.2693,16.6993
0.053,1.94366,4.56601,6.3665,2.42919,12.7909,17.1083,12.0424,16.1946,16.5977
0.0535,1.94261,4.63038,6.44245,2.4729,12.8386,16.9723,11.9824,16.1139,16.4899
0.054,1.94157,4.6946,6.51775,2.51686,12.8825,16.8306,11.9185,16.0281,16.3766
0.0545,1.94051,4.75876,6.59254,2.5611,12.9231,16.6837,11.8513,15.9376,16.2587
0.055,1.93945,4.82271,6.6666,2.60555,12.96,16.5314,11.7803,15.8422,16.1358
0.0555,1.93837,4.88622,6.7396,2.6501,12.9924,16.3732,11.705,15.7411,16.007
0.056,1.9373,4.94945,6.81178,2.69482,13.021,16.21,11.6262,15.6352,15.8735
0.0565,1.93623,5.01255,6.88335,2.73979,13.0462,16.0426,11.5445,15.5253,15.7361
0.057,1.93514,5.07549,6.95425,2.785,13.0679,15.8711,11.4597,15.4113,15.5945
0.0575,1.93404,5.13801,7.02414,2.83031,13.0857,15.6949,11.3715,15.2928,15.4484
0.058,1.93293,5.19992,7.09279,2.87561,13.0992,15.514,11.2798,15.1694,15.2977
0.0585,1.93182,5.26172,7.16084,2.92119,13.1094,15.3301,11.1856,15.0428,15.1438
0.059,1.93071,5.32331,7.22816,2.96697,13.1164,15.143,11.089,14.9129,14.9868
0.0595,1.92959,5.38434,7.29429,3.01277,13.1194,14.9521,10.9893,14.779,14.826
0.06,1.92846,5.44487,7.35931,3.05863,13.1185,14.7578,10.8868,14.6412,14.6615
0.0605,1.92733,5.50513,7.42354,3.10466,13.1145,14.5611,10.7822,14.5005,14.4943
0.061,1.9262,5.56512,7.487,3.15087,13.1075,14.3622,10.6757,14.3573,14.3251
