radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0005,2.00328,0.000659398,0.00103931,0.000272043,0.00324722,0.00810592,0.00513012,0.00692381,0.0075461
0.001,2.00327,0.00203071,0.00320187,0.000837769,0.00998702,0.0249396,0.0158192,0.0213246,0.0232487
0.0015,2.00324,0.00455898,0.0071882,0.00188104,0.022413,0.0559577,0.0355181,0.047872,0.0521974
0.002,2.0032,0.00810387,0.0127765,0.00334434,0.0398268,0.0993941,0.063105,0.0850541,0.0927423
0.0025,2.00315,0.0126605,0.0199583,0.00522615,0.0621924,0.155132,0.0985089,0.132772,0.144774
0.003,2.00309,0.0182276,0.0287306,0.00752658,0.0894897,0.223084,0.141674,0.190951,0.208209
0.0035,2.00302,0.0248046,0.0390912,0.0102463,0.1217,0.303157,0.192542,0.259511,0.282959
0.004,2.00292,0.0323897,0.051036,0.0133853,0.158793,0.395227,0.251032,0.338347,0.368904
0.0045,2.00283,0.0409822,0.0645619,0.0169447,0.200745,0.499165,0.317068,0.42735,0.465924
0.005,2.00272,0.0505788,0.0796617,0.020924,0.24751,0.6148,0.390537,0.526374,0.573857
0.0055,2.00259,0.0611798,0.096334,0.025325,0.299066,0.741989,0.471353,0.635298,0.692568
0.006,2.00246,0.0727841,0.114574,0.0301488,0.355373,0.880557,0.559404,0.753972,0.82189
0.0065,2.00231,0.0853828,0.134366,0.035393,0.416354,1.03022,0.65451,0.882161,0.961556
0.007,2.00217,0.0989818,0.155716,0.0410623,0.481999,1.19085,0.7566,1.01976,1.11146
0.0075,2.002,0.113573,0.178609,0.047155,0.552232,1.36217,0.865487,1.16652,1.27131
0.008,2.00181,0.129156,0.20304,0.053673,0.627007,1.54394,0.981033,1.32226,1.44091
0.0085,2.00163,0.145726,0.228997,0.0606164,0.706251,1.73586,1.10305,1.48671,1.61998
0.009,2.00141,0.163282,0.256478,0.0679876,0.789919,1.93771,1.23141,1.65971,1.80829
0.0095,2.0012,0.181822,0.285473,0.0757879,0.877945,2.1492,1.3659,1.84099,2.00559
0.01,2.00098,0.201336,0.315963,0.0840154,0.970228,2.36994,1.50631,2.03023,2.2115
0.0105,2.00074,0.221827,0.347949,0.0926748,1.06673,2.59971,1.65249,2.22725,2.42582
