radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0005,0.00103558709,0.00162075742,0.000439954931,0.00508077997,0.0126006727,0.0074355493,0.0105621869,0.0115572221
0.001,0.00254306117,0.00397991971,0.00108045499,0.0124748898,0.0309346098,0.0182504347,0.0259246815,0.0283651927
0.0015,0.00632242299,0.00989421506,0.00268645699,0.0310084023,0.0768746731,0.0453648509,0.0644406679,0.0705093208
0.002,0.0104215815,0.0163078818,0.00442903133,0.0510956031,0.126621969,0.0747525065,0.106185768,0.116191863
0.0025,0.0155435644,0.024320335,0.00660739262,0.0761739315,0.188672199,0.111414086,0.158263461,0.17317846
0.003,0.0216879297,0.0339298079,0.00922197738,0.106225972,0.262942675,0.155301934,0.220606053,0.241392148
0.0035,0.0288531898,0.0451326698,0.0122729942,0.141227023,0.349324528,0.206353441,0.293124619,0.320732317
0.004,0.0370374804,0.057924472,0.015760578,0.181146869,0.447687343,0.264493467,0.375712399,0.411078464
0.0045,0.0462397401,0.0723018244,0.0196853807,0.225956661,0.557896311,0.329644747,0.468259649,0.51230651
0.005,0.0564584349,0.0882603353,0.0240479152,0.275621399,0.679793625,0.401717084,0.570638264,0.624271936
0.0055,0.0676873823,0.105788177,0.028847014,0.330082264,0.813155471,0.480581767,0.682665394,0.746769883
0.006,0.0799298369,0.12488802,0.0340854299,0.38932095,0.957850724,0.566165982,0.804237628,0.879682102
0.0065,0.0931771616,0.145543754,0.0397611336,0.453260061,1.11359557,0.658306279,0.935122731,1.022749
0.007,0.10743968,0.16776868,0.0458804021,0.521912575,1.28032174,0.756967336,1.07527055,1.17590946
0.0075,0.122695316,0.19152527,0.0524355835,0.595128466,1.45755415,0.861874303,1.22429075,1.33872984
0.008,0.138954106,0.216825965,0.0594328542,0.672911085,1.64518822,0.972972085,1.38210496,1.51111739
0.0085,0.156205208,0.243650324,0.0668698843,0.755162978,1.8428662,1.09005599,1.54842248,1.69274647
0.009,0.174476669,0.272038564,0.0747612279,0.841973141,2.05067979,1.21318656,1.72332939,1.88370302
0.0095,0.193672251,0.301836611,0.0830675642,0.932819729,2.26722736,1.34154208,1.90565816,2.08270221
0.01,0.213894256,0.333200088,0.0918355699,1.02814568,2.49345253,1.47569127,2.09621691,2.29061807
0.0105,0.235117055,0.366084608,0.101056731,1.12776758,2.72876669,1.61529128,2.29451863,2.50690877
0.011,0.257293688,0.400412733,0.110713928,1.23140363,2.97234194,1.75986328,2.49988302,2.73082127
0.0115,0.280471366,0.436253226,0.120829701,1.33921124,3.2244101,1.90955637,2.71252191,2.962576
0.012,0.304474173,0.473327775,0.13133216,1.45029792,3.48267108,2.06301376,2.93050812,3.20005732
0.0125,0.329597063,0.512090082,0.142350558,1.56599408,3.75016893,2.22205445,3.15642533,3.44607628
0.013,0.355768497,0.552423468,0.153858296,1.68589481,4.02575983,2.38600753,3.38932081,3.69957983
0.0135,0.382580325,0.593688948,0.16568183,1.80799357,4.30449283,2.55195182,3.62504459,3.95602606
0.014,0.410437438,0.636509891,0.177999218,1.93413682,4.59062201,2.72242225,3.86719804,4.21933376
0.0145,0.439312753,0.680838472,0.190802723,2.06412248,4.88349103,2.89704097,4.11524398,4.4889047
0.015,0.469304956,0.726821382,0.204139458,2.19833755,5.18383457,3.07626066,4.369826,4.76542623
0.0155,0.499743089,0.773413622,0.217720398,2.33355228,5.48387005,3.25547564,4.62440087,5.04175013
0.016,0.531410098,0.821821823,0.231891649,2.47337667,5.7919436,3.43964703,4.88601702,5.32554865
0.0165,0.564284964,0.872005946,0.246645994,2.61758775,6.10732417,3.62836886,5.15409639,5.6161764
0.017,0.597388419,0.922446484,0.261561423,2.76158153,6.41910119,3.81516825,5.41944552,5.90360041
0.0175,0.63158544,0.974474203,0.277019605,2.90929778,6.73632186,4.00543146,5.68971532,6.19614663
0.018,0.667092194,1.02841504,0.293118424,3.06161483,7.06081605,4.20026843,5.9664816,6.49551335
0.0185,0.703633902,1.08383705,0.309744487,3.21718947,7.38927328,4.39772955,6.24697618,6.79866908
0.019,0.739584954,1.13823107,0.326185489,3.36852091,7.70435153,4.58750075,6.51654692,7.08965728
0.0195,0.777489241,1.19550832,0.343563844,3.52713444,8.03235163,4.78525781,6.79746165,7.39269767
0.02,0.816893979,1.25496138,0.361686924,3.6908321,8.36796939,4.98787534,7.0852817,7.70293673
0.0205,0.855958565,1.31375473,0.379747275,3.85122933,8.69202855,5.18393245,7.36378165,8.00272033
0.021,0.896768397,1.37508483,0.398671517,4.0176437,9.02548989,5.38593703,7.65073075,8.31134917
0.0215,0.937704495,1.43645955,0.417744588,4.18269188,9.35155884,5.58388988,7.93192486,8.61337608
0.022,0.979712934,1.4993233,0.437392883,4.35054974,9.67949253,5.78334203,8.21524808,8.91735327
0.0225,1.02207721,1.5625719,0.45730068,4.51793736,10.0018517,5.97986699,8.49441392,9.21644329
0.023,1.06563412,1.62747803,0.47784634,4.68847791,10.3265536,6.17820192,8.77615107,9.51793527
0.0235,1.11056154,1.69430384,0.499116329,4.86283665,10.6548649,6.37912878,9.0615702,9.82301272
0.024,1.15542823,1.76085698,0.52047416,5.03465869,10.9727211,6.57424331,9.33873304,10.1187203
0.0245,1.20190451,1.8296775,0.542674042,5.21114303,11.2957445,6.77293627,9.62098004,10.4195072
0.025,1.24846181,1.89842834,0.565030843,5.38553233,11.6091267,6.96634124,9.89571539,10.7117151
0.0255,1.29471052,1.9665143,0.587375308,5.55616566,11.9093131,7.15233201,10.1599182,10.9920728
0.026,1.34452868,2.03981751,0.611467101,5.73954526,12.231546,7.35208921,10.4436775,11.2931212
0.0265,1.39196326,2.10929191,0.634610467,5.91011155,12.5211227,7.53275938,10.7003239,11.5643654
0.027,1.44036315,2.18001755,0.658329655,6.08216797,12.8085913,7.7126853,10.9559128,11.8339861
0.0275,1.49360015,2.25783885,0.684401249,6.27184418,13.1275992,7.91222197,11.2393605,12.1331951
0.028,1.54211061,2.32828169,0.708457175,6.43882835,13.3935476,8.08036986,11.478219,12.3837534
0.0285,1.59328937,2.4025243,0.733886768,6.61417107,13.6714506,8.25632117,11.7281634,12.6457633
0.029,1.64790099,2.48169748,0.761050325,6.80073252,13.9667977,8.44344837,11.9939839,12.9243482
0.0295,1.7032149,2.56166868,0.788710065,6.98709919,14.2558155,8.62741644,12.2553164,13.1975388
0.03,1.74915811,2.62729884,0.812187772,7.13205288,14.4549292,8.75759997,12.4402486,13.3879272
0.0305,1.8104486,2.71572719,0.842952227,7.33650134,14.7688703,8.95801792,12.7249509,13.6851341
0.031,1.86021376,2.78658929,0.868530693,7.49096781,14.9763602,9.0945776,12.9189415,13.8842115
0.0315,1.91735554,2.8682384,0.897724922,7.67203412,15.231397,9.26066765,13.15488,14.1278157
0.032,1.97078937,2.94406146,0.925362769,7.83497325,15.4447239,9.40213232,13.3558402,14.3332925
0.0325,2.02876831,3.02639196,0.955314714,8.01266159,15.6813706,9.55850301,13.5779737,14.5609187
0.033,2.08815167,3.11051671,0.98612377,8.19239787,15.9160516,9.71444457,13.7994997,14.7872907
0.0335,2.14393445,3.18897669,1.01542774,8.35453369,16.1107812,9.8467399,13.9874349,14.9770801
0.034,2.20578283,3.27615266,1.0478068,8.5368079,16.3384799,9.99994862,14.2050796,15.1980874
0.0345,2.25835751,3.34924678,1.07597505,8.67963878,16.4851693,10.1042977,14.3533185,15.3442537
0.035,2.32106157,3.43705793,1.10917064,8.85794546,16.6935959,10.2472237,14.5563568,15.5484184
0.0355,2.37907857,3.51760005,1.14034213,9.01468188,16.8556961,10.3624874,14.7201019,15.7100168
0.036,2.43841615,3.59977444,1.17235462,9.17282579,17.0149444,10.4767549,14.8824333,15.8695269
0.0365,2.48958039,3.6695741,1.20064164,9.29682621,17.1058766,10.5496579,14.9860076,15.965852
0.037,2.56322719,3.77216078,1.23999345,9.50101498,17.3384493,10.7107266,15.2148246,16.1949855
0.0375,2.62426161,3.85575812,1.2734902,9.65427331,17.4723043,10.811741,15.3583276,16.3327117
0.038,2.67883463,3.92958701,1.30407321,9.78022017,17.5518529,10.8798288,15.4550617,16.4201639
0.0385,2.74495453,4.02001373,1.34049914,9.94461467,17.6951351,10.9881844,15.6089981,16.5678203
0.039,2.7954643,4.08723202,1.3695292,10.0488414,17.7267635,11.0279022,15.6654347,16.6114851
