radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0005,0.00101568845,0.0016022303,0.000418691483,0.00496634633,0.012353955,0.00781963066,0.0105943608,0.0115143919
0.001,0.00253261435,0.00399502207,0.00104407934,0.0123817876,0.030796222,0.019488799,0.0264042052,0.0286954687
0.0015,0.00625352578,0.00986403919,0.00257835228,0.0305672878,0.076009297,0.0481124599,0.0651847334,0.0708440445
0.002,0.0103081735,0.0162583598,0.00425092746,0.0503693623,0.125198357,0.079278587,0.107409887,0.116742345
0.0025,0.0153746364,0.0242467548,0.00634191099,0.0750924131,0.186554257,0.118157786,0.160085022,0.173997759
0.003,0.021452566,0.0338275662,0.00885185597,0.104720333,0.259998007,0.164699912,0.223142195,0.242534413
0.0035,0.0285406312,0.0449973591,0.0117810311,0.139228928,0.34542256,0.21883708,0.296489447,0.32225004
0.004,0.036636493,0.0577508816,0.0151294925,0.178586771,0.442695098,0.280485133,0.380012774,0.413018214
0.0045,0.0457399069,0.072085955,0.0188982843,0.222769496,0.551692638,0.349566387,0.473606879,0.514721757
0.005,0.0558502406,0.0879995651,0.0230883668,0.27174706,0.672270382,0.425989775,0.577148477,0.627223743
0.0055,0.0669598521,0.105477412,0.027698061,0.32545386,0.80418852,0.509604093,0.690432587,0.750298344
0.006,0.0790710069,0.124520624,0.0327297644,0.383867725,0.947307319,0.600322328,0.813341427,0.883814028
0.0065,0.0921902081,0.145136736,0.03818802,0.446987034,1.10153073,0.698084775,0.945794017,1.02767894
0.007,0.106285033,0.167271787,0.0440611759,0.514616177,1.26627789,0.80252572,1.08729483,1.18135067
0.0075,0.121405524,0.19100145,0.0503720896,0.586958864,1.44194497,0.913897725,1.23818624,1.34519633
0.008,0.137468657,0.216191708,0.0570882717,0.663568306,1.62732196,1.03143841,1.39743518,1.51808853
0.0085,0.154565564,0.242982437,0.0642498087,0.744839552,1.82326146,1.15568937,1.56577565,1.70081921
0.009,0.172631044,0.271267254,0.0718319688,0.830408632,2.0287466,1.28601025,1.74233972,1.89243974
0.0095,0.191673671,0.30105578,0.0798408698,0.920266827,2.24362845,1.42230957,1.92700377,2.09280965
0.01,0.211659599,0.332290657,0.0882652695,1.01420149,2.46725484,1.5641799,2.11921544,2.30132207
0.0105,0.232719683,0.365173002,0.0971624614,1.11278302,2.70087415,1.71241413,2.32004953,2.51913708
0.011,0.254585668,0.399277218,0.10642274,1.21466222,2.94106595,1.86485179,2.52657831,2.74306796
0.0115,0.277551905,0.435060454,0.116173211,1.32119959,3.19098409,2.0234962,2.74151628,2.97605477
0.012,0.301445005,0.472245736,0.12634377,1.43149426,3.44829252,2.18687157,2.96286453,3.21591768
0.0125,0.326306611,0.510893248,0.136955266,1.54568175,3.7131653,2.35509965,3.19078698,3.46282679
0.013,0.352076136,0.550902853,0.147985721,1.66340969,3.9845972,2.52754327,3.42442104,3.71583682
0.0135,0.378838665,0.592402302,0.159474495,1.78501333,4.26323342,2.70462104,3.66433342,3.97555285
0.014,0.406337222,0.634984209,0.171316115,1.90920281,4.54583293,2.88428869,3.90775466,4.23896008
0.0145,0.434972512,0.67926929,0.183684337,2.03780757,4.83659733,3.06921842,4.15830552,4.50997717
0.015,0.464689188,0.725164524,0.196558521,2.17046766,5.13448352,3.25875988,4.41510432,4.78763458
0.0155,0.494831061,0.771639821,0.209666676,2.30406377,5.43195043,3.44813449,4.67167762,5.06490282
0.016,0.526681391,0.820690612,0.223555589,2.44449272,5.74274604,3.64607718,4.93985869,5.35460107
0.0165,0.55842199,0.869476232,0.237457494,2.58321333,6.04660417,3.83974147,5.20224385,5.63784886
0.017,0.592033497,0.921076011,0.25221814,2.72933748,6.36474236,4.04260024,5.47708603,5.93441991
0.0175,0.625496828,0.972340238,0.266983604,2.87346405,6.67502066,4.24061694,5.74536791,6.2236927
0.018,0.660811834,1.02637306,0.282608657,3.02470367,6.99849878,4.44717483,6.02522189,6.52530161
0.0185,0.696574846,1.08098494,0.298501444,3.1765409,7.31985955,4.65255455,6.30347945,6.82496696
0.019,0.733089454,1.13664147,0.314793551,3.33027434,7.64198032,4.8586062,6.58264778,7.12539298
0.0195,0.771114704,1.19451187,0.331816568,3.4892675,7.9724043,5.0701364,6.86923865,7.43361353
0.02,0.809157575,1.25227535,0.348934288,3.64667542,8.29530491,5.27709357,7.14963404,7.73487728
0.0205,0.848654779,1.31215,0.366768605,3.80890071,8.62515164,5.48869953,7.43632795,8.04269101
0.021,0.888550734,1.37249479,0.384870139,3.97110996,8.95080469,5.69787654,7.71973152,8.34666728
0.0215,0.928711274,1.43309738,0.403182461,4.13263049,9.27067484,5.90363674,7.99850558,8.64534881
0.022,0.971818673,1.4980885,0.422877516,4.30531576,9.61116726,6.1228039,8.29544439,8.96335902
0.0225,1.01421599,1.56181711,0.44236905,4.47276798,9.93538379,6.33191505,8.57875873,9.26632663
0.023,1.05603064,1.62448005,0.461717393,4.63561017,10.2448087,6.5319116,8.84972474,9.55562731
0.0235,1.10156838,1.69269396,0.482807319,4.81264301,10.5808679,6.7492067,9.14412756,9.86989322
0.024,1.14512539,1.75767889,0.503146942,4.97875155,10.8880415,6.94845439,9.41407909,10.1574056
0.0245,1.19249312,1.8283229,0.525286127,5.15914375,11.2214865,7.1648157,9.70721717,10.4695619
0.025,1.23764103,1.89536447,0.546577326,5.32753815,11.523752,7.3616742,9.97393223,10.7528323
0.0255,1.28400513,1.9640697,0.56853156,5.49874656,11.8270756,7.55961062,10.2421079,11.0372876
0.026,1.33399225,2.03810524,0.592230118,5.68295826,12.1530728,7.77246474,10.5304951,11.3431088
0.0265,1.38172842,2.10848119,0.615070181,5.85492609,12.4475031,7.96559834,10.7921649,11.619719
0.027,1.43093315,2.18087768,0.638708899,6.03050737,12.7442876,8.16068119,11.0564753,11.898739
0.0275,1.47979916,2.2525307,0.662344175,6.20197009,13.0269832,8.34723453,11.3092302,12.1648781
0.028,1.53146264,2.32820683,0.687384128,6.38237726,13.3229576,8.54277092,11.5741566,12.4436415
0.0285,1.58470184,2.40602992,0.713295945,6.56645108,13.6208607,8.74009203,11.8415002,12.724528
0.029,1.63325785,2.4764949,0.737258811,6.72820313,13.8669312,8.90468863,12.0645083,12.9572901
0.0295,1.69125163,2.56101411,0.765650923,6.92585844,14.181226,9.11366767,12.3476486,13.2541427
0.03,1.73728666,2.62716155,0.78879995,7.07149781,14.38344,9.25117997,12.5339616,13.4465548
0.0305,1.79398473,2.70918158,0.816956543,7.25762189,14.6624884,9.43868611,12.7880099,13.7111521
0.031,1.849054,2.78845767,0.844559305,7.43391872,14.9157572,9.61026301,13.020477,13.9520807
0.0315,1.90450907,2.86803251,0.872522242,7.60851504,15.1598016,9.77651868,13.2457355,14.1847537
0.032,1.95968025,2.94689275,0.900547308,7.77874617,15.3893831,9.93408286,13.4592176,14.4042801
0.0325,2.01521753,3.02601289,0.928926987,7.94710992,15.6095568,10.0862232,13.6653527,14.615406
0.033,2.07374098,3.1093161,0.958885943,8.1238997,15.8404425,10.2459594,13.8817802,14.8369861
0.0335,2.13093824,3.19031973,0.988437361,8.29202876,16.048611,10.3916732,14.0792086,15.0376961
0.034,2.18693356,3.26921741,1.01763043,8.45205074,16.2354671,10.5243357,14.2589556,15.2189844
0.0345,2.25020052,3.35866263,1.05042647,8.63664706,16.4636136,10.6844552,14.4759029,15.4393992
0.035,2.30662712,3.43756428,1.08024538,8.79130459,16.6289591,10.8045598,14.6386379,15.6014227
0.0355,2.35995936,3.51154678,1.1088231,8.93084776,16.7605114,10.903358,14.7725055,15.7321495
0.036,2.422338,3.59866861,1.14186678,9.10114545,16.9442584,11.036837,14.9533622,15.9123712
0.0365,2.48975342,3.69290771,1.17752753,9.28642063,17.149851,11.1853795,15.1546279,16.1137021
0.037,2.54084145,3.76258191,1.20569524,9.40709372,17.230956,11.2533837,15.2467764,16.1984458
0.0375,2.61090954,3.86002218,1.24309478,9.59437043,17.4284624,11.3982284,15.4430339,16.393248
0.038,2.66136922,3.92811349,1.27140602,9.705896,17.4833724,11.4505237,15.5138996,16.4544034
0.0385,2.73493162,4.02995059,1.31098945,9.89792451,17.6777042,11.5949405,15.7095807,16.6473778
0.039,2.78315321,4.09407624,1.3386751,9.99444169,17.6967443,11.625102,15.7504603,16.6757861
0.0395,2.85508958,4.19273971,1.37800056,10.1724862,17.8548949,11.7474273,15.9162109,16.8358701
0.04,2.9189403,4.27911894,1.41370502,10.3175784,17.9499473,11.829014,16.0267679,16.9369869
0.0405,2.97598183,4.3551478,1.44635739,10.4348629,17.9920745,11.8764619,16.0910714,16.9887313
0.041,3.04301452,4.44542539,1.48411896,10.5834168,18.0832858,11.9571109,16.2003578,17.0874609
0.0415,3.11988521,4.54963942,1.52697329,10.7618145,18.2200683,12.0687371,16.3516177,17.2298685
0.042,3.15326995,4.59008096,1.54879064,10.7867961,18.0940555,12.0068207,16.2677502,17.1241471
0.0425,3.2382389,4.70526123,1.59618157,10.9846588,18.2528986,12.1346367,16.4409461,17.288454
0.043,3.29715306,4.78212842,1.63104292,11.0898147,18.2534837,12.1580889,16.4727428,17.3036392
0.0435,3.36586852,4.87281382,1.67103233,11.2241347,18.2977704,12.2113569,16.5449384,17.3607816
0.044,3.43568549,4.96465456,1.71185952,11.3579179,18.3368947,12.2619446,16.6135049,17.4136421
0.0445,3.47598791,5.0134636,1.73823254,11.3908083,18.2105145,12.2023403,16.5327741,17.3097019
0.045,3.56331851,5.12969225,1.78839114,11.5739613,18.3195245,12.3012027,16.6667478,17.4300105
0.0455,3.61568136,5.19512343,1.82131954,11.6394435,18.2393535,12.2736917,16.6295032,17.3709495
0.046,3.71019714,5.32066319,1.87579513,11.8362782,18.3601275,12.3822476,16.7766131,17.5039344
0.0465,3.73913539,5.35173519,1.89741927,11.8203556,18.1495612,12.267599,16.6213068,17.3212048
0.047,3.8174866,5.45319108,1.9443519,11.9574184,18.1699842,12.3097266,16.6784172,17.3594011
0.0475,3.89846426,5.5578819,1.99298474,12.0981394,18.1923429,12.3538965,16.7382968,17.4000863
0.048,3.92562338,5.58547026,2.01436663,12.0687749,17.9582093,12.2240947,16.5624627,17.1956548
0.0485,4.03380647,5.72791407,2.07761613,12.284444,18.0835567,12.339823,16.7192993,17.3360232
0.049,4.05995858,5.75341116,2.09895065,12.2467131,17.8358792,12.2011952,16.5315088,17.1190856
0.0495,4.15063397,5.86996703,2.15390529,12.4001334,17.862524,12.2509265,16.5989289,17.1659673
0.05,4.20457137,5.93407748,2.19014986,12.439926,17.7243295,12.1879422,16.5136296,17.0548191
0.0505,4.27983163,6.0278524,2.23780211,12.5391629,17.6682281,12.1819431,16.5055435,17.0231427
0.051,4.3249582,6.07877138,2.26999495,12.5468907,17.4825424,12.0867873,16.3766581,16.8668389
0.0515,4.40494232,6.17826332,2.32077943,12.6521876,17.4300572,12.0842133,16.3732143,16.8394215
0.052,4.49170312,6.28670572,2.37553336,12.7725389,17.3962597,12.0950573,16.3879529,16.8305206
0.0525,4.51728808,6.30912689,2.39822648,12.7161685,17.122824,11.9390897,16.1766754,16.5896688
0.053,4.62356232,6.44380418,2.4640671,12.8831006,17.146049,11.9906799,16.2466265,16.6367523
0.0535,4.63211172,6.4418723,2.47814104,12.7752127,16.8062245,11.7879142,15.9719414,16.3313356
0.054,4.73670908,6.57312986,2.54386884,12.928772,16.8060645,11.8241747,16.0211243,16.3565589
0.0545,4.80061241,6.64734728,2.58816799,12.9673477,16.6571706,11.7557713,15.9284958,16.237204
0.055,4.84248814,6.69068894,2.62086927,12.9438551,16.4290146,11.6313122,15.7599146,16.0405353
0.0555,4.90777894,6.7660026,2.66651973,12.9800797,16.2754925,11.5598872,15.6631927,15.9168964
0.056,4.98568466,6.85821908,2.71937448,13.0461167,16.1586907,11.5147477,15.60209,15.8294647
0.0565,5.05461053,6.93758044,2.76770936,13.0852652,16.0089662,11.4460484,15.5090657,15.7097862
0.057,5.08517208,6.96392795,2.79532297,13.0229984,15.7368463,11.2894401,15.2969273,15.4697419
0.0575,5.17936377,7.07697458,2.85823982,13.1203138,15.6552801,11.2699436,15.2705734,15.417325
0.058,5.23403261,7.13551083,2.89971902,13.1144119,15.4527236,11.1629163,15.1256178,15.2455833
0.0585,5.29306616,7.1995942,2.94392662,13.1168539,15.2603961,11.0631423,14.9904925,15.0838808
0.059,5.35159484,7.26257508,2.98817592,13.1154533,15.0643429,10.960441,14.8514021,14.9183707
0.0595,5.42069689,7.33945583,3.03867644,13.1371223,14.8952742,10.877185,14.7386606,14.7794771
0.06,5.4552889,7.36924186,3.07012511,13.0732211,14.6315409,10.7242425,14.5314936,14.5463211
0.0605,5.54001231,7.46631657,3.1301105,13.1264754,14.4979189,10.6668401,14.4537859,14.4426883
0.061,5.59524301,7.52316802,3.17380833,13.107335,14.2870799,10.5519719,14.2982142,14.2617666
0.0615,5.67004865,7.60587995,3.22896891,13.1312879,14.1238908,10.4720127,14.1899447,14.1282043
0.062,5.68535997,7.6084641,3.25051396,13.0162051,13.8149805,10.2830424,13.9339618,13.8482148
0.0625,5.78665406,7.72567773,3.32154287,13.0947918,13.7094684,10.2458958,13.8837082,13.7724352
0.063,5.82686681,7.76087488,3.35790335,13.0332819,13.4620678,10.1014926,13.6881162,13.5533282
0.0635,5.8713462,7.80143342,3.39698946,12.9796588,13.2240849,9.96377132,13.5015792,13.3434483
0.064,5.9431419,7.87786619,3.45222082,12.9840555,13.0460042,9.87089457,13.3758106,13.1938313
0.0645,5.99954568,7.93345721,3.49885891,12.9527804,12.8350786,9.75233639,13.2152422,13.0104529
0.065,6.05314899,7.98495416,3.54418863,12.9136472,12.6186399,9.62892402,13.0480968,12.8210364
0.0655,6.12782958,8.06380325,3.60222028,12.9171558,12.4454767,9.5379912,12.9249662,12.6752119
0.066,6.14058759,8.06086585,3.62413075,12.7894948,12.1507016,9.35249586,12.6736917,12.4045387
0.0665,6.21602699,8.13984932,3.68332148,12.790121,11.9770576,9.26033542,12.548897,12.2575993
0.067,6.28912836,8.21527901,3.74155496,12.7839485,11.8004207,9.16487975,12.4196392,12.1069557
0.0675,6.29926717,8.20818079,3.76258256,12.6493476,11.5102612,8.97977763,12.1688966,11.8387589
0.068,6.38706224,8.301872,3.83030451,12.6681826,11.3587243,8.90299235,12.0649403,11.7132714
0.0685,6.42368702,8.32866053,3.86770473,12.5847034,11.1209305,8.7569742,11.8671637,11.4976913
0.069,6.46922022,8.36668112,3.9107488,12.5174318,10.899465,8.62312873,11.6858816,11.2984756
0.0695,6.52571015,8.41850438,3.96073161,12.4699451,10.697606,8.50403655,11.5245938,11.1190632
0.07,6.59488045,8.48625688,4.01878767,12.4451102,10.5180972,8.4017612,11.3860957,10.9622096
0.0705,6.60858281,8.48236411,4.04331569,12.3155133,10.2551784,8.2312488,11.1551211,10.7172403
0.071,6.67297096,8.54319101,4.09913594,12.2786667,10.0698267,8.12279079,11.0082441,10.5531799
0.0715,6.71782378,8.57865177,4.14328643,12.2051338,9.85863658,7.99210916,10.8312491,10.3610361
0.072,6.75738567,8.60705095,4.18446417,12.1212716,9.64223845,7.8561607,10.6471156,10.1626566
0.0725,6.81377995,8.65653888,4.23639036,12.0664952,9.45145834,7.74022116,10.490099,9.99064999
0.073,6.87456883,8.71122259,4.29140704,12.0185176,9.26960463,7.63036575,10.3413283,9.82719254
0.0735,6.8852023,8.7021228,4.31535958,11.883127,9.02534206,7.46745096,10.1206441,9.59631018
0.074,6.93956231,8.74798996,4.3669814,11.8219311,8.83813076,7.35143208,9.96351862,9.4258616
0.0745,6.99591424,8.79600484,4.42021672,11.7634576,8.65675784,7.23892984,9.81115927,9.26065297
0.075,7.02662613,8.81150673,4.45754683,11.6618656,8.44809365,7.10206893,9.62578447,9.06511362
0.0755,7.06920149,8.84160295,4.50267695,11.5793567,8.25575798,6.97801826,9.45777118,8.88641331
0.076,7.1079996,8.86669213,4.54568781,11.4903643,8.06228935,6.85174649,9.28674581,8.70555177
0.0765,7.14739616,8.89225219,4.58936158,11.4020391,7.87249933,6.72744804,9.11839385,8.52781758
0.077,7.18075017,8.91003943,4.62942476,11.3039667,7.67941746,6.59908869,8.94453649,8.34559622
0.0775,7.23245051,8.95028203,4.68162613,11.2342272,7.50835027,6.48859369,8.79489221,8.18651389
0.078,7.26970978,8.97238365,4.72479105,11.1422449,7.32669675,6.3673611,8.6306926,8.01470636
0.0785,7.2822765,8.963835,4.75211919,11.012866,7.12417234,6.22661973,8.4400474,7.81905038
0.079,7.34354559,9.01491407,4.81152978,10.9561352,6.96998058,6.12755336,8.30589135,7.67601704
0.0795,7.38212646,9.03787442,4.85639679,10.8660947,6.79963013,6.01237109,8.1498885,7.51377259
0.08,7.3836145,9.01529454,4.87705407,10.7223291,6.59969214,5.86949154,7.95633851,7.31768591
0.0805,7.45683038,9.07994083,4.94541559,10.6813885,6.46361319,5.78308934,7.83934606,7.19216352
0.081,7.44749379,9.04397335,4.95923985,10.52417,6.26372561,5.63709336,7.64156631,6.99378745
0.0815,7.49709041,9.07930323,5.01255427,10.4491806,6.11304159,5.53520705,7.50358157,6.85022216
0.082,7.52769789,9.09142453,5.053453,10.3484996,5.95182379,5.42199944,7.35024743,6.69354338
0.0825,7.56835998,9.11545049,5.10140052,10.2618559,5.80178624,5.31768968,7.20897331,6.54847953
0.083,7.5873954,9.11326796,5.13498932,10.1467532,5.63971549,5.20069537,7.05050037,6.38860264
0.0835,7.62222113,9.12984006,5.17952569,10.0528904,5.4919069,5.09581095,6.90844386,6.24410765
0.084,7.63116159,9.11528789,5.20667523,9.9259352,5.32983585,4.97612176,6.74631313,6.08223217
0.0845,7.67309491,9.13990922,5.25659425,9.84167553,5.19250464,4.87873006,6.61441015,5.94799322
0.085,7.69791599,9.14398879,5.29505706,9.73655951,5.04827274,4.77312859,6.47137439,5.80457
0.0855,7.70105921,9.12222823,5.31877386,9.60503426,4.89361419,4.656291,6.31310193,5.64813256
0.086,7.74538071,9.14900592,5.37118868,9.52456545,4.76647639,4.56494488,6.18939033,5.52293792
0.0865,7.7781373,9.16195795,5.41587919,9.43109021,4.63702457,4.46957204,6.06021648,5.39371327
0.087,7.76662634,9.12274667,5.4298716,9.28556767,4.48588216,4.35162849,5.90043439,5.23801529
0.0875,7.81678042,9.15570441,5.48724432,9.21306048,4.37063241,4.26817595,5.78741936,5.12397818
0.088,7.81372493,9.1263194,5.50744545,9.07999719,4.23153703,4.15931472,5.63994813,4.98040356
0.0885,7.86086137,9.15531583,5.56330043,9.00494905,4.12070013,4.07763208,5.5293286,4.86963215
0.089,7.84820745,9.11470158,5.57698518,8.86373467,3.98431632,3.96858477,5.3815972,4.72711965
0.0895,7.87264258,9.11698921,5.61721992,8.76422081,3.86757773,3.87866651,5.25980518,4.60758574
0.09,7.89520377,9.11699488,5.65631767,8.66370093,3.75351683,3.79000216,5.13971049,4.49017951
0.0905,7.91538017,9.11414979,5.69397941,8.56179477,3.64185556,3.7023617,5.02100163,4.37460346
