# SnoBackgroundTables.dat
#
# Backgrounds from neutrons (Nbg) and Low Energy
# events (LE) and their uncertainties 
# in each spectral bin for the Day and
# Night spectra for the SNO Pure D2O data.  
#
#
# bin  Tmin  Tmax      day      day      day      day    night    night    night    night
#     (MeV) (MeV)      NBg   NBgErr     LEBg  LEBgErr      NBg   NBgErr     LEBg  LEBgErr
    1   5.0   5.5  10.3928   1.6092  16.7125   5.5747  15.9916   2.4809  26.2490   8.5824
    2   5.5   6.0   8.7606   1.3565   0.9377   0.3584  13.4801   2.0913   1.4727   0.5413
    3   6.0   6.5   6.0286   0.9335   0.0479   0.0207   9.2763   1.4391   0.0752   0.0300
    4   6.5   7.0   3.3867   0.5244   0.0019   0.0009   5.2112   0.8084   0.0030   0.0013
    5   7.0   7.5   1.5532   0.2405   0.0001   0.0000   2.3899   0.3708   0.0001   0.0001
    6   7.5   8.0   0.5815   0.0900   0.0000   0.0000   0.8947   0.1388   0.0000   0.0000
    7   8.0   8.5   0.1777   0.0275   0.0000   0.0000   0.2735   0.0424   0.0000   0.0000
    8   8.5   9.0   0.0443   0.0069   0.0000   0.0000   0.0682   0.0106   0.0000   0.0000
    9   9.0   9.5   0.0090   0.0014   0.0000   0.0000   0.0139   0.0022   0.0000   0.0000
   10   9.5  10.0   0.0015   0.0002   0.0000   0.0000   0.0023   0.0004   0.0000   0.0000
   11  10.0  10.5   0.0002   0.0000   0.0000   0.0000   0.0003   0.0000   0.0000   0.0000
   12  10.5  11.0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   13  11.0  11.5   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   14  11.5  12.0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   15  12.0  12.5   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   16  12.5  13.0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   17  13.0  20.0   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
