radius,electron_density_mol_cm3,neutron_density_mol_cm3,mass_density_g_cm3
0.0,100.81612482708735,47.553642604137075,148.4875357837962
0.0005,100.80916093642952,47.54819096951457,148.477278982466
0.001,100.80683974644131,47.54479958247487,148.47044150852116
0.0015,100.80219752680371,47.53997063791281,148.4601858879807
0.002,100.79291372885027,47.53124669872326,148.44309476129754
0.0025,100.78131018378528,47.518986360724774,148.41917048941696
0.003,100.76738769299014,47.503429327964824,148.38841637690186
0.0035,100.75114721791961,47.48565769710592,148.35425261474896
0.004,100.73027045309628,47.464514874085054,148.3132664825868
0.0045,100.7070791212837,47.44009468384585,148.2654636395993
0.005,100.68389312885775,47.41356957012612,148.21426340511812
0.0055,100.65607698420638,47.38375900291809,148.15625784659872
0.006,100.62826852437806,47.352866358700545,148.09827498930062
0.0065,100.59351875314067,47.31661823698572,148.02668043535303
0.007,100.55878098197661,47.279297593429455,147.95512049207295
0.0075,100.52174058148016,47.23761493119334,147.87338005869913
0.008,100.47777282627054,47.19385729242869,147.7882817941549
0.0085,100.43613690324995,47.14803251469115,147.69983154855453
0.009,100.38758346518777,47.09888972217785,147.60463663856405
0.0095,100.34367438969485,47.04775898118809,147.50610659049474
0.01,100.28823774509846,46.99238751440453,147.39746010636262
0.0105,100.23744772623039,46.93604338439907,147.2888936464329
0.011,100.17976301759346,46.876490575797476,147.17362939959813
0.0115,100.12211150538856,46.81381940009157,147.05168321919362
0.012,100.05988513641013,46.74807859373748,146.9230718685305
0.0125,99.99539493585037,46.68138936631658,146.7945730013097
0.013,99.92864533167717,46.610416233744814,146.6560555278274
0.0135,99.86194028465248,46.53760403082002,146.51429510626951
0.014,99.79068412838163,46.46270118312313,146.36930139640722
0.0145,99.71947881670474,46.38482087755493,146.21771744567184
0.015,99.64144108869954,46.30284121455085,146.05620092591042
0.0155,99.56346443087908,46.22100567567901,145.8982222142283
0.016,99.48096742210986,46.13516980001091,145.7303473335381
0.0165,99.40082753158984,46.04844716782542,145.56266561473268
0.017,99.31389160262927,45.95768236345827,145.3851336394344
0.0175,99.22474694726584,45.86408199778384,145.2011312735269
0.018,99.13339965143695,45.76962051933593,145.01736178473558
0.0185,99.04213645084344,45.67116595862097,144.82382045768705
0.019,98.94640051300763,45.57198391000774,144.63053743243654
0.0195,98.84848101868461,45.46986587950951,144.43086092415174
0.02,98.75065842760743,45.36603110675743,144.22813907482117
0.0205,98.64611817608201,45.258314230593044,144.0157531646434
0.021,98.54395762619079,45.1499074110656,143.80368000740796
0.0215,98.43736956371107,45.038667502087115,143.58530664257395
0.022,98.32863266353134,44.925796228695795,143.36396377378446
0.0225,98.21775430401877,44.81009243073639,143.13637028922815
0.023,98.10474200314762,44.69279415912081,142.90584754776964
0.0235,97.98960341764968,44.572845475969736,142.6691257584606
0.024,97.87234634214991,44.45116796884692,142.42951649732905
