radius,electron_density_mol_cm3,neutron_density_mol_cm3,mass_density_g_cm3
0.0,100.71867411968981,47.15255269731706,147.98578480222545
0.0005,100.71403596013589,47.14706358631847,147.97556265942794
0.001,100.71171696045597,47.14485356422856,147.97215543540827
0.0015,100.7070791212837,47.140063726184344,147.96193423406154
0.002,100.69548545772427,47.13029644204537,147.94149394941303
0.0025,100.68389312885775,47.118219568352245,147.91765051951586
0.003,100.6723021345307,47.10379184888604,147.89040559077736
0.0035,100.65607698420638,47.08619239162425,147.85635648664484
0.004,100.63521991899904,47.065253228515914,147.8155079092621
0.0045,100.61205047086119,47.04102895663332,147.7678654988204
0.005,100.58888635707167,47.014709195555874,147.7168370989721
0.0055,100.55878098197661,46.98515800323522,147.65902621463601
0.006,100.53099940231341,46.95350618337336,147.5978393503591
0.0065,100.49859725991725,46.91853783311099,147.52988368200172
0.007,100.46389226781442,46.88154404597717,147.45856390317974
0.0075,100.42457443127057,46.84131923019593,147.38049132346376
0.008,100.38296055257099,46.79793580156393,147.29567670683497
0.0085,100.34136391780697,46.75247840451319,147.20752128190932
0.009,100.29747505853527,46.70382311473767,147.11264367378055
0.0095,100.24668036151816,46.652066800148035,147.01105695053693
0.01,100.19821851167063,46.59919769208748,146.90954037668433
0.0105,100.14286222675673,46.54222098006538,146.79795311017975
0.011,100.08753652440522,46.4843550672399,146.68645060139747
0.0115,100.02763483883416,46.42115633729358,146.56153334822056
0.012,99.97007087344801,46.35802530859195,146.44009434274824
0.0125,99.90563855962095,46.290805551913095,146.30864896757546
0.013,99.83894887023278,46.22157492521612,146.17395575997608
0.0135,99.77230369799828,46.14937167951214,146.03266134485807
0.014,99.70111150161652,46.07509109396801,145.88814427016516
0.0145,99.62767606576183,45.99785496530129,145.73705861857735
0.015,99.55429471920617,45.91856775440757,145.58277722939826
0.0155,99.47638625974334,45.83643407532825,145.42196208383268
0.016,99.39625005971675,45.75235017546848,145.2579798524502
0.0165,99.31389160262927,45.665273020189034,145.08750085224082
0.017,99.22931652094687,45.57634224795376,144.9138851272235
0.0175,99.13796501832269,45.483491378380286,144.73047918296518
0.018,99.04897827555807,45.38977292792625,144.54730536097992
0.0185,98.95551423297658,45.2941835026369,144.36103929344821
0.019,98.86213838441185,45.195852995678884,144.16837389962845
0.0195,98.7665764359942,45.09460275837641,143.96933545300146
0.02,98.66656299173303,44.99158213013297,143.76726139664552
0.0205,98.56438126864568,44.88576579764222,143.5588596875714
0.021,98.46230536767496,44.778230086971405,143.34745933758154
0.0215,98.35580562269574,44.667920419267446,143.12977876755494
0.022,98.24942107099423,44.5569299116333,142.9124287567916
0.0225,98.13863203288481,44.443252980084786,142.68883758820633
0.023,98.02571077247752,44.32681677252574,142.45903560321887
0.0235,97.91066494033608,44.20778752108998,142.2230539524333
0.024,97.79575412933744,44.08813606680213,141.98746320236734
0.0245,97.6742308511372,43.96584148618565,141.74573492286734
0.025,97.55510484402872,43.84097774475339,141.49790180737804
0.0255,97.43163713004515,43.71556063116124,141.2505020118272
0.026,97.30608509809228,43.587583569561616,140.9970414753536
0.0265,97.18069485458089,43.458076899470115,140.74079503573108
0.027,97.04876206849332,43.326068337863745,140.47854487048082
0.0275,96.91924001700939,43.1925909460064,140.21355479699463
0.028,96.78543359012492,43.057714647844726,139.94584217525997
0.0285,96.6495864314214,42.92029104045049,139.67220841172804
0.029,96.51392994656044,42.78155616040976,139.39589993354986
0.0295,96.37402557782639,42.641392690559414,139.1169347437597
0.03,96.23432401124127,42.4988425008506,138.83213422807356
0.0305,96.09261231318726,42.35592784152542,138.5479167566723
0.031,95.94669068527459,42.209883467188774,138.25473050763807
0.0315,95.8009906469408,42.06336146726522,137.962164680611
0.032,95.64890444123512,41.914626154111374,137.66387816084182
0.0325,95.50145757915266,41.76467461087298,137.3630736250936
0.033,95.34765140277722,41.613526274705684,137.0597704126623
0.0335,95.19409293298654,41.46008381830873,136.7508391520859
0.034,95.0385934011676,41.306523397960255,136.4426042192755
0.0345,94.88116313313179,41.150837203544555,136.1287949376866
0.035,94.7239936464103,40.99489192163745,135.8157073974172
0.0355,94.56272963411587,40.83696623210883,135.49709992277928
0.036,94.39956651232444,40.67597615345379,135.16990233476514
0.0365,94.2366849200999,40.51592516039258,134.84659978349157
0.037,94.06975219974383,40.35384980838666,134.5178755951193
0.0375,93.90311518729763,40.19070597385804,134.18686295646842
0.038,93.73461501481734,40.02751652646217,133.8566648516961
0.0385,93.56426277823412,39.86153845232236,133.51805585733774
0.039,93.39206968125998,39.69544316968759,133.18030342138223
0.0395,93.21804703416082,39.528512408191936,132.84034657981306
0.04,93.04220625251969,39.358815266276345,132.4921049676279
0.0405,92.86669716609715,39.190138554529454,132.14781905346734
0.041,92.68725064528569,39.019576280562674,131.7983581012622
0.0415,92.50815086937648,38.847402059072266,131.44376793949058
0.042,92.3272712298938,38.6760897450468,131.09315026329529
0.0425,92.14462352855095,38.50318084865703,130.73744701631327
0.043,91.96021966586174,38.32954777548728,130.37970678295125
0.0435,91.77618484027175,38.15505254858825,130.01995158888485
0.044,91.5883004190231,37.97902805048175,129.65521808216778
0.0445,91.40080063520308,37.80324197168354,129.2915077301996
0.045,91.21368470138108,37.62664925199791,128.92584900125658
0.0455,91.02275998221315,37.44950522035602,128.55826422088668
0.046,90.83014343336382,37.270877058136584,128.18582416243711
0.0465,90.63793448734813,37.09324607819603,127.8174061530982
0.047,90.44404970644044,36.914308721744746,127.44417785504174
0.0475,90.24850159451263,36.734716750166015,127.06911347976383
0.048,90.0533762750648,36.55453933317474,126.69223567752248
0.0485,89.85453478445393,36.37391754238457,126.31356715673748
0.049,89.65613234388226,36.19268187650001,125.93313068172951
0.0495,89.45816798390963,36.0119272889321,125.55384002117962
0.05,89.25858545869126,35.83067504650025,125.17280948044173
0.0505,89.05739755913471,35.64891577715727,124.79006185997765
0.051,88.85257122861918,35.46592433675487,124.4027554969408
0.0515,88.65025720969821,35.28342542847755,124.01665120253516
0.052,88.44636727600165,35.10049530957665,123.6288985525818
0.0525,88.24294627613986,34.918034462544476,123.24235825690577
0.053,88.03593883343382,34.734424344803564,122.85136888005495
0.0535,87.82739468175461,34.55134368313887,122.4616199265049
0.054,87.62136207359904,34.36785057672028,122.07029665616805
0.0545,87.41379999310388,34.184067743507484,121.67742209183992
0.055,87.20271367071625,33.99997981808112,121.28301928946928
0.0555,86.9921370783198,33.81574708844767,120.88711133593189
0.056,86.7820689850216,33.632020718075275,120.49249575711103
0.0565,86.57051478018317,33.448039303574106,120.09640298055803
0.057,86.35748781703806,33.26386061880136,119.69885607279352
0.0575,86.144985056471,33.08031595457252,119.30262513736416
0.058,85.93102655077143,32.89581249449105,118.90223004196503
0.0585,85.7156257563809,32.711941285443594,118.50317872447707
0.059,85.50076490087027,32.52868817243642,118.10546667500745
0.0595,85.284478860485,32.34527819337566,117.70637907805694
0.06,85.06678118805546,32.16100052048791,117.30323789114226
0.0605,84.84963921201076,31.977412170613416,116.90147745196495
0.061,84.63110278828462,31.79377187262324,116.49841052558338
0.0615,84.41312922102951,31.61153700243376,116.09940659851658
0.062,84.1957170605676,31.429281489467318,115.69910514816392
0.0625,83.97499758035586,31.246278576871415,115.2948742577005
0.063,83.7548567173309,31.063904068943526,114.89205567386303
0.0635,83.53529295464492,30.8815748602071,114.4880082481562
0.064,83.31246801014443,30.700044330054848,114.08538175900829
0.0645,83.09023743664737,30.519161976067092,113.68417120933061
0.065,82.86859964870779,30.337646586794907,113.27915480162395
0.0655,82.64565005678156,30.15614235756703,112.87298229743688
0.066,82.42330028819921,29.976193562103756,112.47085586830481
0.0665,82.1996559903804,29.79556131146558,112.0650011702536
0.067,81.97473096096168,29.61577946314207,111.66061101192388
0.0675,81.75042139967661,29.436717252307172,111.25768010847712
0.068,81.52672562240393,29.25781768010253,110.85365066512273
0.0685,81.29989786476291,29.079696458305225,110.45108844444398
0.069,81.07556801117143,28.901759841623207,110.0474541528113
0.0695,80.85185714831101,28.724615251892104,109.64529490903611
0.07,80.62505056192238,28.547621925346903,109.24208990164217
0.0705,80.39888021605366,28.370789874248814,108.8378615101988
0.071,80.17149828769381,28.19487128134347,108.43512888465125
0.0715,79.94475943472513,28.019138739988026,108.03139894669168
0.072,79.71682626952831,27.844254114395174,107.62917219192083
0.0725,79.48954297216726,27.669584215665875,107.22597402590887
0.073,79.26108261489749,27.495773549134068,106.82428631247926
0.0735,79.0350987034431,27.32287269379495,106.42410339320598
0.074,78.80612986227939,27.15018969346274,106.02297833345983
0.0745,78.57782435590092,26.97839112996796,105.62336516160774
0.075,78.35018026259188,26.806836524205295,105.22283530595068
0.0755,78.11959804292762,26.635621659501226,104.82141065250315
0.076,77.89148791692891,26.465861818422376,104.42392185431747
0.0765,77.66404387512533,26.296397560897347,104.02554505217068
0.077,77.43548093417472,26.12729643897507,103.62630194451832
0.0775,77.20581289706655,25.959026131971484,103.2285911052998
0.078,76.97682603874918,25.79171962738996,102.83240665377123
0.0785,76.7467511592987,25.624766530467475,102.43538404272005
0.079,76.51560209006901,25.458726933785535,102.03989428457793
0.0795,76.2886623470962,25.293581365223687,101.64593146119812
0.08,76.05714166830704,25.128251733514382,101.24882688912993
0.0805,75.82806959373268,24.964381794647913,100.85559596191051
0.081,75.59794672090345,24.800907208906125,100.46157902783946
0.0815,75.36852222450504,24.638386436018994,100.06910141682594
0.082,75.13806384732992,24.476772493263404,99.6781571151295
0.0825,74.91003500254969,24.316135954725368,99.28874013250427
0.083,74.67925899308831,24.155315289322438,98.89629005477268
0.0835,74.44919393732685,23.99601418667809,98.50765937733236
0.084,74.22154663961697,23.83761747576609,98.12055589371658
0.0845,73.99118793268553,23.679143585379126,97.73047284431286
0.085,73.75984577890296,23.522144033833825,97.34418199589125
0.0855,73.53092003609149,23.365607786094504,96.95718545873545
0.086,73.30101696403594,23.209985723532952,96.57172744516372
0.0865,73.07183271098219,23.055282690743333,96.18780183870057
0.087,72.84336502945804,22.901039497258864,95.8031965716669
0.0875,72.61393966201848,22.747780316597662,95.42012914216156
0.088,72.38357017363245,22.59543584619744,95.0385934011676
0.0885,72.1539315380472,22.443613938646966,94.65640365492177
0.089,71.9250214366145,22.293190890929893,94.27792165711921
0.0895,71.69683755804198,22.143236196833296,93.89879088860475
0.09,71.46773197408142,21.994260720930477,93.52118476273304
0.0905,71.23935849170846,21.845763094086045,93.14295242785177
0.091,71.01007968517554,21.6987280185484,92.76838584306738
0.0915,70.78153879616794,21.551627683642927,92.39107068243034
0.092,70.55373344975061,21.4059344114004,92.01740892359939
0.0925,70.3250419660562,21.260782046445417,91.64314819766474
0.093,70.09709175843828,21.116573990475583,91.27040969554204
0.0935,69.86827162921004,20.97333177820937,90.89918722591824
0.094,69.64180198797656,20.831011316888365,90.52947462266197
0.0945,69.41446807538729,20.689654697031443,90.16126574472136
0.095,69.18787625599977,20.548804780612212,89.7924869038002
0.0955,68.96043621637035,20.408873958716963,89.42521644713233
0.096,68.73216120150293,20.269414880575017,89.05739755913471
0.0965,68.50621922563361,20.131367577980416,88.69313377494709
0.097,68.27944777420058,19.99430885043119,88.33035990746613
0.0975,68.05342698879129,19.857236516369994,87.96501883051505
0.098,67.8265926015363,19.721584645068532,87.60320594714274
0.0985,67.60051429434253,19.586904601987804,87.24288125264727
0.099,67.37674093599014,19.45314913745312,86.88403862589189
0.0995,67.150615847932,19.319807768705036,86.52467964360432
0.1,66.92370867193952,19.18743668189643,86.16680699735952
0.1005,66.70063984027101,19.056033178427402,85.81041453955872
0.101,66.47678383524779,18.92550956092658,85.45549614803012
0.1015,66.25062809560889,18.795499819450868,85.10008620146488
0.102,66.02676204852831,18.66686865228284,84.7481057818895
0.1025,65.80365246230667,18.538696520627667,84.3956378763113
0.103,65.57978673302536,18.411488707590138,84.04463588697172
0.1035,65.35668260075077,18.28512875469428,83.69509371711598
0.104,65.13433747451013,18.159233951449117,83.34508618172089
0.1045,64.91125411807656,18.034679961485885,82.99845344349413
0.105,64.68893481614707,17.910666071210905,82.65135921322121
0.1055,64.46589255273382,17.787536637041004,82.3057165088466
0.106,64.2450986022038,17.665252159591645,81.96151926018166
0.1065,64.02358665048952,17.54388729002008,81.61876142242296
0.107,63.80136935650042,17.423025395499327,81.27556551544433
0.1075,63.57992334897517,17.303068424102424,80.93381270106491
0.108,63.35924595088167,17.18442685972475,80.59535266648544
0.1085,63.13933449447961,17.066187964200125,80.25646005558826
0.109,62.92018632128791,16.94883399881897,79.91899244250948
0.1095,62.698911323995944,16.831989287392254,79.58111139142059
0.11,62.47985313229143,16.716448202800063,79.2464835285816
0.1105,62.26156028866621,16.601691878498038,78.91326273086943
0.111,62.04260151899694,16.487425929262397,78.57963369800169
0.1115,61.824412774084436,16.374007432803214,78.24741518001721
0.112,61.60557280887137,16.261497470050493,77.91660121354943
0.1125,61.388920987676066,16.150204845145076,77.58897239198744
0.113,61.171622533382624,16.03894503371572,77.25916320765036
0.1135,60.953689724016904,15.928871509451278,76.93252736711935
0.114,60.7365333320067,15.819331947081714,76.60550854836566
0.1145,60.52015059125214,15.710611018134934,76.27987979583594
0.115,60.304538745508005,15.602776464687622,75.95563520074458
0.1155,60.08969504834859,15.495760035525219,75.63276887942249
0.116,59.874238091979464,15.389520459388107,75.31127497321043
0.1165,59.658179979553275,15.284101948515985,74.9911476483528
0.117,59.44290151976954,15.17911732882087,74.67066172057096
0.1175,59.22839989922668,15.075017564448478,74.35154543751553
0.118,59.01603119336733,14.972048019281297,74.03549765651049
0.1185,58.80171597298173,14.869459221873072,73.71909584243907
0.119,58.58817903288303,14.76776878297399,73.404046219021
0.1195,58.37541754676608,14.666791270055322,73.09034300746653
0.12,58.16476797644719,14.566563307079338,72.77798045368242
0.1205,57.95220968253807,14.466893791925642,72.46528423412371
0.121,57.74042816518771,14.368391257062134,72.15559296284661
0.1215,57.52942058573094,14.270542554580947,71.84722520371075
0.122,57.31918411587629,14.173058008711438,71.53852804604121
0.1225,57.108400953001556,14.076085193962719,71.22951709045019
0.123,56.897082796456644,13.980263330104824,70.92347396344488
0.1235,56.68785185126493,13.885182027704525,70.61874577439526
0.124,56.4793903231729,13.790799408390077,70.31532687356876
0.1245,56.26910403508793,13.696925570995164,70.01159954029302
0.125,56.06089152805391,13.603730767958435,69.70918415843786
0.1255,55.852163411147636,13.511598233298066,69.40967325941342
0.126,55.64421243897812,13.41986902432366,69.10985790051551
0.1265,55.43575924782498,13.328930748220143,68.81133759524936
0.127,55.22935864801868,13.238372669663294,68.51252917217955
0.1275,55.02245957350764,13.148824222375067,68.21658903072424
0.128,54.81759778730895,13.060022140772169,67.9219272038835
0.1285,54.61098376392053,12.97161367228411,67.62698098326166
0.129,54.40514849327549,12.884209698043021,67.33486597072014
0.1295,54.2013370577013,12.797198093603106,67.04246902246324
0.13,53.995802480433,12.710595414542865,66.74980479876331
0.1305,53.79104730206421,12.624990587404064,66.45994843774541
0.131,53.58830246912796,12.54009681998742,66.17135075771206
0.1315,53.38509255416235,12.455873859935394,65.88400629292909
0.132,53.18265322284353,12.372311880536754,65.59790960139682
0.1325,52.97854174488645,12.289126496387937,65.31155139338698
0.133,52.776428841368336,12.20659189176789,65.02644324081015
0.1335,52.57508699768734,12.125094915761348,64.7440704568815
0.134,52.37451327225358,12.043944352100434,64.46143956044051
0.1345,52.17350338155691,11.963437550392603,64.1800424483918
0.135,51.9720682385482,11.883259446216636,63.89840240280003
0.1355,51.77379502702575,11.804322824665489,63.620928057351826
0.136,51.57271558690109,11.725491187284923,63.341741562686074
0.1365,51.373600007799126,11.64756957336869,63.0652323306643
0.137,51.175253188173784,11.569974429597323,62.7884843848656
0.1375,50.97767215994418,11.492716531415233,62.51151148943686
0.138,50.779684707577026,11.416654129184318,62.238626506990364
0.1385,50.5824662003114,11.340969100100342,61.96550593962559
0.139,50.38601365171275,11.265872560937611,61.69358390199237
0.1395,50.1891684253298,11.19115133550427,61.421440837382406
0.14,49.993092222736216,11.117258579202726,61.15190631017072
0.1405,49.79663541644856,11.043728476093932,60.88215269662756
0.141,49.60209273959747,10.97104464473189,60.614984717189216
0.1415,49.4060348066906,10.898444543862638,60.34621003619147
0.142,49.21188494762175,10.826665335523836,60.08001051432652
0.1425,49.01962674080651,10.755774448768943,59.816362559995305
0.143,48.825871071239845,10.685154514801141,59.55250030412833
0.1435,48.63288124307152,10.615123358453953,59.28980199884434
0.144,48.43953885478403,10.545380494188311,59.02690334939305
0.1445,48.246965108578884,10.476255525559926,58.765170426551634
0.145,48.055156948682026,10.407709635199264,58.50459806133753
0.1455,47.86411133146781,10.33991155780655,58.246522267986315
0.146,47.67382522541065,10.272429504688667,57.98824965577914
0.1465,47.48320225731245,10.205256490868637,57.72979296482345
0.147,47.293341491865185,10.138910985002632,57.473811597170204
0.1475,47.10423988141467,10.072845436854408,57.21764778380812
0.148,46.913733883459706,10.007532618982324,56.963937334118384
0.1485,46.72615012748562,9.942486641714078,56.71004605727213
0.149,46.53717325654915,9.87803165908411,56.45728638725425
0.1495,46.348960674081816,9.814082798769688,56.20565328043336
0.15,46.16150928903409,9.75060957054302,55.955141715657824
0.1505,45.97481602285776,9.687692405433484,55.705746694155465
0.151,45.78782349371892,9.625041016336397,55.456186298853844
0.1515,45.6026415434143,9.5628990636679,55.207743928075736
0.152,45.416116995955754,9.501046630376777,54.95914907735494
0.1525,45.230355373749475,9.440150510698011,54.71419324763781
0.153,45.04639077580566,9.379501594122454,54.46907498774882
0.1535,44.862141412836216,9.31913983708019,54.22380628806926
0.154,44.67864566912836,9.259693931700623,53.982127919995946
0.1545,44.49487591804284,9.200297371751148,53.73905189339096
0.155,44.31186203860266,9.141412739498298,53.49707041338843
0.1555,44.129600921798115,9.082995444488708,53.2561785513565
0.156,43.947077540900764,9.025017279839497,53.01637140085633
0.1565,43.7653090905688,8.967317841356408,52.776428841368336
0.157,43.583288894485165,8.910290276404552,52.53878195497339
0.1575,43.403025101623214,8.853547632928015,52.301000879400675
0.158,43.22251164693076,8.797211913474005,52.06429595819996
0.1585,43.04274894883302,8.741368307914145,51.82866232089017
0.159,42.86373388492859,8.686161839253996,51.595283130653634
0.1595,42.68546334580212,8.631216496958578,51.36177216102743
0.16,42.50695546488192,8.576496341812962,51.12814073754105
0.1605,42.328219438024455,8.522241143358158,50.89557204300156
0.161,42.150234972104435,8.468624661825238,50.66522783988233
0.1615,41.97396538205209,8.415226341980299,50.43476481644181
0.162,41.796508095514604,8.362266379557608,50.20535010971547
0.1625,41.619801061860265,8.309539795040585,49.975828201962905
0.163,41.4447953998683,8.2574200035594,49.74850107925128
0.1635,41.269575335101514,8.20573813378307,49.522208008852154
0.164,41.09509606470472,8.154286949402863,49.295809196106646
0.1645,40.92135445675175,8.10344534571252,49.07157530405379
0.165,40.74834739255764,8.05280211219199,48.8472366318685
0.1655,40.574203212488314,8.002386092069498,48.62280396601386
0.166,40.39987301155307,7.9525623755230646,48.400516924848525
0.1665,40.22721808906689,7.902952764051515,48.17813674960849
0.167,40.05622335132147,7.853756689202584,47.95677831846298
0.1675,39.88503706724989,7.804936932265572,47.7364369369243
0.168,39.71458237346322,7.756538564613511,47.517107932073976
0.1685,39.54394559992101,7.708505913133999,47.298786652463654
0.169,39.37313537008504,7.660875789807855,47.08146846801641
0.1695,39.20306295571424,7.613438793084921,46.86406967242288
0.17,39.03462396489647,7.566364122075757,46.64767471629873
