radius,electron_density_mol_cm3,neutron_density_mol_cm3,mass_density_g_cm3
0.0,100.87417596048365,47.95707311865821,148.95668547621003
0.0005,100.8672080599342,47.95151645626346,148.94639626828635
0.001,100.86488553337686,47.948177463425736,148.9395371911897
0.0015,100.86024064069355,47.94333074074054,148.92924916778665
0.002,100.85095149701803,47.934472128553395,148.9121040413062
0.0025,100.83934127049257,47.92217721553941,148.88810418015322
0.003,100.8254107629603,47.90641553523983,148.8572528993312
0.0035,100.80916093642952,47.888492341804685,148.82298119600736
0.004,100.78827215051481,47.86716615811585,148.7818655672434
0.0045,100.76506746485522,47.84250693396857,148.7339116901036
0.005,100.73954848112511,47.81469608051619,148.67912618452544
0.0055,100.71171696045597,47.785714766942036,148.62436085895592
0.006,100.68157482323409,47.75240231195863,148.55935323494725
0.0065,100.64912414888013,47.7168642583028,148.49095487502373
0.007,100.61205047086119,47.67811646866806,148.415753051067
0.0075,100.57499044877432,47.63720309584179,148.33717368338253
0.008,100.53331424076997,47.59311465250446,148.2518085145953
0.0085,100.48934142329416,47.545696462478254,148.15966930978186
0.009,100.44307502543042,47.496292688528605,148.06417802698036
0.0095,100.39451823329973,47.44359281570916,147.96193423406154
0.01,100.34367438969485,47.38886687820587,147.85635648664484
0.0105,100.29054699369682,47.33086701136106,147.7440500522677
0.011,100.23283172746059,47.27086165209967,147.62842961251835
0.0115,100.1751496752416,47.20763511087333,147.50610659049474
0.012,100.11289034278809,47.14130875505603,147.37709780131004
0.0125,100.04836597952276,47.07298240820064,147.24481136705643
0.013,99.98158101575926,47.00147510721385,147.1058690421671
0.0135,99.9102394902416,46.926969503634965,146.96028989796503
0.014,99.84124777345343,46.85145595571495,146.81485482202746
0.0145,99.76770911940942,46.77176380043161,146.65943244717803
0.015,99.69192911276375,46.691267865379785,146.50417460686847
0.0155,99.61161927569788,46.60663194613393,146.33897203970042
0.016,99.52908236644222,46.52010667135382,146.17059001901055
0.0165,99.44661384621031,46.43155261825415,145.9990399529022
0.017,99.359637872555,46.3400648097784,145.82097576422407
0.0175,99.27273796805586,46.24564932080139,145.63642178770743
0.018,99.1790627826055,46.14931750539649,145.44875226659101
0.0185,99.08547599040939,46.05009708718362,145.25463520236656
0.019,98.9896981597831,45.95009044419881,145.06077720832357
0.0195,98.89173581717404,45.84613172866512,144.85717121419714
0.02,98.79159563347079,45.74036060592872,144.6505202599386
0.0205,98.68928442324628,45.63182548873826,144.43751236425217
0.021,98.5848091439849,45.52248951194173,144.22481813742476
0.0215,98.47817689529386,45.410374318964756,144.00580525244436
0.022,98.36712990515316,45.29442533092389,143.7771928302498
0.0225,98.256208134979,45.178909596181256,143.5522487099904
0.023,98.1431515879739,45.059659306075574,143.31775614035502
0.0235,98.02571077247752,44.93865681993186,143.0803520294985
0.024,97.91066494033608,44.81602911469442,142.8400521240356
0.0245,97.78899887128993,44.69080110375054,142.59358896765693
0.025,97.66523513629443,44.56286174782259,142.3409958747241
0.0255,97.53938208605618,44.43336236883594,142.0855785511554
0.026,97.41144820484799,44.30340280436899,141.83061954958143
0.0265,97.2859221886807,44.170791133145855,141.5695983765307
0.027,97.15608362140983,44.03569467903474,141.30255020692005
0.0275,97.01971622167669,43.89812562272387,141.0295109819859
0.028,96.88577107763003,43.760079251077336,140.7569993513398
0.0285,96.74978308613706,43.61955756895665,140.47854487048082
0.029,96.60953683012706,43.47757387292528,140.19741304415078
0.0295,96.46949387185784,43.33425687115884,139.91362216386622
0.03,96.32743586991874,43.189497993134886,139.62719066782168
0.0305,96.18337232872177,43.041468222134,139.331720528296
0.031,96.03510156161543,42.89304178633854,139.03687564380078
0.0315,95.88485150449891,42.74233382550535,138.7362655029596
0.032,95.73924537217633,42.59136589301292,138.4363053080869
0.0325,95.58505623587382,42.43816161037409,138.13063235676915
0.033,95.43111542291727,42.28268358778214,137.81928738479297
0.0335,95.27522871490831,42.126948037649065,137.50864418106255
0.034,95.11959664780579,41.96916722283124,137.1923830755989
0.0345,94.95984564245863,41.810162220862054,136.8736976808494
0.035,94.79818010107186,41.649992255417004,136.55260828700747
0.0355,94.6367897891476,41.48777811375715,136.22599854711927
0.036,94.4713235727136,41.325413254882584,135.90017000008817
0.0365,94.30614666310032,41.16100451775585,135.5688774561556
0.037,94.1390908968442,40.996549544796984,135.23839252526489
0.0375,93.97016728848874,40.829146812669904,134.8993943967504
0.038,93.79938696184887,40.66172018054769,134.56124602494322
0.0385,93.62676114879118,40.49324887350902,134.22085469480962
0.039,93.45230118800391,40.323860710978806,133.8782417358168
0.0395,93.28031414206238,40.15360041502886,133.5334285764987
0.04,93.10221212124596,39.981467852489516,133.18337004650132
0.0405,92.92231051437469,39.80846034919107,132.83117061068992
0.041,92.74489203724198,39.63454813727524,132.47685212837692
0.0415,92.56354950171509,39.45984485186552,132.1204365469999
0.042,92.38043437961296,39.283353015078184,131.7589120038726
0.0425,92.19555860190431,39.10714309839,131.39837670963595
0.043,92.0089341973176,38.93006829071599,131.0358107116015
0.0435,91.8226875622126,38.75132145939316,130.66822750485278
0.044,91.632597997649,38.571928716432566,130.29867517445246
0.0445,91.44290195285174,38.39275739067241,129.93016800191134
0.045,91.2535986131638,38.21287023155726,129.5597197742021
0.0455,91.06049357835292,38.03149691716663,129.18437844630034
0.046,90.86570489581459,37.85037914508375,128.8101245019827
0.0465,90.67133288827283,37.667808826047185,128.43104018688155
0.047,90.47529336980999,37.485483549880534,128.05307150549717
0.0475,90.2775989638236,37.302531375623204,127.67327535490128
0.048,90.08033653298426,37.11916862586657,127.29167461935602
