radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0,-1.82369e-12,-2.86235e-12,-7.67509e-13,-8.96118e-12,-2.23286e-11,-1.34569e-11,-1.88148e-11,-2.05655e-11
0.0005,0.000662932,0.00104077,0.00027909,0.00325862,0.00811795,0.00489339,0.00684148,0.00748155
0.001,0.00204968,0.00321925,0.000863348,0.0100806,0.0251054,0.0151376,0.021163,0.02316
0.0015,0.00460389,0.00723096,0.00193957,0.0226399,0.0563664,0.034002,0.0475361,0.0520304
0.002,0.00818371,0.0128525,0.00344835,0.04023,0.10012,0.0604123,0.0844594,0.0924466
0.0025,0.0127848,0.0200764,0.00538842,0.0628197,0.156259,0.0943041,0.131841,0.144309
0.003,0.0184062,0.0289001,0.00776002,0.0903903,0.2247,0.135627,0.189613,0.207539
0.0035,0.0250479,0.0393223,0.0105639,0.122925,0.305354,0.184329,0.2577,0.282054
0.004,0.0327071,0.0513372,0.0137998,0.160389,0.398084,0.240328,0.335991,0.367726
0.0045,0.041383,0.0649416,0.0174685,0.202757,0.502759,0.303549,0.424375,0.464436
0.005,0.051074,0.0801315,0.0215704,0.249994,0.619229,0.373904,0.522734,0.572041
0.0055,0.0617759,0.0968979,0.0261053,0.30205,0.747292,0.451272,0.630898,0.690357
0.006,0.0734908,0.115242,0.0310754,0.358904,0.886811,0.535574,0.748756,0.819256
0.0065,0.0862118,0.13515,0.0364793,0.420487,1.03752,0.626656,0.876093,0.958498
0.007,0.0999373,0.156616,0.0423182,0.486753,1.19922,0.724393,1.01273,1.10789
0.0075,0.114667,0.179638,0.0485937,0.557659,1.37168,0.828663,1.15851,1.26723
0.008,0.130399,0.204209,0.0553075,0.633155,1.55469,0.939333,1.31323,1.43632
0.0085,0.147128,0.230317,0.0624588,0.713171,1.74793,1.05623,1.47665,1.61487
0.009,0.164844,0.257943,0.0700462,0.797603,1.95105,1.17913,1.64847,1.80255
0.0095,0.183551,0.28709,0.0780734,0.886425,2.16383,1.30791,1.82853,1.99917
0.01,0.203243,0.317743,0.0865407,0.979555,2.38596,1.44241,2.01655,2.20443
0.0105,0.223924,0.349906,0.0954523,1.07695,2.61718,1.58247,2.21235,2.41811
0.011,0.245574,0.38354,0.104802,1.17846,2.85698,1.72777,2.4155,2.63973
0.0115,0.268193,0.418645,0.114593,1.28402,3.10507,1.87816,2.62576,2.86903
0.012,0.291786,0.455221,0.124831,1.3936,3.36121,2.03351,2.84293,3.10579
0.0125,0.316342,0.493246,0.135514,1.50706,3.62494,2.19354,3.06666,3.34958
0.013,0.341852,0.532702,0.146642,1.62431,3.89584,2.35801,3.2966,3.60005
0.0135,0.368311,0.573577,0.158214,1.74526,4.17353,2.52671,3.53245,3.85681
0.014,0.395709,0.615845,0.170231,1.86978,4.45757,2.69936,3.77382,4.11947
0.0145,0.424066,0.659535,0.182706,1.9979,4.74783,2.87592,4.02066,4.38793
0.015,0.453349,0.704592,0.195627,2.12938,5.04362,3.05596,4.27236,4.66156
0.0155,0.483554,0.750998,0.208995,2.26412,5.34451,3.23925,4.5286,4.93995
0.016,0.514666,0.798732,0.22281,2.40199,5.65002,3.42551,4.78901,5.22268
0.0165,0.546729,0.847849,0.237093,2.5431,5.96024,3.6148,5.05365,5.50983
0.017,0.579665,0.898221,0.251815,2.68702,6.27399,3.80642,5.32155,5.80031
0.0175,0.613496,0.94988,0.266989,2.83376,6.59112,4.00032,5.59263,6.09402
0.018,0.648251,1.00286,0.282633,2.98337,6.91163,4.19645,5.86685,6.39092
0.0185,0.683854,1.05704,0.298716,3.13541,7.23428,4.39416,6.14322,6.68994
0.019,0.720373,1.11253,0.315277,3.29014,7.55949,4.59368,6.42215,6.99142
0.0195,0.757703,1.16913,0.332267,3.44696,7.88577,4.79406,6.70233,7.29402
0.02,0.795931,1.227,0.349735,3.60619,8.21368,4.99577,6.9843,7.59827
0.0205,0.834969,1.28597,0.367643,3.76733,8.54195,5.19799,7.26702,7.90298
0.021,0.874898,1.34618,0.386033,3.93069,8.87105,5.401,7.55086,8.20863
0.0215,0.915657,1.40752,0.404884,4.09587,9.20006,5.60431,7.83506,8.51433
