radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0,-2.08128e-12,-3.27914e-12,-8.59661e-13,-1.02198e-11,-2.55371e-11,-1.60835e-11,-2.17914e-11,-2.36935e-11
0.0005,0.000724044,0.00114099,0.00029921,0.00355521,0.00888051,0.00559523,0.00757955,0.00824653
0.001,0.00207161,0.00326579,0.000856849,0.0101715,0.0253911,0.016009,0.0216795,0.0236149
0.0015,0.00456918,0.0072039,0.00189071,0.0224313,0.0559705,0.0353108,0.0478119,0.0521079
0.002,0.00812201,0.0128044,0.00336151,0.0398596,0.0994174,0.0627447,0.0849587,0.0925978
0.0025,0.0126882,0.0200008,0.00525269,0.0622407,0.15516,0.0979486,0.132626,0.144554
0.003,0.0182682,0.0287931,0.0075651,0.0895634,0.223135,0.140881,0.190758,0.207914
0.0035,0.0248592,0.0391753,0.0102984,0.121797,0.303219,0.191467,0.259252,0.282561
0.004,0.0324611,0.0511458,0.0134534,0.158921,0.395308,0.249638,0.338017,0.368397
0.0045,0.0410714,0.0646991,0.0170303,0.200901,0.499255,0.315303,0.426931,0.465282
0.005,0.0506905,0.0798337,0.0210304,0.247713,0.614932,0.388381,0.525882,0.573095
0.0055,0.0613156,0.096543,0.0254539,0.299314,0.742159,0.468761,0.634721,0.691667
0.006,0.0729394,0.114813,0.0302993,0.355638,0.880683,0.556288,0.75323,0.82076
0.0065,0.0855711,0.134656,0.035572,0.416696,1.03044,0.650917,0.881362,0.960315
0.007,0.0991957,0.156045,0.0412678,0.482376,1.19106,0.752422,1.0188,1.10999
0.0075,0.113819,0.178988,0.0473911,0.552669,1.36242,0.86072,1.16544,1.26965
0.008,0.129432,0.203464,0.0539397,0.627486,1.54418,0.97561,1.32101,1.439
0.0085,0.146044,0.229485,0.0609197,0.706823,1.73622,1.09701,1.48539,1.61792
0.009,0.163635,0.25702,0.0683259,0.790544,1.93808,1.22465,1.65821,1.80599
0.0095,0.182212,0.286071,0.0761631,0.878627,2.14958,1.3584,1.83931,2.00302
0.01,0.201767,0.316625,0.0844303,0.970983,2.37036,1.49804,2.0284,2.20869
0.0105,0.22229,0.34866,0.0931266,1.06751,2.60004,1.64334,2.22515,2.42265
0.011,0.243793,0.382191,0.10226,1.16821,2.83847,1.79422,2.42944,2.64474
0.0115,0.266265,0.417195,0.111827,1.27294,3.08521,1.9504,2.64091,2.87457
0.012,0.289695,0.453651,0.121829,1.38163,3.33986,2.11163,2.85923,3.11177
0.0125,0.314081,0.491552,0.132266,1.49419,3.60208,2.27771,3.08409,3.35601
0.013,0.339416,0.53088,0.14314,1.61051,3.87145,2.44837,3.31518,3.60691
0.0135,0.365716,0.571654,0.15446,1.73061,4.14785,2.62355,3.55237,3.86435
0.014,0.392935,0.613799,0.16621,1.85418,4.43042,2.80271,3.79499,4.12754
0.0145,0.421092,0.657337,0.178403,1.98127,4.71903,2.9858,4.04288,4.39637
0.015,0.450183,0.702256,0.19104,2.11176,5.01329,3.17256,4.29575,4.67047
0.0155,0.480215,0.748563,0.204128,2.24563,5.31297,3.36286,4.55341,4.94963
0.016,0.511149,0.796189,0.217654,2.38259,5.61722,3.55615,4.81515,5.23305
0.0165,0.542977,0.845116,0.231619,2.52255,5.92564,3.75224,5.08067,5.52039
0.017,0.57573,0.895385,0.246042,2.66557,6.23823,3.95111,5.34992,5.81164
0.0175,0.609367,0.94693,0.260907,2.81138,6.55415,4.15223,5.62226,6.10603
0.018,0.643916,0.999774,0.276231,2.96,6.87333,4.35561,5.89766,6.4035
0.0185,0.679336,1.05386,0.292002,3.1112,7.19503,4.56075,6.17542,6.70337
0.019,0.715637,1.1092,0.308228,3.26492,7.51896,4.76753,6.45536,7.00536
0.0195,0.752779,1.16572,0.324897,3.42088,7.84435,4.97542,6.73686,7.30877
0.02,0.790786,1.22344,0.342022,3.57913,8.17109,5.18439,7.01985,7.61353
0.0205,0.829625,1.28231,0.359595,3.73941,8.4985,5.39404,7.30371,7.91897
0.021,0.869294,1.34232,0.37762,3.90164,8.82619,5.60413,7.58818,8.22479
0.0215,0.90988,1.40361,0.396139,4.06612,9.15472,5.815,7.8737,8.53146
0.022,0.951197,1.46586,0.415076,4.23193,9.48186,6.0253,8.15848,8.83698
0.0225,0.993388,1.52929,0.434497,4.39961,9.80868,6.23573,8.44339,9.14233
0.023,1.03632,1.5937,0.454352,4.5685,10.1336,6.44526,8.7271,9.44602
0.0235,1.08007,1.6592,0.474676,4.73882,10.457,6.65413,9.00996,9.74844
0.024,1.12461,1.72571,0.495464,4.91041,10.7782,6.86207,9.29149,10.0491
0.0245,1.1699,1.79321,0.516706,5.08298,11.0967,7.06866,9.5712,10.3473
0.025,1.21597,1.8617,0.538414,5.25653,11.4124,7.27378,9.84898,10.6431
0.0255,1.26278,1.93112,0.560584,5.4309,11.7247,7.47719,10.1244,10.9359
0.026,1.3103,2.00143,0.5832,5.6058,12.0329,7.67847,10.3969,11.2252
0.0265,1.35864,2.07277,0.606315,5.78161,12.3378,7.87803,10.6671,11.5116
0.027,1.40757,2.14478,0.629836,5.9573,12.6369,8.07445,10.9331,11.7929
