 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   0.000e+00     6.05726e-19     3.66781e-18    -9.31715e-01     7.18953e+00     1.73598e+01     2.17306e+00     5.05946e+07    -1.41870e-16     -1.82369e-12     -2.86235e-12     -7.67509e-13     -8.96118e-12     -2.23286e-11     -1.34569e-11     -1.88148e-11     -2.05655e-11     2.00378e+00     3.56229e-01     6.25662e-01     8.92355e-06     9.56980e-06     2.75105e-06     4.61322e-03     9.81009e-08     7.36709e-03     4.66898e-04     1.88334e-05     1.92381e-03     3.24104e-05     7.16568e-04     6.31272e-05     7.90001e-04     7.76507e-06     4.02887e-04     5.48027e-06     1.07475e-04     4.47346e-06     7.27870e-05     5.64856e-08     3.54143e-06     3.43735e-07     1.88412e-05     1.58136e-05     1.37093e-03     4.36024e-06     8.08611e-05
   5.000e-04     1.30818e-08     1.11000e-07     4.68256e+00     7.18952e+00     1.73597e+01     2.17303e+00     5.05948e+07     5.15884e-08      6.62932e-04      1.04077e-03      2.79090e-04      3.25862e-03      8.11795e-03      4.89339e-03      6.84148e-03      7.48155e-03     2.00375e+00     3.56258e-01     6.25729e-01     8.92472e-06     9.52500e-06     2.73746e-06     4.59008e-03     9.76138e-08     7.33030e-03     4.64588e-04     1.87367e-05     1.91374e-03     3.22269e-05     7.12661e-04     6.27697e-05     7.85527e-04     7.72109e-06     4.00605e-04     5.44923e-06     1.06866e-04     4.44813e-06     7.23747e-05     5.61657e-08     3.52138e-06     3.41788e-07     1.87345e-05     1.57240e-05     1.36026e-03     4.33554e-06     8.04031e-05
   1.000e-03     1.05735e-07     8.94540e-07     7.78156e+00     7.18952e+00     1.73597e+01     2.17301e+00     5.05949e+07     1.59586e-07      2.04968e-03      3.21925e-03      8.63348e-04      1.00806e-02      2.51054e-02      1.51376e-02      2.11630e-02      2.31600e-02     2.00374e+00     3.56274e-01     6.25659e-01     8.92626e-06     9.55170e-06     2.74559e-06     4.60411e-03     9.79093e-08     7.35221e-03     4.65836e-04     1.87931e-05     1.91946e-03     3.23229e-05     7.14793e-04     6.29567e-05     7.87867e-04     7.74409e-06     4.01799e-04     5.46546e-06     1.07185e-04     4.46138e-06     7.25904e-05     5.63331e-08     3.53187e-06     3.42806e-07     1.87903e-05     1.57708e-05     1.36474e-03     4.34846e-06     8.06427e-05
   1.500e-03     3.57003e-07     3.01975e-06     8.01869e+00     7.18951e+00     1.73597e+01     2.17298e+00     5.05948e+07     3.58491e-07      4.60389e-03      7.23096e-03      1.93957e-03      2.26399e-02      5.63664e-02      3.40020e-02      4.75361e-02      5.20304e-02     2.00372e+00     3.56295e-01     6.25596e-01     8.92888e-06     9.56957e-06     2.75100e-06     4.61356e-03     9.81090e-08     7.36798e-03     4.66512e-04     1.88345e-05     1.92390e-03     3.24093e-05     7.16575e-04     6.31250e-05     7.89974e-04     7.76480e-06     4.02873e-04     5.48008e-06     1.07471e-04     4.47331e-06     7.27845e-05     5.64837e-08     3.54131e-06     3.43723e-07     1.88405e-05     1.58130e-05     1.37019e-03     4.36009e-06     8.08583e-05
   2.000e-03     8.46171e-07     7.15688e-06     8.14363e+00     7.18950e+00     1.73597e+01     2.17293e+00     5.05950e+07     6.37252e-07      8.18371e-03      1.28525e-02      3.44835e-03      4.02300e-02      1.00120e-01      6.04123e-02      8.44594e-02      9.24466e-02     2.00368e+00     3.56340e-01     6.25546e-01     8.93287e-06     9.57030e-06     2.75122e-06     4.61425e-03     9.81245e-08     7.36983e-03     4.66241e-04     1.88390e-05     1.92447e-03     3.24243e-05     7.16848e-04     6.31542e-05     7.90339e-04     7.76839e-06     4.03060e-04     5.48261e-06     1.07521e-04     4.47538e-06     7.28181e-05     5.65098e-08     3.54295e-06     3.43882e-07     1.88493e-05     1.58203e-05     1.37140e-03     4.36211e-06     8.08957e-05
   2.500e-03     1.65252e-06     1.39756e-05     8.24054e+00     7.18947e+00     1.73596e+01     2.17286e+00     5.05954e+07     9.95535e-07      1.27848e-02      2.00764e-02      5.38842e-03      6.28197e-02      1.56259e-01      9.43041e-02      1.31841e-01      1.44309e-01     2.00363e+00     3.56401e-01     6.25481e-01     8.93814e-06     9.57072e-06     2.75135e-06     4.61490e-03     9.81392e-08     7.37150e-03     4.65870e-04     1.88426e-05     1.92488e-03     3.24337e-05     7.17032e-04     6.31725e-05     7.90568e-04     7.77064e-06     4.03176e-04     5.48420e-06     1.07552e-04     4.47668e-06     7.28392e-05     5.65262e-08     3.54398e-06     3.43981e-07     1.88547e-05     1.58249e-05     1.37198e-03     4.36337e-06     8.09191e-05
   3.000e-03     2.85520e-06     2.41443e-05     8.31972e+00     7.18945e+00     1.73595e+01     2.17277e+00     5.05960e+07     1.43326e-06      1.84062e-02      2.89001e-02      7.76002e-03      9.03903e-02      2.24700e-01      1.35627e-01      1.89613e-01      2.07539e-01     2.00357e+00     3.56479e-01     6.25401e-01     8.94466e-06     9.57031e-06     2.75121e-06     4.61519e-03     9.81465e-08     7.37263e-03     4.65367e-04     1.88443e-05     1.92509e-03     3.24381e-05     7.17120e-04     6.31811e-05     7.90675e-04     7.77170e-06     4.03231e-04     5.48495e-06     1.07567e-04     4.47728e-06     7.28491e-05     5.65338e-08     3.54446e-06     3.44028e-07     1.88573e-05     1.58271e-05     1.37220e-03     4.36396e-06     8.09301e-05
   3.500e-03     4.53333e-06     3.83299e-05     8.38667e+00     7.18942e+00     1.73594e+01     2.17267e+00     5.05966e+07     1.95040e-06      2.50479e-02      3.93223e-02      1.05639e-02      1.22925e-01      3.05354e-01      1.84329e-01      2.57700e-01      2.82054e-01     2.00350e+00     3.56573e-01     6.25307e-01     8.95242e-06     9.56958e-06     2.75103e-06     4.61550e-03     9.81543e-08     7.37381e-03     4.64767e-04     1.88460e-05     1.92526e-03     3.24412e-05     7.17187e-04     6.31871e-05     7.90750e-04     7.77243e-06     4.03269e-04     5.48546e-06     1.07577e-04     4.47771e-06     7.28560e-05     5.65392e-08     3.54479e-06     3.44061e-07     1.88591e-05     1.58285e-05     1.37230e-03     4.36437e-06     8.09378e-05
   4.000e-03     6.76582e-06     5.71977e-05     8.44466e+00     7.18939e+00     1.73593e+01     2.17255e+00     5.05974e+07     2.54675e-06      3.27071e-02      5.13372e-02      1.37998e-02      1.60389e-01      3.98084e-01      2.40328e-01      3.35991e-01      3.67726e-01     2.00341e+00     3.56681e-01     6.25198e-01     8.96139e-06     9.56815e-06     2.75062e-06     4.61553e-03     9.81566e-08     7.37464e-03     4.64044e-04     1.88463e-05     1.92529e-03     3.24417e-05     7.17200e-04     6.31882e-05     7.90764e-04     7.77256e-06     4.03276e-04     5.48556e-06     1.07579e-04     4.47778e-06     7.28573e-05     5.65402e-08     3.54485e-06     3.44067e-07     1.88594e-05     1.58288e-05     1.37230e-03     4.36445e-06     8.09392e-05
   4.500e-03     9.63158e-06     8.14112e-05     8.49581e+00     7.18935e+00     1.73592e+01     2.17241e+00     5.05984e+07     3.22222e-06      4.13830e-02      6.49416e-02      1.74685e-02      2.02757e-01      5.02759e-01      3.03549e-01      4.24375e-01      4.64436e-01     2.00331e+00     3.56805e-01     6.25074e-01     8.97157e-06     9.56644e-06     2.75012e-06     4.61551e-03     9.81578e-08     7.37543e-03     4.63220e-04     1.88464e-05     1.92530e-03     3.24415e-05     7.17199e-04     6.31878e-05     7.90760e-04     7.77252e-06     4.03274e-04     5.48553e-06     1.07578e-04     4.47776e-06     7.28569e-05     5.65399e-08     3.54483e-06     3.44065e-07     1.88593e-05     1.58287e-05     1.37227e-03     4.36443e-06     8.09387e-05
