 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   0.000e+00     4.57959e-19     3.98303e-18    -9.32572e-01     7.19217e+00     1.73609e+01     2.17563e+00     5.05130e+07    -1.64249e-16     -2.08128e-12     -3.27914e-12     -8.59661e-13     -1.02198e-11     -2.55371e-11     -1.60835e-11     -2.17914e-11     -2.36935e-11     2.00356e+00     3.47784e-01     6.32194e-01     8.26021e-06     1.02156e-05     2.93618e-06     4.86668e-03     1.03367e-07     8.50612e-03     5.98030e-04     2.18410e-05     2.03867e-03     4.03613e-05     7.77189e-04     7.00643e-05     8.56869e-04     9.44987e-06     4.27034e-04     5.67654e-06     8.25264e-05     4.52818e-06     7.53940e-05     4.75571e-08     3.50327e-06     4.48231e-07     2.13995e-05     1.56422e-05     1.48754e-03     4.02529e-06     8.77052e-05
   5.000e-04     1.31876e-08     1.11937e-07     4.10159e+00     7.19216e+00     1.73609e+01     2.17560e+00     5.05132e+07     5.71405e-08      7.24044e-04      1.14099e-03      2.99210e-04      3.55521e-03      8.88051e-03      5.59523e-03      7.57955e-03      8.24653e-03     2.00354e+00     3.47818e-01     6.32167e-01     8.26086e-06     1.02101e-05     2.93625e-06     4.86684e-03     1.03310e-07     8.50496e-03     5.98043e-04     2.18378e-05     2.03839e-03     4.03219e-05     7.76629e-04     6.99960e-05     8.56034e-04     9.44066e-06     4.26618e-04     5.67100e-06     8.24460e-05     4.52377e-06     7.53205e-05     4.75107e-08     3.49986e-06     4.47794e-07     2.13787e-05     1.56270e-05     1.48349e-03     4.02137e-06     8.76197e-05
   1.000e-03     1.06320e-07     9.02620e-07     7.43672e+00     7.19215e+00     1.73609e+01     2.17557e+00     5.05134e+07     1.63494e-07      2.07161e-03      3.26579e-03      8.56849e-04      1.01715e-02      2.53911e-02      1.60090e-02      2.16795e-02      2.36149e-02     2.00352e+00     3.47840e-01     6.32152e-01     8.26256e-06     1.02089e-05     2.93558e-06     4.86586e-03     1.03300e-07     8.50315e-03     5.97763e-04     2.18319e-05     2.03769e-03     4.03045e-05     7.76354e-04     6.99657e-05     8.55664e-04     9.43657e-06     4.26433e-04     5.66855e-06     8.24103e-05     4.52181e-06     7.52879e-05     4.74902e-08     3.49834e-06     4.47600e-07     2.13694e-05     1.56202e-05     1.48197e-03     4.01963e-06     8.75818e-05
   1.500e-03     3.59126e-07     3.04883e-06     8.01869e+00     7.19215e+00     1.73609e+01     2.17555e+00     5.05133e+07     3.60621e-07      4.56918e-03      7.20390e-03      1.89071e-03      2.24313e-02      5.59705e-02      3.53108e-02      4.78119e-02      5.21079e-02     2.00350e+00     3.47856e-01     6.32129e-01     8.26547e-06     1.02132e-05     2.93551e-06     4.86600e-03     1.03355e-07     8.50501e-03     5.97422e-04     2.18360e-05     2.03805e-03     4.03384e-05     7.76859e-04     7.00246e-05     8.56383e-04     9.44451e-06     4.26792e-04     5.67332e-06     8.24796e-05     4.52561e-06     7.53513e-05     4.75301e-08     3.50129e-06     4.47977e-07     2.13874e-05     1.56333e-05     1.48494e-03     4.02301e-06     8.76554e-05
   2.000e-03     8.51201e-07     7.22577e-06     8.14364e+00     7.19213e+00     1.73608e+01     2.17550e+00     5.05134e+07     6.41043e-07      8.12201e-03      1.28044e-02      3.36151e-03      3.98596e-02      9.94174e-02      6.27447e-02      8.49587e-02      9.25978e-02     2.00346e+00     3.47898e-01     6.32077e-01     8.26919e-06     1.02156e-05     2.93620e-06     4.86750e-03     1.03386e-07     8.50872e-03     5.97166e-04     2.18456e-05     2.03912e-03     4.03693e-05     7.77360e-04     7.00783e-05     8.57040e-04     9.45175e-06     4.27119e-04     5.67767e-06     8.25429e-05     4.52908e-06     7.54090e-05     4.75666e-08     3.50397e-06     4.48320e-07     2.14038e-05     1.56453e-05     1.48703e-03     4.02610e-06     8.77226e-05
   2.500e-03     1.66235e-06     1.41101e-05     8.24054e+00     7.19211e+00     1.73608e+01     2.17543e+00     5.05138e+07     1.00144e-06      1.26882e-02      2.00008e-02      5.25269e-03      6.22407e-02      1.55160e-01      9.79486e-02      1.32626e-01      1.44554e-01     2.00341e+00     3.47958e-01     6.32011e-01     8.27418e-06     1.02163e-05     2.93639e-06     4.86828e-03     1.03404e-07     8.51101e-03     5.96706e-04     2.18508e-05     2.03968e-03     4.03849e-05     7.77618e-04     7.01052e-05     8.57369e-04     9.45539e-06     4.27283e-04     5.67985e-06     8.25746e-05     4.53083e-06     7.54380e-05     4.75849e-08     3.50532e-06     4.48493e-07     2.14120e-05     1.56513e-05     1.48793e-03     4.02764e-06     8.77564e-05
   3.000e-03     2.87217e-06     2.43765e-05     8.31973e+00     7.19208e+00     1.73607e+01     2.17534e+00     5.05143e+07     1.44183e-06      1.82682e-02      2.87931e-02      7.56510e-03      8.95634e-02      2.23135e-01      1.40881e-01      1.90758e-01      2.07914e-01     2.00335e+00     3.48035e-01     6.31931e-01     8.28038e-06     1.02162e-05     2.93637e-06     4.86881e-03     1.03417e-07     8.51284e-03     5.96090e-04     2.18541e-05     2.04002e-03     4.03936e-05     7.77772e-04     7.01205e-05     8.57556e-04     9.45744e-06     4.27376e-04     5.68109e-06     8.25926e-05     4.53181e-06     7.54544e-05     4.75952e-08     3.50608e-06     4.48590e-07     2.14167e-05     1.56547e-05     1.48832e-03     4.02852e-06     8.77754e-05
   3.500e-03     4.56026e-06     3.86985e-05     8.38667e+00     7.19205e+00     1.73606e+01     2.17523e+00     5.05150e+07     1.96199e-06      2.48592e-02      3.91753e-02      1.02984e-02      1.21797e-01      3.03219e-01      1.91467e-01      2.59252e-01      2.82561e-01     2.00327e+00     3.48129e-01     6.31836e-01     8.28778e-06     1.02158e-05     2.93625e-06     4.86926e-03     1.03428e-07     8.51458e-03     5.95343e-04     2.18567e-05     2.04029e-03     4.03993e-05     7.77879e-04     7.01304e-05     8.57677e-04     9.45878e-06     4.27437e-04     5.68189e-06     8.26042e-05     4.53245e-06     7.54651e-05     4.76019e-08     3.50658e-06     4.48653e-07     2.14197e-05     1.56570e-05     1.48851e-03     4.02909e-06     8.77878e-05
   4.000e-03     6.80604e-06     5.77476e-05     8.44467e+00     7.19202e+00     1.73605e+01     2.17511e+00     5.05158e+07     2.56187e-06      3.24611e-02      5.11458e-02      1.34534e-02      1.58921e-01      3.95308e-01      2.49638e-01      3.38017e-01      3.68397e-01     2.00318e+00     3.48238e-01     6.31726e-01     8.29634e-06     1.02145e-05     2.93590e-06     4.86943e-03     1.03433e-07     8.51589e-03     5.94436e-04     2.18579e-05     2.04039e-03     4.04015e-05     7.77920e-04     7.01340e-05     8.57722e-04     9.45927e-06     4.27459e-04     5.68219e-06     8.26086e-05     4.53269e-06     7.54690e-05     4.76044e-08     3.50676e-06     4.48677e-07     2.14208e-05     1.56578e-05     1.48855e-03     4.02930e-06     8.77924e-05
   4.500e-03     9.68876e-06     8.21933e-05     8.49581e+00     7.19198e+00     1.73604e+01     2.17498e+00     5.05167e+07     3.24129e-06      4.10714e-02      6.46991e-02      1.70303e-02      2.00901e-01      4.99255e-01      3.15303e-01      4.26931e-01      4.65282e-01     2.00309e+00     3.48362e-01     6.31602e-01     8.30608e-06     1.02126e-05     2.93534e-06     4.86937e-03     1.03434e-07     8.51689e-03     5.93378e-04     2.18579e-05     2.04038e-03     4.04010e-05     7.77915e-04     7.01333e-05     8.57713e-04     9.45917e-06     4.27455e-04     5.68213e-06     8.26077e-05     4.53264e-06     7.54682e-05     4.76039e-08     3.50672e-06     4.48672e-07     2.14206e-05     1.56576e-05     1.48851e-03     4.02926e-06     8.77915e-05
