 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   0.000e+00    -4.75848e-19    -1.84730e-18    -9.31259e-01     7.18862e+00     1.73592e+01     2.17169e+00     5.06387e+07    -1.46877e-16     -1.89685e-12     -2.97239e-12     -8.03407e-13     -9.33139e-12     -2.32866e-11     -1.38294e-11     -1.95056e-11     -2.13452e-11     2.00353e+00     3.59624e-01     6.23770e-01     9.17927e-06     8.77967e-06     2.52409e-06     4.25038e-03     9.04232e-08     6.32177e-03     3.86850e-04     1.61843e-05     1.98115e-03     3.65859e-05     7.04512e-04     6.20646e-05     7.76708e-04     7.12482e-06     3.87086e-04     5.14555e-06     8.01561e-05     4.10456e-06     6.67861e-05     4.21272e-08     3.24944e-06     3.97057e-07     1.89565e-05     1.38564e-05     1.37927e-03     3.73363e-06     7.94994e-05
   5.000e-04     1.32927e-08     1.11688e-07     4.67945e+00     7.18861e+00     1.73591e+01     2.17166e+00     5.06389e+07     5.26628e-08      6.80113e-04      1.06575e-03      2.88061e-04      3.34652e-03      8.34429e-03      4.95855e-03      6.99358e-03      7.65726e-03     2.00350e+00     3.59653e-01     6.23748e-01     9.18047e-06     8.78445e-06     2.52386e-06     4.24968e-03     9.04228e-08     6.32087e-03     3.86832e-04     1.61791e-05     1.98047e-03     3.65571e-05     7.04103e-04     6.20159e-05     7.76098e-04     7.11922e-06     3.86782e-04     5.14151e-06     8.00931e-05     4.10134e-06     6.67336e-05     4.20941e-08     3.24689e-06     3.96745e-07     1.89416e-05     1.38455e-05     1.37623e-03     3.73070e-06     7.94370e-05
   1.000e-03     1.05493e-07     8.90213e-07     7.78041e+00     7.18861e+00     1.73591e+01     2.17164e+00     5.06390e+07     1.59520e-07      2.06012e-03      3.22822e-03      8.72562e-04      1.01407e-02      2.52503e-02      1.50200e-02      2.11834e-02      2.32141e-02     2.00349e+00     3.59669e-01     6.23735e-01     9.18201e-06     8.77917e-06     2.52338e-06     4.24922e-03     9.04040e-08     6.31976e-03     3.86635e-04     1.61770e-05     1.98007e-03     3.65495e-05     7.03969e-04     6.20030e-05     7.75937e-04     7.11774e-06     3.86702e-04     5.14044e-06     8.00764e-05     4.10048e-06     6.67198e-05     4.20854e-08     3.24621e-06     3.96663e-07     1.89377e-05     1.38426e-05     1.37572e-03     3.72992e-06     7.94205e-05
   1.500e-03     3.55889e-07     3.00365e-06     8.01870e+00     7.18860e+00     1.73591e+01     2.17161e+00     5.06389e+07     3.57374e-07      4.61510e-03      7.23156e-03      1.95496e-03      2.27139e-02      5.65327e-02      3.36468e-02      4.74532e-02      5.20122e-02     2.00347e+00     3.59690e-01     6.23705e-01     9.18467e-06     8.77895e-06     2.52387e-06     4.25041e-03     9.04246e-08     6.32209e-03     3.86504e-04     1.61841e-05     1.98110e-03     3.65821e-05     7.04471e-04     6.20582e-05     7.76628e-04     7.12408e-06     3.87046e-04     5.14502e-06     8.01478e-05     4.10414e-06     6.67792e-05     4.21229e-08     3.24910e-06     3.97016e-07     1.89545e-05     1.38549e-05     1.37841e-03     3.73324e-06     7.94912e-05
   2.000e-03     8.43522e-07     7.11865e-06     8.14363e+00     7.18858e+00     1.73590e+01     2.17156e+00     5.06391e+07     6.35238e-07      8.20327e-03      1.28529e-02      3.47554e-03      4.03598e-02      1.00411e-01      5.97792e-02      8.43086e-02      9.24106e-02     2.00343e+00     3.59734e-01     6.23655e-01     9.18872e-06     8.78028e-06     2.52427e-06     4.25139e-03     9.04460e-08     6.32416e-03     3.86310e-04     1.61894e-05     1.98185e-03     3.66019e-05     7.04796e-04     6.20919e-05     7.77049e-04     7.12794e-06     3.87256e-04     5.14781e-06     8.01912e-05     4.10636e-06     6.68154e-05     4.21457e-08     3.25086e-06     3.97231e-07     1.89648e-05     1.38624e-05     1.37974e-03     3.73527e-06     7.95343e-05
   2.500e-03     1.64735e-06     1.39010e-05     8.24055e+00     7.18856e+00     1.73590e+01     2.17149e+00     5.06394e+07     9.92429e-07      1.28158e-02      2.00778e-02      5.43109e-03      6.30247e-02      1.56719e-01      9.33191e-02      1.31611e-01      1.44259e-01     2.00338e+00     3.59796e-01     6.23591e-01     9.19408e-06     8.77996e-06     2.52419e-06     4.25164e-03     9.04522e-08     6.32507e-03     3.85970e-04     1.61911e-05     1.98212e-03     3.66095e-05     7.04919e-04     6.21048e-05     7.77211e-04     7.12943e-06     3.87337e-04     5.14888e-06     8.02080e-05     4.10722e-06     6.68293e-05     4.21545e-08     3.25154e-06     3.97314e-07     1.89688e-05     1.38653e-05     1.38020e-03     3.73605e-06     7.95509e-05
   3.000e-03     2.84631e-06     2.40156e-05     8.31973e+00     7.18854e+00     1.73589e+01     2.17140e+00     5.06400e+07     1.42880e-06      1.84510e-02      2.89024e-02      7.82144e-03      9.06861e-02      2.25362e-01      1.34212e-01      1.89285e-01      2.07468e-01     2.00332e+00     3.59873e-01     6.23512e-01     9.20069e-06     8.77981e-06     2.52414e-06     4.25204e-03     9.04619e-08     6.32621e-03     3.85565e-04     1.61931e-05     1.98239e-03     3.66156e-05     7.05027e-04     6.21151e-05     7.77340e-04     7.13061e-06     3.87401e-04     5.14974e-06     8.02212e-05     4.10790e-06     6.68404e-05     4.21615e-08     3.25208e-06     3.97380e-07     1.89719e-05     1.38676e-05     1.38046e-03     3.73667e-06     7.95641e-05
   3.500e-03     4.51917e-06     3.81256e-05     8.38667e+00     7.18851e+00     1.73588e+01     2.17130e+00     5.06406e+07     1.94427e-06      2.51078e-02      3.93240e-02      1.06471e-02      1.23322e-01      3.06240e-01      1.82400e-01      2.57247e-01      2.81949e-01     2.00325e+00     3.59965e-01     6.23418e-01     9.20856e-06     8.77952e-06     2.52406e-06     4.25248e-03     9.04721e-08     6.32743e-03     3.85081e-04     1.61950e-05     1.98263e-03     3.66204e-05     7.05117e-04     6.21232e-05     7.77441e-04     7.13154e-06     3.87451e-04     5.15041e-06     8.02317e-05     4.10843e-06     6.68491e-05     4.21670e-08     3.25250e-06     3.97432e-07     1.89744e-05     1.38694e-05     1.38062e-03     3.73715e-06     7.95744e-05
   4.000e-03     6.74471e-06     5.68929e-05     8.44467e+00     7.18847e+00     1.73587e+01     2.17118e+00     5.06414e+07     2.53878e-06      3.27856e-02      5.13399e-02      1.39084e-02      1.60909e-01      3.99241e-01      2.37818e-01      3.35404e-01      3.67592e-01     2.00316e+00     3.60073e-01     6.23309e-01     9.21768e-06     8.77853e-06     2.52379e-06     4.25267e-03     9.04778e-08     6.32835e-03     3.84497e-04     1.61960e-05     1.98274e-03     3.66224e-05     7.05157e-04     6.21266e-05     7.77484e-04     7.13193e-06     3.87473e-04     5.15069e-06     8.02361e-05     4.10866e-06     6.68528e-05     4.21693e-08     3.25268e-06     3.97454e-07     1.89754e-05     1.38702e-05     1.38068e-03     3.73736e-06     7.95788e-05
   4.500e-03     9.60150e-06     8.09772e-05     8.49582e+00     7.18843e+00     1.73586e+01     2.17104e+00     5.06423e+07     3.21219e-06      4.14827e-02      6.49460e-02      1.76060e-02      2.03415e-01      5.04225e-01      3.00386e-01      4.23645e-01      4.64274e-01     2.00306e+00     3.60196e-01     6.23186e-01     9.22802e-06     8.77699e-06     2.52335e-06     4.25267e-03     9.04794e-08     6.32904e-03     3.83815e-04     1.61961e-05     1.98275e-03     3.66224e-05     7.05159e-04     6.21266e-05     7.77484e-04     7.13193e-06     3.87472e-04     5.15069e-06     8.02361e-05     4.10866e-06     6.68528e-05     4.21693e-08     3.25268e-06     3.97453e-07     1.89754e-05     1.38702e-05     1.38065e-03     3.73736e-06     7.95788e-05
