 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   0.000e+00     2.79550e-19     9.91362e-19    -9.30770e-01     7.18769e+00     1.73583e+01     2.17022e+00     5.06734e+07    -1.42769e-16     -1.85181e-12     -2.89559e-12     -7.89152e-13     -9.11416e-12     -2.27340e-11     -1.33500e-11     -1.89544e-11     -2.08054e-11     2.00311e+00     3.62871e-01     6.21198e-01     9.43608e-06     8.32022e-06     2.39214e-06     4.04488e-03     8.60873e-08     6.37197e-03     3.76057e-04     1.63402e-05     1.47788e-03     3.68051e-05     7.08734e-04     6.24369e-05     7.81361e-04     7.16744e-06     3.89407e-04     5.17636e-06     8.44366e-05     4.12924e-06     6.71859e-05     4.33673e-08     3.34510e-06     3.99431e-07     1.95136e-05     1.42646e-05     1.35594e-03     3.75610e-06     7.99761e-05
   5.000e-04     1.30724e-08     1.10400e-07     4.67349e+00     7.18768e+00     1.73582e+01     2.17019e+00     5.06736e+07     5.16052e-08      6.69362e-04      1.04688e-03      2.85247e-04      3.29520e-03      8.21191e-03      4.82595e-03      6.85125e-03      7.51920e-03     2.00309e+00     3.62900e-01     6.21175e-01     9.43760e-06     8.32509e-06     2.39195e-06     4.04424e-03     8.60880e-08     6.37127e-03     3.75958e-04     1.63356e-05     1.47706e-03     3.67768e-05     7.08340e-04     6.23888e-05     7.80759e-04     7.16192e-06     3.89107e-04     5.17238e-06     8.43715e-05     4.12606e-06     6.71342e-05     4.33339e-08     3.34253e-06     3.99123e-07     1.94986e-05     1.42536e-05     1.35286e-03     3.75321e-06     7.99145e-05
   1.000e-03     1.05077e-07     8.84967e-07     7.77823e+00     7.18768e+00     1.73582e+01     2.17018e+00     5.06737e+07     1.58670e-07      2.05810e-03      3.22000e-03      8.77044e-04      1.01355e-02      2.52218e-02      1.48405e-02      2.10653e-02      2.31136e-02     2.00308e+00     3.62916e-01     6.21163e-01     9.43897e-06     8.31973e-06     2.39143e-06     4.04372e-03     8.60681e-08     6.36992e-03     3.75813e-04     1.63328e-05     1.47694e-03     3.67680e-05     7.08181e-04     6.23740e-05     7.80573e-04     7.16022e-06     3.89015e-04     5.17114e-06     8.43515e-05     4.12508e-06     6.71182e-05     4.33236e-08     3.34173e-06     3.99028e-07     1.94939e-05     1.42502e-05     1.35238e-03     3.75231e-06     7.98955e-05
   1.500e-03     3.54692e-07     2.98671e-06     8.01870e+00     7.18767e+00     1.73582e+01     2.17015e+00     5.06736e+07     3.56170e-07      4.61968e-03      7.22770e-03      1.96886e-03      2.27473e-02      5.65800e-02      3.33111e-02      4.72824e-02      5.18818e-02     2.00306e+00     3.62936e-01     6.21133e-01     9.44157e-06     8.31957e-06     2.39195e-06     4.04493e-03     8.60891e-08     6.37232e-03     3.75723e-04     1.63401e-05     1.47785e-03     3.68014e-05     7.08695e-04     6.24306e-05     7.81281e-04     7.16671e-06     3.89367e-04     5.17583e-06     8.44280e-05     4.12882e-06     6.71791e-05     4.33629e-08     3.34476e-06     3.99390e-07     1.95116e-05     1.42631e-05     1.35509e-03     3.75572e-06     7.99680e-05
   2.000e-03     8.40684e-07     7.07850e-06     8.14363e+00     7.18765e+00     1.73582e+01     2.17009e+00     5.06738e+07     6.33099e-07      8.21137e-03      1.28461e-02      3.50025e-03      4.04189e-02      1.00495e-01      5.91827e-02      8.40049e-02      9.21789e-02     2.00301e+00     3.62981e-01     6.21084e-01     9.44566e-06     8.32036e-06     2.39219e-06     4.04562e-03     8.61043e-08     6.37402e-03     3.75511e-04     1.63444e-05     1.47832e-03     3.68191e-05     7.08979e-04     6.24607e-05     7.81659e-04     7.17017e-06     3.89556e-04     5.17833e-06     8.44688e-05     4.13082e-06     6.72115e-05     4.33838e-08     3.34638e-06     3.99583e-07     1.95210e-05     1.42700e-05     1.35631e-03     3.75753e-06     8.00066e-05
   2.500e-03     1.64181e-06     1.38226e-05     8.24055e+00     7.18763e+00     1.73581e+01     2.17002e+00     5.06742e+07     9.89072e-07      1.28283e-02      2.00668e-02      5.46958e-03      6.31160e-02      1.56846e-01      9.23876e-02      1.31136e-01      1.43895e-01     2.00296e+00     3.63041e-01     6.21020e-01     9.45109e-06     8.32082e-06     2.39232e-06     4.04622e-03     8.61181e-08     6.37551e-03     3.75217e-04     1.63477e-05     1.47865e-03     3.68303e-05     7.09169e-04     6.24796e-05     7.81895e-04     7.17234e-06     3.89673e-04     5.17990e-06     8.44943e-05     4.13206e-06     6.72318e-05     4.33969e-08     3.34739e-06     3.99704e-07     1.95269e-05     1.42743e-05     1.35690e-03     3.75866e-06     8.00308e-05
   3.000e-03     2.83671e-06     2.38800e-05     8.31973e+00     7.18761e+00     1.73580e+01     2.16994e+00     5.06747e+07     1.42399e-06      1.84692e-02      2.88870e-02      7.87697e-03      9.08185e-02      2.25549e-01      1.32875e-01      1.88604e-01      2.06950e-01     2.00291e+00     3.63119e-01     6.20941e-01     9.45781e-06     8.32025e-06     2.39218e-06     4.04643e-03     8.61235e-08     6.37636e-03     3.74806e-04     1.63490e-05     1.47879e-03     3.68348e-05     7.09246e-04     6.24872e-05     7.81990e-04     7.17321e-06     3.89721e-04     5.18053e-06     8.45046e-05     4.13257e-06     6.72400e-05     4.34022e-08     3.34780e-06     3.99753e-07     1.95293e-05     1.42760e-05     1.35710e-03     3.75912e-06     8.00405e-05
   3.500e-03     4.50394e-06     3.79103e-05     8.38667e+00     7.18758e+00     1.73579e+01     2.16984e+00     5.06753e+07     1.93774e-06      2.51326e-02      3.93029e-02      1.07225e-02      1.23502e-01      3.06494e-01      1.80584e-01      2.56325e-01      2.81245e-01     2.00284e+00     3.63210e-01     6.20848e-01     9.46580e-06     8.31991e-06     2.39208e-06     4.04681e-03     8.61326e-08     6.37751e-03     3.74333e-04     1.63507e-05     1.47895e-03     3.68392e-05     7.09331e-04     6.24948e-05     7.82085e-04     7.17408e-06     3.89768e-04     5.18116e-06     8.45148e-05     4.13307e-06     6.72482e-05     4.34075e-08     3.34820e-06     3.99801e-07     1.95317e-05     1.42778e-05     1.35725e-03     3.75958e-06     8.00502e-05
   4.000e-03     6.72201e-06     5.65720e-05     8.44467e+00     7.18755e+00     1.73578e+01     2.16972e+00     5.06761e+07     2.53026e-06      3.28179e-02      5.13123e-02      1.40069e-02      1.61144e-01      3.99571e-01      2.35452e-01      3.34205e-01      3.66677e-01     2.00275e+00     3.63318e-01     6.20741e-01     9.47503e-06     8.31846e-06     2.39165e-06     4.04672e-03     8.61321e-08     6.37799e-03     3.73740e-04     1.63506e-05     1.47895e-03     3.68388e-05     7.09324e-04     6.24940e-05     7.82075e-04     7.17399e-06     3.89763e-04     5.18109e-06     8.45138e-05     4.13302e-06     6.72474e-05     4.34069e-08     3.34816e-06     3.99796e-07     1.95314e-05     1.42776e-05     1.35721e-03     3.75953e-06     8.00492e-05
   4.500e-03     9.56920e-06     8.05208e-05     8.49582e+00     7.18751e+00     1.73577e+01     2.16958e+00     5.06770e+07     3.20136e-06      4.15225e-02      6.49095e-02      1.77300e-02      2.03706e-01      5.04629e-01      2.97391e-01      4.22123e-01      4.63109e-01     2.00265e+00     3.63440e-01     6.20618e-01     9.48553e-06     8.31720e-06     2.39131e-06     4.04685e-03     8.61362e-08     6.37886e-03     3.73088e-04     1.63512e-05     1.47900e-03     3.68399e-05     7.09347e-04     6.24959e-05     7.82099e-04     7.17421e-06     3.89775e-04     5.18125e-06     8.45163e-05     4.13314e-06     6.72494e-05     4.34082e-08     3.34826e-06     3.99808e-07     1.95320e-05     1.42780e-05     1.35722e-03     3.75964e-06     8.00516e-05
