 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   0.000e+00     6.38212e-20     1.45001e-19    -9.32590e-01     7.19244e+00     1.73608e+01     2.17568e+00     5.05020e+07    -1.43569e-16     -1.81481e-12     -2.85975e-12     -7.48737e-13     -8.94445e-12     -2.23225e-11     -1.41078e-11     -1.90548e-11     -2.07633e-11     2.00329e+00     3.46728e-01     6.33577e-01     8.18673e-06     1.16349e-05     3.25041e-06     5.38128e-03     1.14283e-07     7.40391e-03     5.25392e-04     1.90025e-05     2.39427e-03     3.76522e-05     7.23382e-04     6.09991e-05     9.17785e-04     6.68732e-06     3.89307e-04     5.29561e-06     1.03853e-04     4.63183e-06     7.89164e-05     4.43660e-08     3.50180e-06     3.32143e-07     2.40011e-05     1.52809e-05     1.48640e-03     4.41184e-06     8.56740e-05
   5.000e-04     1.32885e-08     1.13363e-07     4.69170e+00     7.19243e+00     1.73608e+01     2.17565e+00     5.05022e+07     5.21646e-08      6.59398e-04      1.03931e-03      2.72043e-04      3.24722e-03      8.10592e-03      5.13012e-03      6.92381e-03      7.54610e-03     2.00328e+00     3.46757e-01     6.33562e-01     8.18697e-06     1.16368e-05     3.24902e-06     5.37928e-03     1.14294e-07     7.40058e-03     5.25213e-04     1.89914e-05     2.39274e-03     3.76104e-05     7.22728e-04     6.09313e-05     9.16766e-04     6.67990e-06     3.88874e-04     5.28973e-06     1.03737e-04     4.62669e-06     7.88288e-05     4.43167e-08     3.49791e-06     3.31774e-07     2.39745e-05     1.52639e-05     1.48181e-03     4.40694e-06     8.55788e-05
   1.000e-03     1.06422e-07     9.07164e-07     7.78482e+00     7.19243e+00     1.73608e+01     2.17564e+00     5.05023e+07     1.60646e-07      2.03071e-03      3.20187e-03      8.37769e-04      9.98702e-03      2.49396e-02      1.58192e-02      2.13246e-02      2.32487e-02     2.00327e+00     3.46773e-01     6.33546e-01     8.18900e-06     1.16323e-05     3.24904e-06     5.37930e-03     1.14260e-07     7.40062e-03     5.25033e-04     1.89918e-05     2.39266e-03     3.76101e-05     7.22732e-04     6.09309e-05     9.16759e-04     6.67985e-06     3.88872e-04     5.28969e-06     1.03737e-04     4.62665e-06     7.88282e-05     4.43164e-08     3.49789e-06     3.31772e-07     2.39743e-05     1.52638e-05     1.48214e-03     4.40691e-06     8.55782e-05
   1.500e-03     3.59169e-07     3.06138e-06     8.01869e+00     7.19242e+00     1.73607e+01     2.17561e+00     5.05022e+07     3.60665e-07      4.55898e-03      7.18820e-03      1.88104e-03      2.24130e-02      5.59577e-02      3.55181e-02      4.78720e-02      5.21974e-02     2.00324e+00     3.46795e-01     6.33511e-01     8.19182e-06     1.16340e-05     3.25015e-06     5.38134e-03     1.14286e-07     7.40440e-03     5.24925e-04     1.90025e-05     2.39422e-03     3.76488e-05     7.23348e-04     6.09935e-05     9.17702e-04     6.68672e-06     3.89271e-04     5.29513e-06     1.03843e-04     4.63141e-06     7.89092e-05     4.43620e-08     3.50149e-06     3.32113e-07     2.39989e-05     1.52795e-05     1.48553e-03     4.41144e-06     8.56662e-05
   2.000e-03     8.51303e-07     7.25552e-06     8.14363e+00     7.19240e+00     1.73607e+01     2.17555e+00     5.05024e+07     6.41110e-07      8.10387e-03      1.27765e-02      3.34434e-03      3.98268e-02      9.93941e-02      6.31050e-02      8.50541e-02      9.27423e-02     2.00320e+00     3.46841e-01     6.33459e-01     8.19564e-06     1.16352e-05     3.25049e-06     5.38230e-03     1.14307e-07     7.40650e-03     5.24635e-04     1.90075e-05     2.39499e-03     3.76671e-05     7.23641e-04     6.10232e-05     9.18147e-04     6.68996e-06     3.89460e-04     5.29770e-06     1.03894e-04     4.63366e-06     7.89476e-05     4.43835e-08     3.50319e-06     3.32274e-07     2.40106e-05     1.52869e-05     1.48687e-03     4.41358e-06     8.57078e-05
   2.500e-03     1.66253e-06     1.41681e-05     8.24055e+00     7.19238e+00     1.73606e+01     2.17548e+00     5.05028e+07     1.00158e-06      1.26605e-02      1.99583e-02      5.22615e-03      6.21924e-02      1.55132e-01      9.85089e-02      1.32772e-01      1.44774e-01     2.00315e+00     3.46904e-01     6.33392e-01     8.20068e-06     1.16356e-05     3.25063e-06     5.38303e-03     1.14324e-07     7.40821e-03     5.24217e-04     1.90111e-05     2.39550e-03     3.76778e-05     7.23823e-04     6.10406e-05     9.18410e-04     6.69188e-06     3.89572e-04     5.29921e-06     1.03923e-04     4.63498e-06     7.89701e-05     4.43962e-08     3.50419e-06     3.32369e-07     2.40174e-05     1.52913e-05     1.48749e-03     4.41484e-06     8.57323e-05
   3.000e-03     2.87249e-06     2.44767e-05     8.31973e+00     7.19236e+00     1.73605e+01     2.17539e+00     5.05034e+07     1.44197e-06      1.82276e-02      2.87306e-02      7.52658e-03      8.94897e-02      2.23084e-01      1.41674e-01      1.90951e-01      2.08209e-01     2.00309e+00     3.46983e-01     6.33311e-01     8.20691e-06     1.16348e-05     3.25039e-06     5.38324e-03     1.14329e-07     7.40923e-03     5.23639e-04     1.90124e-05     2.39570e-03     3.76820e-05     7.23894e-04     6.10473e-05     9.18511e-04     6.69261e-06     3.89615e-04     5.29980e-06     1.03935e-04     4.63549e-06     7.89788e-05     4.44011e-08     3.50457e-06     3.32406e-07     2.40201e-05     1.52930e-05     1.48769e-03     4.41533e-06     8.57417e-05
   3.500e-03     4.56077e-06     3.88577e-05     8.38667e+00     7.19233e+00     1.73605e+01     2.17529e+00     5.05042e+07     1.96221e-06      2.48046e-02      3.90912e-02      1.02463e-02      1.21700e-01      3.03157e-01      1.92542e-01      2.59511e-01      2.82959e-01     2.00302e+00     3.47078e-01     6.33215e-01     8.21431e-06     1.16342e-05     3.25022e-06     5.38369e-03     1.14341e-07     7.41062e-03     5.22976e-04     1.90143e-05     2.39596e-03     3.76863e-05     7.23974e-04     6.10543e-05     9.18616e-04     6.69338e-06     3.89659e-04     5.30040e-06     1.03947e-04     4.63602e-06     7.89878e-05     4.44062e-08     3.50497e-06     3.32444e-07     2.40228e-05     1.52947e-05     1.48783e-03     4.41583e-06     8.57515e-05
   4.000e-03     6.80675e-06     5.79847e-05     8.44466e+00     7.19229e+00     1.73603e+01     2.17516e+00     5.05050e+07     2.56214e-06      3.23897e-02      5.10360e-02      1.33853e-02      1.58793e-01      3.95227e-01      2.51032e-01      3.38347e-01      3.68904e-01     2.00292e+00     3.47188e-01     6.33105e-01     8.22289e-06     1.16321e-05     3.24967e-06     5.38362e-03     1.14341e-07     7.41138e-03     5.22153e-04     1.90142e-05     2.39595e-03     3.76861e-05     7.23973e-04     6.10541e-05     9.18612e-04     6.69335e-06     3.89658e-04     5.30038e-06     1.03946e-04     4.63600e-06     7.89875e-05     4.44060e-08     3.50496e-06     3.32443e-07     2.40227e-05     1.52946e-05     1.48781e-03     4.41581e-06     8.57512e-05
   4.500e-03     9.68983e-06     8.25310e-05     8.49582e+00     7.19225e+00     1.73602e+01     2.17503e+00     5.05060e+07     3.24169e-06      4.09822e-02      6.45619e-02      1.69447e-02      2.00745e-01      4.99165e-01      3.17068e-01      4.27350e-01      4.65924e-01     2.00283e+00     3.47313e-01     6.32979e-01     8.23262e-06     1.16308e-05     3.24930e-06     5.38397e-03     1.14350e-07     7.41280e-03     5.21263e-04     1.90157e-05     2.39612e-03     3.76886e-05     7.24022e-04     6.10581e-05     9.18673e-04     6.69379e-06     3.89683e-04     5.30073e-06     1.03953e-04     4.63631e-06     7.89927e-05     4.44089e-08     3.50519e-06     3.32464e-07     2.40243e-05     1.52956e-05     1.48787e-03     4.41610e-06     8.57569e-05
